Reader; Neighbors
R1-2; Cage 1-1, Cage 1-2
R1-3; Cage 1-1, Cage 1-3
R1-4; Cage 1-2, Cage 1-4
R1-5; Cage 1-3, Tube 1:2
R1-6; Cage 1-4, Tube 1:2
R1-7; Cage 1-3, Cage 1-5
R1-8; Cage 1-4, Cage 1-6
R1-9; Cage 1-5, Cage 1-6
R2-1; Cage 2-1, Tube 1:2
R2-2; Cage 2-2, Tube 1:2
R2-3; Cage 2-1, Cage 2-3
R2-4; Cage 2-2, Cage 2-4
R2-5; Cage 2-3, Tube 2:3
R2-6; Cage 2-4, Tube 2:3
R2-7; Cage 2-3, Cage 2-5
R2-8; Cage 2-4, Cage 2-6
R2-9; Cage 2-5, Cage 2-6
R3-1; Cage 3-1, Tube 2:3
R3-2; Cage 3-2, Tube 2:3
R3-3; Cage 3-1, Cage 3-3
R3-4; Cage 3-2, Cage 3-4
R3-6; Cage 3-3, Cage 3-4
R3-7; Cage 3-3, Cage 3-5
R3-8; Cage 3-4, Cage 3-6
R3-9; Cage 3-5, Cage 3-6
