Week,Day,Phase,Age_in_months,IdLabel,Cage,Height,cage_visits_sum
1,2,dark,12,19231J,Tube 1:2,Down,16
1,2,dark,12,19231J,Tube 1:2,Up,14
1,2,dark,12,19231J,Tube 2:3,Down,7
1,2,dark,12,19231J,Tube 2:3,Up,9
1,2,dark,15,18291F,Tube 1:2,Down,4
1,2,dark,15,18291F,Tube 1:2,Up,4
1,2,dark,15,18291F,Tube 2:3,Down,15
1,2,dark,15,18291F,Tube 2:3,Up,15
1,2,dark,20,16509C,Tube 2:3,Up,1
1,2,dark,25,14827B,Tube 1:2,Down,9
1,2,dark,25,14827B,Tube 1:2,Up,9
1,2,dark,25,14827B,Tube 2:3,Down,17
1,2,dark,25,14827B,Tube 2:3,Up,18
1,2,dark,37,10793A,Tube 1:2,Down,1
1,2,dark,37,10793A,Tube 1:2,Up,1
1,2,dark,37,10793A,Tube 2:3,Down,2
1,2,dark,37,10793A,Tube 2:3,Up,3
1,2,light,12,19231J,Tube 1:2,Down,15
1,2,light,12,19231J,Tube 1:2,Up,10
1,2,light,12,19231J,Tube 2:3,Down,15
1,2,light,12,19231J,Tube 2:3,Up,11
1,2,light,15,18291F,Tube 2:3,Up,1
1,3,dark,12,19231J,Tube 1:2,Down,16
1,3,dark,12,19231J,Tube 1:2,Up,17
1,3,dark,12,19231J,Tube 2:3,Down,21
1,3,dark,12,19231J,Tube 2:3,Up,20
1,3,dark,15,18291F,Tube 1:2,Down,9
1,3,dark,15,18291F,Tube 1:2,Up,9
1,3,dark,15,18291F,Tube 2:3,Down,10
1,3,dark,15,18291F,Tube 2:3,Up,10
1,3,dark,25,14827B,Tube 1:2,Down,29
1,3,dark,25,14827B,Tube 1:2,Up,28
1,3,dark,25,14827B,Tube 2:3,Down,23
1,3,dark,25,14827B,Tube 2:3,Up,22
1,3,dark,37,10793A,Tube 1:2,Down,4
1,3,dark,37,10793A,Tube 1:2,Up,3
1,3,dark,37,10793A,Tube 2:3,Down,2
1,3,dark,37,10793A,Tube 2:3,Up,1
1,3,light,12,19231J,Tube 1:2,Down,5
1,3,light,12,19231J,Tube 1:2,Up,4
1,3,light,12,19231J,Tube 2:3,Down,4
1,3,light,15,18291F,Tube 1:2,Down,3
1,3,light,15,18291F,Tube 1:2,Up,2
1,3,light,15,18291F,Tube 2:3,Down,1
1,3,light,25,14827B,Tube 1:2,Down,11
1,3,light,25,14827B,Tube 1:2,Up,12
1,3,light,25,14827B,Tube 2:3,Down,1
1,3,light,25,14827B,Tube 2:3,Up,1
1,3,light,37,10793A,Tube 1:2,Up,1
1,3,light,37,10793A,Tube 2:3,Down,3
1,3,light,37,10793A,Tube 2:3,Up,4
1,4,dark,12,19231J,Tube 1:2,Down,5
1,4,dark,12,19231J,Tube 1:2,Up,6
1,4,dark,12,19231J,Tube 2:3,Down,12
1,4,dark,12,19231J,Tube 2:3,Up,12
1,4,dark,15,18291F,Tube 1:2,Down,22
1,4,dark,15,18291F,Tube 1:2,Up,23
1,4,dark,15,18291F,Tube 2:3,Down,38
1,4,dark,15,18291F,Tube 2:3,Up,38
1,4,dark,25,14827B,Tube 1:2,Down,11
1,4,dark,25,14827B,Tube 1:2,Up,11
1,4,dark,25,14827B,Tube 2:3,Down,17
1,4,dark,25,14827B,Tube 2:3,Up,17
1,4,dark,37,10793A,Tube 1:2,Down,2
