Bedding_week,Date,Time,Age_in_months,IdLabel,total_visited_cages
1,2020-08-25,2023-03-15T00:00:00Z,12,19231J,347
1,2020-08-25,2023-03-15T00:00:00Z,15,18291F,36
1,2020-08-25,2023-03-15T00:00:00Z,18,16829E,113
1,2020-08-25,2023-03-15T00:00:00Z,20,16509C,153
1,2020-08-25,2023-03-15T00:00:00Z,37,10793A,45
1,2020-08-25,2023-03-15T01:00:00Z,12,19231J,315
1,2020-08-25,2023-03-15T01:00:00Z,15,18291F,22
1,2020-08-25,2023-03-15T01:00:00Z,18,16829E,108
1,2020-08-25,2023-03-15T01:00:00Z,20,16509C,129
1,2020-08-25,2023-03-15T01:00:00Z,25,14827B,19
1,2020-08-25,2023-03-15T01:00:00Z,37,10793A,4
1,2020-08-25,2023-03-15T02:00:00Z,12,19231J,288
1,2020-08-25,2023-03-15T02:00:00Z,15,18291F,98
1,2020-08-25,2023-03-15T02:00:00Z,18,16829E,20
1,2020-08-25,2023-03-15T02:00:00Z,20,16509C,99
1,2020-08-25,2023-03-15T02:00:00Z,25,14827B,59
1,2020-08-25,2023-03-15T02:00:00Z,37,10793A,20
1,2020-08-25,2023-03-15T03:00:00Z,12,19231J,17
1,2020-08-25,2023-03-15T03:00:00Z,15,18291F,64
1,2020-08-25,2023-03-15T03:00:00Z,18,16829E,8
1,2020-08-25,2023-03-15T03:00:00Z,20,16509C,8
1,2020-08-25,2023-03-15T03:00:00Z,25,14827B,63
1,2020-08-25,2023-03-15T04:00:00Z,12,19231J,123
1,2020-08-25,2023-03-15T04:00:00Z,15,18291F,22
1,2020-08-25,2023-03-15T04:00:00Z,18,16829E,12
1,2020-08-25,2023-03-15T04:00:00Z,20,16509C,16
1,2020-08-25,2023-03-15T04:00:00Z,25,14827B,14
1,2020-08-25,2023-03-15T05:00:00Z,12,19231J,79
1,2020-08-25,2023-03-15T05:00:00Z,15,18291F,6
1,2020-08-25,2023-03-15T05:00:00Z,18,16829E,10
1,2020-08-25,2023-03-15T05:00:00Z,25,14827B,1
1,2020-08-25,2023-03-15T06:00:00Z,12,19231J,13
1,2020-08-25,2023-03-15T06:00:00Z,15,18291F,2
1,2020-08-25,2023-03-15T06:00:00Z,18,16829E,4
1,2020-08-25,2023-03-15T06:00:00Z,20,16509C,20
1,2020-08-25,2023-03-15T06:00:00Z,25,14827B,30
1,2020-08-25,2023-03-15T06:00:00Z,37,10793A,23
1,2020-08-25,2023-03-15T07:00:00Z,12,19231J,8
1,2020-08-25,2023-03-15T07:00:00Z,15,18291F,84
1,2020-08-25,2023-03-15T07:00:00Z,18,16829E,14
1,2020-08-25,2023-03-15T07:00:00Z,25,14827B,29
1,2020-08-25,2023-03-15T08:00:00Z,12,19231J,106
1,2020-08-25,2023-03-15T08:00:00Z,15,18291F,89
1,2020-08-25,2023-03-15T08:00:00Z,18,16829E,37
