Week,Day,Age_in_months,IdLabel,sum_distance_daily
1,1,37,10793A,33104.4398438469
1,1,25,14827B,67427.9034669566
1,1,20,16509C,42955.9990577435
1,1,18,16829E,29222.5427555268
1,1,15,18291F,59521.7975769415
1,1,12,19231J,60309.9905197911
1,2,37,10793A,141107.569603246
1,2,25,14827B,394726.332127249
1,2,20,16509C,307494.983948787
1,2,18,16829E,205613.897260915
1,2,15,18291F,493977.026020011
1,2,12,19231J,803194.852304527
1,3,37,10793A,93529.3509327514
1,3,25,14827B,484607.624679438
1,3,20,16509C,266230.804427326
1,3,18,16829E,200322.231810691
1,3,15,18291F,462080.192217614
1,3,12,19231J,659780.52607528
1,4,37,10793A,75141.8369074541
1,4,25,14827B,308873.056321811
1,4,20,16509C,195520.853674405
1,4,18,16829E,184408.732791076
1,4,15,18291F,573334.369791508
1,4,12,19231J,396479.880155832
1,5,37,10793A,73584.0040837244
1,5,25,14827B,290610.978261835
1,5,20,16509C,229609.430733826
1,5,18,16829E,168062.306276563
1,5,15,18291F,374817.072688071
1,5,12,19231J,455023.374922832
1,6,37,10793A,51738.4161524096
1,6,25,14827B,315450.035674033
1,6,20,16509C,168319.168540093
1,6,18,16829E,119894.223148246
1,6,15,18291F,215529.381254059
1,6,12,19231J,258185.322480812
1,7,37,10793A,50635.4497472375
1,7,25,14827B,410700.016351479
1,7,20,16509C,191937.248615373
1,7,18,16829E,127570.647031688
1,7,15,18291F,278906.89058742
1,7,12,19231J,264492.809213518
2,8,37,10793A,74227.6288023329
2,8,25,14827B,433533.477650752
2,8,20,16509C,212640.352544617
2,8,18,16829E,247109.697438638
2,8,15,18291F,348338.94886171
2,8,12,19231J,260666.772473482
2,9,37,10793A,52767.5213997862
2,9,25,14827B,378577.056928053
2,9,20,16509C,178594.78814423
2,9,18,16829E,169116.384698472
2,9,15,18291F,216553.717661585
2,9,12,19231J,172061.164732886
2,10,37,10793A,52672.0984782732
2,10,25,14827B,401987.461979985
2,10,20,16509C,156866.942263416
2,10,18,16829E,144655.164344733
2,10,15,18291F,457265.73053457
2,10,12,19231J,162034.969359523
