Week,Time,Day,Age_in_months,IdLabel,sum_distance_hourly
1,2020-08-24T10:00:00Z,1,12,19231J,23195.2259804996
1,2020-08-24T11:00:00Z,1,12,19231J,37114.7645392914
1,2020-08-24T10:00:00Z,1,15,18291F,19857.6178169974
1,2020-08-24T11:00:00Z,1,15,18291F,39664.1797599441
1,2020-08-24T10:00:00Z,1,18,16829E,10542.9293567402
1,2020-08-24T11:00:00Z,1,18,16829E,18679.6133987866
1,2020-08-24T10:00:00Z,1,20,16509C,17986.2369758911
1,2020-08-24T11:00:00Z,1,20,16509C,24969.7620818524
1,2020-08-24T10:00:00Z,1,25,14827B,24233.9406506007
1,2020-08-24T11:00:00Z,1,25,14827B,43193.962816356
1,2020-08-24T10:00:00Z,1,37,10793A,13784.6434581013
1,2020-08-24T11:00:00Z,1,37,10793A,19319.7963857457
1,2020-08-24T12:00:00Z,2,12,19231J,34482.5816279855
1,2020-08-24T13:00:00Z,2,12,19231J,42557.8338135584
1,2020-08-24T14:00:00Z,2,12,19231J,31880.4074017948
1,2020-08-24T15:00:00Z,2,12,19231J,25423.7126614857
1,2020-08-24T16:00:00Z,2,12,19231J,7851.71851957184
1,2020-08-24T17:00:00Z,2,12,19231J,38159.044951495
1,2020-08-24T18:00:00Z,2,12,19231J,49726.9018641911
1,2020-08-24T19:00:00Z,2,12,19231J,45722.4874970905
1,2020-08-24T20:00:00Z,2,12,19231J,49826.0816517866
1,2020-08-24T21:00:00Z,2,12,19231J,44637.5210287882
1,2020-08-24T22:00:00Z,2,12,19231J,57177.9756607309
1,2020-08-24T23:00:00Z,2,12,19231J,56347.9895281289
1,2020-08-25T00:00:00Z,2,12,19231J,84390.5003603109
1,2020-08-25T01:00:00Z,2,12,19231J,73919.5796787393
1,2020-08-25T02:00:00Z,2,12,19231J,71576.5922138971
1,2020-08-25T03:00:00Z,2,12,19231J,4074.73346241312
1,2020-08-25T04:00:00Z,2,12,19231J,31054.0064605716
1,2020-08-25T05:00:00Z,2,12,19231J,19372.1187275407
1,2020-08-25T06:00:00Z,2,12,19231J,2697.1721150643
1,2020-08-25T07:00:00Z,2,12,19231J,2124.56780103282
1,2020-08-25T08:00:00Z,2,12,19231J,23995.6089678885
1,2020-08-25T09:00:00Z,2,12,19231J,1792.58070840083
1,2020-08-25T11:00:00Z,2,12,19231J,4403.13560206565
1,2020-08-24T12:00:00Z,2,15,18291F,36185.8635536568
1,2020-08-24T13:00:00Z,2,15,18291F,37519.8742519195
1,2020-08-24T14:00:00Z,2,15,18291F,43077.1412114722
1,2020-08-24T15:00:00Z,2,15,18291F,36311.0828799824
1,2020-08-24T16:00:00Z,2,15,18291F,49106.7464457116
1,2020-08-24T17:00:00Z,2,15,18291F,38143.9589809385
1,2020-08-24T18:00:00Z,2,15,18291F,38532.4043553064
1,2020-08-24T19:00:00Z,2,15,18291F,22896.3383943837
1,2020-08-24T20:00:00Z,2,15,18291F,4203.96790521208
1,2020-08-24T21:00:00Z,2,15,18291F,22417.9885860966
1,2020-08-24T22:00:00Z,2,15,18291F,45070.2703029636
1,2020-08-24T23:00:00Z,2,15,18291F,14905.7597089644
1,2020-08-25T00:00:00Z,2,15,18291F,7821.01961923522
1,2020-08-25T01:00:00Z,2,15,18291F,4471.94209047607
1,2020-08-25T02:00:00Z,2,15,18291F,20106.727604327
1,2020-08-25T03:00:00Z,2,15,18291F,13393.6111896813
1,2020-08-25T04:00:00Z,2,15,18291F,4425.3506838126
1,2020-08-25T05:00:00Z,2,15,18291F,1195.38498770588
1,2020-08-25T06:00:00Z,2,15,18291F,419.597860347472
1,2020-08-25T07:00:00Z,2,15,18291F,18093.1124184008
1,2020-08-25T08:00:00Z,2,15,18291F,18159.5425818947
1,2020-08-25T09:00:00Z,2,15,18291F,5806.10775185637
1,2020-08-25T10:00:00Z,2,15,18291F,6091.50343782489
1,2020-08-25T11:00:00Z,2,15,18291F,5621.72921783448
1,2020-08-24T12:00:00Z,2,18,16829E,16762.4176780917
1,2020-08-24T13:00:00Z,2,18,16829E,16602.3962815664
1,2020-08-24T14:00:00Z,2,18,16829E,14807.6133987866
1,2020-08-24T15:00:00Z,2,18,16829E,10689.484250405
1,2020-08-24T16:00:00Z,2,18,16829E,4495.53995082354
1,2020-08-24T17:00:00Z,2,18,16829E,8795.67130831055
1,2020-08-24T18:00:00Z,2,18,16829E,10864.8799363735
1,2020-08-24T19:00:00Z,2,18,16829E,4886.3571374966
1,2020-08-24T20:00:00Z,2,18,16829E,8301.6949139412
1,2020-08-24T21:00:00Z,2,18,16829E,4091.55064908618
1,2020-08-24T22:00:00Z,2,18,16829E,4027.14850943365
1,2020-08-24T23:00:00Z,2,18,16829E,21567.4953706334
1,2020-08-25T00:00:00Z,2,18,16829E,23184.8954748127
1,2020-08-25T01:00:00Z,2,18,16829E,21604.1513141369
1,2020-08-25T02:00:00Z,2,18,16829E,4051.3506838126
1,2020-08-25T03:00:00Z,2,18,16829E,1550.58070840083
1,2020-08-25T04:00:00Z,2,18,16829E,2168.78288277978
1,2020-08-25T05:00:00Z,2,18,16829E,2126.76997541177
1,2020-08-25T06:00:00Z,2,18,16829E,729.195720694944
1,2020-08-25T07:00:00Z,2,18,16829E,2680.57001013819
