Group,IdLabel,Age_in_months,Day,Distance_light,Distance_dark,Distance_total
All,10793A,37,1,33104.4398438469,0,33104.4398438469
All,10793A,37,2,26528.6202744364,114578.949328809,141107.569603246
All,10793A,37,3,20882.7663737909,72646.5845589607,93529.3509327514
All,10793A,37,4,20930.1633611486,54211.6735463057,75141.8369074541
All,10793A,37,5,35378.5668775239,38205.4372062005,73584.0040837244
All,10793A,37,6,24539.6660800584,27198.7500723511,51738.4161524096
All,10793A,37,7,16823.8027601982,33811.6469870392,50635.4497472375
All,10793A,37,8,29498.2848336886,44729.3439686444,74227.6288023329
All,10793A,37,9,22255.4458088254,30512.0755909608,52767.5213997862
All,10793A,37,10,15389.3589180609,37282.7395602123,52672.0984782732
All,14827B,25,1,67427.9034669566,0,67427.9034669566
All,14827B,25,2,78869.178990368,315857.153136879,394726.332127249
All,14827B,25,3,102966.052808433,381641.571871003,484607.624679438
All,14827B,25,4,80512.9094158294,228360.14690598,308873.056321811
All,14827B,25,5,86793.4566806932,203817.52158114,290610.978261835
All,14827B,25,6,44669.0660237294,270780.969650303,315450.035674033
All,14827B,25,7,51634.3020237424,359065.714327736,410700.016351479
All,14827B,25,8,89468.8704111553,344064.607239595,433533.477650752
All,14827B,25,9,52839.7466416849,325737.310286367,378577.056928053
All,14827B,25,10,34552.2175249328,367435.244455052,401987.461979985
All,16509C,20,1,42955.9990577435,0,42955.9990577435
All,16509C,20,2,108873.235881982,198621.748066802,307494.983948787
All,16509C,20,3,39707.6894778209,226523.114949505,266230.804427326
All,16509C,20,4,31390.7343063447,164130.11936806,195520.853674405
All,16509C,20,5,42260.6830241369,187348.747709688,229609.430733826
All,16509C,20,6,28049.2717997292,140269.896740364,168319.168540093
All,16509C,20,7,34078.0310768783,157859.217538494,191937.248615373
All,16509C,20,8,73169.5054729522,139470.847071663,212640.352544617
All,16509C,20,9,36413.3817606909,142181.406383539,178594.78814423
All,16509C,20,10,7670.92493852943,149196.017324886,156866.942263416
All,16829E,18,1,29222.5427555268,0,29222.5427555268
All,16829E,18,2,79721.6478759659,125892.249384948,205613.897260915
All,16829E,18,3,32784.4354256362,167537.796385054,200322.231810691
All,16829E,18,4,54923.971727479,129484.761063596,184408.732791076
All,16829E,18,5,59361.5201674599,108700.786109102,168062.306276563
All,16829E,18,6,26910.2804625185,92983.9426857277,119894.223148246
All,16829E,18,7,20746.6006650507,106824.046366637,127570.647031688
All,16829E,18,8,52570.6246015208,194539.072837116,247109.697438638
All,16829E,18,9,34255.0750206592,134861.309677812,169116.384698472
All,16829E,18,10,2589.37428944325,142065.790055289,144655.164344733
All,18291F,15,1,59521.7975769415,0,59521.7975769415
All,18291F,15,2,105605.629443396,388371.396576612,493977.026020011
All,18291F,15,3,115499.238466012,346580.953751599,462080.192217614
All,18291F,15,4,145328.97910726,428005.390684247,573334.369791508
All,18291F,15,5,134390.38314066,240426.689547408,374817.072688071
All,18291F,15,6,63943.3726949761,151586.008559082,215529.381254059
All,18291F,15,7,64732.2464674074,214174.644120011,278906.89058742
All,18291F,15,8,77151.6456895211,271187.303172187,348338.94886171
All,18291F,15,9,37579.4436450346,178974.27401655,216553.717661585
All,18291F,15,10,22029.5706280773,435236.159906493,457265.73053457
All,19231J,12,1,60309.9905197911,0,60309.9905197911
All,19231J,12,2,319400.596097927,483794.256206612,803194.852304527
All,19231J,12,3,100886.781880814,558893.744194471,659780.52607528
All,19231J,12,4,63974.6147933759,332505.265362456,396479.880155832
All,19231J,12,5,85552.7420756694,369470.632847161,455023.374922832
All,19231J,12,6,33726.6427614053,224458.679719406,258185.322480812
All,19231J,12,7,31931.2930442276,232561.51616929,264492.809213518
All,19231J,12,8,67511.210739586,193155.561733895,260666.772473482
All,19231J,12,9,24248.8976368773,147812.267096008,172061.164732886
All,19231J,12,10,16988.5640106107,145046.405348912,162034.969359523
