Week,Day,Age_in_months,IdLabel,mean_hourlyDistance_perDay,sd_HourlyDistance_perDay
1,1,12,19231J,30.1549952598955,9.8426001059093
1,1,15,18291F,29.7608987884707,14.005354261849
1,1,18,16829E,14.6112713777634,5.75350446250342
1,1,20,16509C,21.4779995288717,4.93809795901172
1,1,25,14827B,33.7139517334783,13.4067602448528
1,1,37,10793A,16.5522199219235,3.91394417004192
1,2,12,19231J,34.9215153175884,24.5785198614684
1,2,15,18291F,20.5823760841669,15.9057280499798
1,2,18,16829E,8.93973466351801,7.05591846889053
1,2,20,16509C,13.9770447249447,12.8887325598109
1,2,25,14827B,17.162014440315,16.0135334186037
1,2,37,10793A,7.05537848016232,7.53396649322715
1,3,12,19231J,29.9900239125128,26.9072836542756
1,3,15,18291F,19.2533413424003,19.9323089075284
1,3,18,16829E,9.105555991395,7.66888544362999
1,3,20,16509C,14.0121476014381,14.1643270326017
1,3,25,14827B,20.1919843616431,20.1561831458982
1,3,37,10793A,4.92259741751324,5.1502926743099
1,4,12,19231J,18.8799942931347,20.1774852151196
1,4,15,18291F,24.9275812952827,23.3246812149067
1,4,18,16829E,8.01777099091634,7.92976884484266
1,4,20,16509C,9.77604268372024,9.1907525002321
1,4,25,14827B,14.039684378264,16.6469327250006
1,4,37,10793A,3.75709184537271,3.12590857143431
1,5,12,19231J,20.6828806783103,23.6236733214542
1,5,15,18291F,15.6173780286695,16.7790868566725
1,5,18,16829E,7.63919573984375,7.39874406607184
1,5,20,16509C,10.9337824158964,10.1609817338515
1,5,25,14827B,12.1087907609097,13.6881865992869
1,5,37,10793A,3.50400019446306,3.04126674338901
1,6,12,19231J,11.7356964764005,16.79804615732
1,6,15,18291F,9.37084266321993,10.5234798296613
1,6,18,16829E,5.99471115741233,5.59016902258791
1,6,20,16509C,8.0151985019092,8.76192587834155
1,6,25,14827B,13.143751486418,17.5106739581669
1,6,37,10793A,2.72307453433734,2.56909469560521
1,7,12,19231J,12.5948956768341,13.7769520704782
1,7,15,18291F,12.126386547279,12.5512215782003
1,7,18,16829E,5.79866577416766,6.36627510445999
1,7,20,16509C,10.6631804786318,8.37649376663619
1,7,25,14827B,17.8565224500642,22.0618490269724
1,7,37,10793A,2.66502367090723,1.93473101338541
2,8,12,19231J,13.0333386236741,14.0366066806206
2,8,15,18291F,14.5141228692378,15.8341108319287
2,8,18,16829E,11.2322589744835,12.4912916841291
2,8,20,16509C,10.1257310735531,11.3376184755814
2,8,25,14827B,20.6444513167023,18.3602468332347
2,8,37,10793A,3.90671730538594,3.27875910483989
2,9,12,19231J,8.1933887968041,9.42622645847061
2,9,15,18291F,9.41537902876454,11.9467724449881
2,9,18,16829E,7.68710839538509,7.99189654806599
2,9,20,16509C,8.92973940721151,7.67954875519266
2,9,25,14827B,17.2080480421841,19.229935624262
2,9,37,10793A,3.10397184704624,2.66873447237808
2,10,12,19231J,10.1271855849702,11.0092402653539
2,10,15,18291F,25.4036516963648,23.0005999742032
2,10,18,16829E,8.50912731439607,10.7529307564235
2,10,20,16509C,10.4577961508944,9.47769110807496
2,10,25,14827B,21.1572348410517,27.1893755869377
2,10,37,10793A,3.76229274844808,4.08828026221684
