Group,IdLabel,Day,Cage,Duration_entropy,Duration_entropy_light,Duration_entropy_dark
All,10793A,1,Cage 2-1,0.854,0.854,0
All,10793A,1,Cage 2-2,0.716,0.716,0
All,10793A,1,Cage 2-3,0.94,0.94,0
All,10793A,1,Cage 2-4,0.861,0.861,0
All,10793A,1,Cage 2-5,0.916,0.916,0
All,10793A,1,Cage 2-6,0.801,0.801,0
All,10793A,1,Tube 1:2,0.961,0.961,0
All,10793A,1,Tube 2:3,0.884,0.884,0
All,10793A,2,Cage 1-1,0.735,0,0.735
All,10793A,2,Cage 1-2,0.865,0,0.865
All,10793A,2,Cage 1-3,0.759,0,0.759
All,10793A,2,Cage 1-4,0.957,0,0.957
All,10793A,2,Cage 1-5,0.976,0,0.976
All,10793A,2,Cage 1-6,0.744,0,0.744
All,10793A,2,Cage 2-1,0.624,0,0.624
All,10793A,2,Cage 2-2,0.735,0,0.735
All,10793A,2,Cage 2-3,0.884,0,0.884
All,10793A,2,Cage 2-4,0.803,0,0.803
All,10793A,2,Cage 2-5,0.876,0,0.876
All,10793A,2,Cage 2-6,0.84,0,0.84
All,10793A,2,Cage 3-1,0.481,0,0
All,10793A,2,Cage 3-2,0.7,0,0
All,10793A,2,Cage 3-3,0.701,0,0
All,10793A,2,Cage 3-4,0.518,0,0
All,10793A,2,Cage 3-5,0.826,0,0
All,10793A,2,Cage 3-6,0.434,0,0
All,10793A,2,Tube 1:2,0.916,0,0.916
All,10793A,2,Tube 2:3,0.941,0,0
All,10793A,3,Cage 1-1,0.303,0,0
All,10793A,3,Cage 1-2,0.557,0,0
All,10793A,3,Cage 1-3,0.78,0,0
All,10793A,3,Cage 1-4,0.861,0,0
All,10793A,3,Cage 1-5,0.838,0,0
All,10793A,3,Cage 1-6,0.477,0,0
All,10793A,3,Cage 2-1,0.751,0,0.751
All,10793A,3,Cage 2-2,0.587,0,0
All,10793A,3,Cage 2-3,0.509,0,0
All,10793A,3,Cage 2-4,0.897,0,0
All,10793A,3,Cage 2-5,0.618,0,0
All,10793A,3,Cage 2-6,0.87,0,0
All,10793A,3,Cage 3-1,0.237,0,0
All,10793A,3,Cage 3-2,0.573,0,0
All,10793A,3,Cage 3-3,0.457,0,0
All,10793A,3,Cage 3-4,0.485,0,0
All,10793A,3,Cage 3-5,0.789,0,0
All,10793A,3,Cage 3-6,0.297,0,0
All,10793A,3,Tube 1:2,0.911,0,0
All,10793A,3,Tube 2:3,0.914,0,0
All,10793A,4,Cage 1-1,0.512,0,0
All,10793A,4,Cage 1-2,0.562,0,0
All,10793A,4,Cage 1-3,0.78,0,0
All,10793A,4,Cage 1-4,0.049,0,0
All,10793A,4,Cage 1-5,0.672,0.672,0
All,10793A,4,Cage 1-6,0.2,0,0
All,10793A,4,Cage 2-1,0.233,0,0
All,10793A,4,Cage 2-2,0.533,0,0
All,10793A,4,Cage 2-3,0.478,0,0
All,10793A,4,Cage 2-4,0.792,0,0
All,10793A,4,Cage 2-5,0.822,0,0
All,10793A,4,Cage 2-6,0.529,0,0
All,10793A,4,Cage 3-1,0.025,0,0.025
All,10793A,4,Cage 3-2,0.757,0,0.757
All,10793A,4,Cage 3-3,0.295,0,0.295
All,10793A,4,Cage 3-4,0.135,0,0.135
All,10793A,4,Cage 3-5,0.798,0,0.798
All,10793A,4,Cage 3-6,0.827,0,0.827
All,10793A,4,Tube 1:2,0.894,0,0
All,10793A,4,Tube 2:3,0.888,0,0
All,10793A,5,Cage 1-1,0.762,0,0
All,10793A,5,Cage 1-2,0.82,0,0
All,10793A,5,Cage 1-3,0.271,0,0
All,10793A,5,Cage 1-4,0.191,0,0
All,10793A,5,Cage 1-5,0.833,0,0
All,10793A,5,Cage 1-6,0.692,0,0
All,10793A,5,Cage 2-1,0.471,0,0.471
All,10793A,5,Cage 2-2,0.425,0,0
All,10793A,5,Cage 2-3,0.475,0,0
All,10793A,5,Cage 2-4,0.821,0,0
All,10793A,5,Cage 2-5,0.687,0,0
All,10793A,5,Cage 2-6,0.757,0,0
All,10793A,5,Cage 3-1,0.557,0,0
All,10793A,5,Cage 3-2,0.528,0,0
All,10793A,5,Cage 3-3,0.32,0,0
All,10793A,5,Cage 3-4,0.446,0,0
All,10793A,5,Cage 3-5,0.73,0,0
All,10793A,5,Cage 3-6,0.695,0,0
All,10793A,5,Tube 1:2,0.879,0,0
All,10793A,5,Tube 2:3,0.913,0,0
All,10793A,6,Cage 1-1,0.8,0,0
All,10793A,6,Cage 1-2,0.723,0,0
All,10793A,6,Cage 1-3,0.424,0,0
All,10793A,6,Cage 1-4,0.444,0,0
All,10793A,6,Cage 1-5,0.812,0,0
All,10793A,6,Cage 1-6,0.75,0,0
All,10793A,6,Cage 2-1,0.824,0,0.824
All,10793A,6,Cage 2-2,0.489,0,0.489
All,10793A,6,Cage 2-3,0.234,0,0.234
All,10793A,6,Cage 2-4,0.065,0,0.065
All,10793A,6,Cage 2-5,0.713,0,0.713
All,10793A,6,Cage 2-6,0.743,0,0.743
All,10793A,6,Tube 1:2,0.908,0,0
All,10793A,6,Tube 2:3,0.934,0,0.934
All,10793A,7,Cage 1-1,0.909,0,0
All,10793A,7,Cage 1-2,0.782,0,0
All,10793A,7,Cage 1-3,0.563,0,0
