Group,IdLabel,Day,Cage,Duration_sum,Duration_light,Duration_dark
All,10793A,1,Cage 2-1,456.187,456.187,0
All,10793A,1,Cage 2-2,825.96,825.96,0
All,10793A,1,Cage 2-3,337.526,337.526,0
All,10793A,1,Cage 2-4,515.157,515.157,0
All,10793A,1,Cage 2-5,438.152,438.152,0
All,10793A,1,Cage 2-6,542.417,542.417,0
All,10793A,1,Tube 1:2,105.579,105.579,0
All,10793A,1,Tube 2:3,65.024,65.024,0
All,10793A,2,Cage 1-1,72.523,0,72.523
All,10793A,2,Cage 1-2,127.433,0,127.433
All,10793A,2,Cage 1-3,107.278,0,107.278
All,10793A,2,Cage 1-4,71.933,0,71.933
All,10793A,2,Cage 1-5,23.723,0,23.723
All,10793A,2,Cage 1-6,28.103,0,28.103
All,10793A,2,Cage 2-1,1202.891,0,1202.891
All,10793A,2,Cage 2-2,1064.348,0,1064.348
All,10793A,2,Cage 2-3,411.9,0,411.9
All,10793A,2,Cage 2-4,1235.492,0,1235.492
All,10793A,2,Cage 2-5,400.668,0,400.668
All,10793A,2,Cage 2-6,189.976,0,189.976
All,10793A,2,Cage 3-1,5740.821,1210.232,4530.589
All,10793A,2,Cage 3-2,4197.154,2206.784,1990.37
All,10793A,2,Cage 3-3,2722.566,1331.178,1391.388
All,10793A,2,Cage 3-4,5095.988,4204.926,891.062
All,10793A,2,Cage 3-5,1096.587,322.037,774.55
All,10793A,2,Cage 3-6,18668.804,9151.795,9517.009
All,10793A,2,Tube 1:2,237.299,0,237.299
All,10793A,2,Tube 2:3,476.665,58.312,418.353
All,10793A,3,Cage 1-1,8362.189,1865.13,6497.059
All,10793A,3,Cage 1-2,2978.087,276.738,2701.349
All,10793A,3,Cage 1-3,684.899,25.008,659.891
All,10793A,3,Cage 1-4,341.594,51.194,290.4
All,10793A,3,Cage 1-5,473.271,18.289,454.982
All,10793A,3,Cage 1-6,1279.245,826.236,453.009
All,10793A,3,Cage 2-1,172.649,0,172.649
All,10793A,3,Cage 2-2,1656.452,7.292,1649.16
All,10793A,3,Cage 2-3,369.929,250.114,119.815
All,10793A,3,Cage 2-4,212.262,71.676,140.586
All,10793A,3,Cage 2-5,169.996,10.136,159.86
All,10793A,3,Cage 2-6,87.503,27.772,59.731
All,10793A,3,Cage 3-1,2485.432,82.248,2403.184
All,10793A,3,Cage 3-2,4251.129,943.05,3308.079
All,10793A,3,Cage 3-3,6855.673,3234.941,3620.732
All,10793A,3,Cage 3-4,6511.31,5762.705,748.605
