Day,Time,Age_in_months,IdLabel,Cage_level,Cage,duration
1,2020-08-24T10:00:00Z,12,19231J,2,Cage 2-1,139.321
1,2020-08-24T10:00:00Z,12,19231J,2,Cage 2-2,10.17
1,2020-08-24T10:00:00Z,12,19231J,2,Cage 2-3,168.309
1,2020-08-24T10:00:00Z,12,19231J,2,Cage 2-4,312.824
1,2020-08-24T10:00:00Z,12,19231J,2,Cage 2-5,116.881
1,2020-08-24T10:00:00Z,12,19231J,2,Cage 2-6,305.199
1,2020-08-24T10:00:00Z,15,18291F,2,Cage 2-1,156.498
1,2020-08-24T10:00:00Z,15,18291F,2,Cage 2-2,276.142
1,2020-08-24T10:00:00Z,15,18291F,2,Cage 2-3,138.646
1,2020-08-24T10:00:00Z,15,18291F,2,Cage 2-4,200.823
1,2020-08-24T10:00:00Z,15,18291F,2,Cage 2-5,159.423
1,2020-08-24T10:00:00Z,15,18291F,2,Cage 2-6,332.829
1,2020-08-24T10:00:00Z,18,16829E,2,Cage 2-1,243.524
1,2020-08-24T10:00:00Z,18,16829E,2,Cage 2-3,124.768
1,2020-08-24T10:00:00Z,18,16829E,2,Cage 2-4,207.114
1,2020-08-24T10:00:00Z,18,16829E,2,Cage 2-5,78.547
1,2020-08-24T10:00:00Z,18,16829E,2,Cage 2-6,346.102
1,2020-08-24T10:00:00Z,20,16509C,2,Cage 2-1,251.067
1,2020-08-24T10:00:00Z,20,16509C,2,Cage 2-2,224.402
1,2020-08-24T10:00:00Z,20,16509C,2,Cage 2-3,207.854
1,2020-08-24T10:00:00Z,20,16509C,2,Cage 2-4,231.587
1,2020-08-24T10:00:00Z,20,16509C,2,Cage 2-5,48.839
1,2020-08-24T10:00:00Z,20,16509C,2,Cage 2-6,151.766
1,2020-08-24T10:00:00Z,25,14827B,2,Cage 2-1,96.613
1,2020-08-24T10:00:00Z,25,14827B,2,Cage 2-2,419.666
1,2020-08-24T10:00:00Z,25,14827B,2,Cage 2-3,172.766
1,2020-08-24T10:00:00Z,25,14827B,2,Cage 2-4,277.155
1,2020-08-24T10:00:00Z,25,14827B,2,Cage 2-5,201.659
1,2020-08-24T10:00:00Z,25,14827B,2,Cage 2-6,175.502
1,2020-08-24T10:00:00Z,37,10793A,2,Cage 2-1,182.946
1,2020-08-24T10:00:00Z,37,10793A,2,Cage 2-2,105.107
1,2020-08-24T10:00:00Z,37,10793A,2,Cage 2-3,158.428
1,2020-08-24T10:00:00Z,37,10793A,2,Cage 2-4,242.234
1,2020-08-24T10:00:00Z,37,10793A,2,Cage 2-5,206.673
1,2020-08-24T10:00:00Z,37,10793A,2,Cage 2-6,227.669
1,2020-08-24T11:00:00Z,12,19231J,2,Cage 2-1,347.352
1,2020-08-24T11:00:00Z,12,19231J,2,Cage 2-2,146.802
1,2020-08-24T11:00:00Z,12,19231J,2,Cage 2-3,367.712
1,2020-08-24T11:00:00Z,12,19231J,2,Cage 2-4,246.929
1,2020-08-24T11:00:00Z,12,19231J,2,Cage 2-5,447.15
1,2020-08-24T11:00:00Z,12,19231J,2,Cage 2-6,370.521
1,2020-08-24T11:00:00Z,15,18291F,2,Cage 2-1,144.261
1,2020-08-24T11:00:00Z,15,18291F,2,Cage 2-2,700.236
1,2020-08-24T11:00:00Z,15,18291F,2,Cage 2-3,191.848
1,2020-08-24T11:00:00Z,15,18291F,2,Cage 2-4,462.69
1,2020-08-24T11:00:00Z,15,18291F,2,Cage 2-5,216.173
1,2020-08-24T11:00:00Z,15,18291F,2,Cage 2-6,412.489
1,2020-08-24T11:00:00Z,18,16829E,2,Cage 2-1,201.13
1,2020-08-24T11:00:00Z,18,16829E,2,Cage 2-3,361.644
1,2020-08-24T11:00:00Z,18,16829E,2,Cage 2-4,162.897
1,2020-08-24T11:00:00Z,18,16829E,2,Cage 2-5,374.449
1,2020-08-24T11:00:00Z,18,16829E,2,Cage 2-6,388.007
1,2020-08-24T11:00:00Z,20,16509C,2,Cage 2-1,135.428
1,2020-08-24T11:00:00Z,20,16509C,2,Cage 2-2,574.97
1,2020-08-24T11:00:00Z,20,16509C,2,Cage 2-3,126.712
1,2020-08-24T11:00:00Z,20,16509C,2,Cage 2-4,372.388
1,2020-08-24T11:00:00Z,20,16509C,2,Cage 2-5,333.407
1,2020-08-24T11:00:00Z,20,16509C,2,Cage 2-6,432.788
1,2020-08-24T11:00:00Z,25,14827B,2,Cage 2-1,120.13
1,2020-08-24T11:00:00Z,25,14827B,2,Cage 2-2,819.488
1,2020-08-24T11:00:00Z,25,14827B,2,Cage 2-3,217.229
1,2020-08-24T11:00:00Z,25,14827B,2,Cage 2-4,453.749
1,2020-08-24T11:00:00Z,25,14827B,2,Cage 2-5,348.096
1,2020-08-24T11:00:00Z,25,14827B,2,Cage 2-6,261.668
1,2020-08-24T11:00:00Z,37,10793A,2,Cage 2-1,273.241
1,2020-08-24T11:00:00Z,37,10793A,2,Cage 2-2,720.853
1,2020-08-24T11:00:00Z,37,10793A,2,Cage 2-3,179.098
1,2020-08-24T11:00:00Z,37,10793A,2,Cage 2-4,272.923
1,2020-08-24T11:00:00Z,37,10793A,2,Cage 2-5,231.479
1,2020-08-24T11:00:00Z,37,10793A,2,Cage 2-6,314.748
2,2020-08-25T00:00:00Z,12,19231J,1,Cage 1-1,82.154
2,2020-08-25T00:00:00Z,12,19231J,1,Cage 1-2,18.373
2,2020-08-25T00:00:00Z,12,19231J,1,Cage 1-3,9.871
2,2020-08-25T00:00:00Z,12,19231J,1,Cage 1-4,12.746
2,2020-08-25T00:00:00Z,12,19231J,1,Cage 1-5,96.223
2,2020-08-25T00:00:00Z,12,19231J,1,Cage 1-6,6.043
2,2020-08-25T00:00:00Z,12,19231J,2,Cage 2-1,66.085
2,2020-08-25T00:00:00Z,12,19231J,2,Cage 2-2,203.535
2,2020-08-25T00:00:00Z,12,19231J,2,Cage 2-3,78.308
2,2020-08-25T00:00:00Z,12,19231J,2,Cage 2-4,40.652
2,2020-08-25T00:00:00Z,12,19231J,2,Cage 2-5,161.212
2,2020-08-25T00:00:00Z,12,19231J,2,Cage 2-6,124.669
2,2020-08-25T00:00:00Z,12,19231J,3,Cage 3-1,188.596
2,2020-08-25T00:00:00Z,12,19231J,3,Cage 3-2,132.289
2,2020-08-25T00:00:00Z,12,19231J,3,Cage 3-3,152.08
2,2020-08-25T00:00:00Z,12,19231J,3,Cage 3-4,113.196
2,2020-08-25T00:00:00Z,12,19231J,3,Cage 3-5,167.801
2,2020-08-25T00:00:00Z,12,19231J,3,Cage 3-6,183.494
2,2020-08-25T00:00:00Z,15,18291F,2,Cage 2-4,1.671
2,2020-08-25T00:00:00Z,15,18291F,3,Cage 3-1,35.032
2,2020-08-25T00:00:00Z,15,18291F,3,Cage 3-2,232.413
2,2020-08-25T00:00:00Z,15,18291F,3,Cage 3-3,84.276
2,2020-08-25T00:00:00Z,15,18291F,3,Cage 3-4,71.852
2,2020-08-25T00:00:00Z,15,18291F,3,Cage 3-5,41.982
2,2020-08-25T00:00:00Z,15,18291F,3,Cage 3-6,3.982
2,2020-08-25T00:00:00Z,18,16829E,2,Cage 2-1,200.651
2,2020-08-25T00:00:00Z,18,16829E,2,Cage 2-2,527.451
2,2020-08-25T00:00:00Z,18,16829E,2,Cage 2-3,263.497
2,2020-08-25T00:00:00Z,18,16829E,2,Cage 2-4,237.313
2,2020-08-25T00:00:00Z,18,16829E,2,Cage 2-5,384.216
2,2020-08-25T00:00:00Z,18,16829E,2,Cage 2-6,344.961
