nr_of_mice,miceID,sum_overlaps
1,10793A,304313.83
1,14827B,289521.943
1,16509C,356187.642
1,16829E,357696.925
1,18291F,365631.964
1,19231J,322979.341
2,"10793A, 14827B",22062.092
2,"10793A, 16509C",21309.047
2,"10793A, 16829E",27203.247
2,"10793A, 18291F",33941.443
2,"10793A, 19231J",29852.797
2,"14827B, 16509C",8631.622
2,"14827B, 16829E",36292.576
2,"14827B, 18291F",17958.536
2,"14827B, 19231J",10790.604
2,"16509C, 16829E",3293.18
2,"16509C, 18291F",10434.706
2,"16509C, 19231J",27745.317
2,"16829E, 18291F",13902.163
2,"16829E, 19231J",15394.393
2,"18291F, 19231J",20457.902
3,"10793A, 14827B, 16509C",248.351
3,"10793A, 14827B, 16829E",862.564
3,"10793A, 14827B, 18291F",5264.221
3,"10793A, 14827B, 19231J",4419.931
3,"10793A, 16509C, 16829E",173.345
3,"10793A, 16509C, 18291F",803.632
3,"10793A, 16509C, 19231J",682.433
3,"10793A, 16829E, 18291F",1325.062
3,"10793A, 16829E, 19231J",650.956
3,"10793A, 18291F, 19231J",1704.104
3,"14827B, 16509C, 16829E",269.736
3,"14827B, 16509C, 18291F",406.044
3,"14827B, 16509C, 19231J",532.079
3,"14827B, 16829E, 18291F",611.35
3,"14827B, 16829E, 19231J",416.752
3,"14827B, 18291F, 19231J",5475.065
3,"16509C, 16829E, 18291F",868.022
3,"16509C, 16829E, 19231J",84.71
3,"16509C, 18291F, 19231J",162.866
3,"16829E, 18291F, 19231J",575.889
4,"10793A, 14827B, 16509C, 18291F",36.641
4,"10793A, 14827B, 16509C, 19231J",6.859
4,"10793A, 14827B, 16829E, 18291F",99.76
4,"10793A, 14827B, 16829E, 19231J",13.242
4,"10793A, 14827B, 18291F, 19231J",1942.903
4,"10793A, 16509C, 16829E, 18291F",8.887
4,"10793A, 16509C, 18291F, 19231J",4.039
4,"10793A, 16829E, 18291F, 19231J",33.441
4,"14827B, 16509C, 16829E, 18291F",5.901
4,"14827B, 16509C, 16829E, 19231J",6.657
4,"14827B, 16509C, 18291F, 19231J",3.797
4,"14827B, 16829E, 18291F, 19231J",1665.212
4,"16509C, 16829E, 18291F, 19231J",11.451
5,"10793A, 14827B, 16509C, 18291F, 19231J",2.487
5,"10793A, 14827B, 16829E, 18291F, 19231J",3.901
