Week,Day,Phase,Age_in_months,IdLabel,Cage_level,Cage_category,mean_duration
1,1,light,12,19231J,2,food cages,19.621
1,1,light,12,19231J,2,resting cages,10.454
1,1,light,12,19231J,2,water cages,13.429
1,1,light,15,18291F,2,food cages,32.546
1,1,light,15,18291F,2,resting cages,11.461
1,1,light,15,18291F,2,water cages,11.737
1,1,light,18,16829E,2,resting cages,16.96
1,1,light,18,16829E,2,water cages,32.357
1,1,light,20,16509C,2,food cages,38.065
1,1,light,20,16509C,2,resting cages,12.563
1,1,light,20,16509C,2,water cages,23.89
1,1,light,25,14827B,2,food cages,35.404
1,1,light,25,14827B,2,resting cages,8.141
1,1,light,25,14827B,2,water cages,16.659
1,1,light,37,10793A,2,food cages,82.596
1,1,light,37,10793A,2,resting cages,16.83
1,1,light,37,10793A,2,water cages,21.908
1,2,dark,12,19231J,1,food cages,6.973
1,2,dark,12,19231J,1,resting cages,9.293
1,2,dark,12,19231J,1,water cages,6.172
1,2,dark,12,19231J,2,food cages,15.477
1,2,dark,12,19231J,2,resting cages,11.276
1,2,dark,12,19231J,2,water cages,11.149
1,2,dark,12,19231J,3,food cages,20.329
1,2,dark,12,19231J,3,resting cages,7.402
1,2,dark,12,19231J,3,water cages,6.146
1,2,dark,15,18291F,1,food cages,7.108
1,2,dark,15,18291F,1,resting cages,25.511
1,2,dark,15,18291F,1,water cages,6.122
1,2,dark,15,18291F,2,food cages,32.149
1,2,dark,15,18291F,2,resting cages,13.389
1,2,dark,15,18291F,2,water cages,10.561
1,2,dark,15,18291F,3,food cages,31.117
1,2,dark,15,18291F,3,resting cages,11.446
1,2,dark,15,18291F,3,water cages,10.751
1,2,dark,18,16829E,2,food cages,103.061
1,2,dark,18,16829E,2,resting cages,35.781
1,2,dark,18,16829E,2,water cages,19.342
1,2,dark,20,16509C,2,food cages,68.15
1,2,dark,20,16509C,2,resting cages,11.884
1,2,dark,20,16509C,2,water cages,13.297
1,2,dark,20,16509C,3,food cages,52.227
1,2,dark,20,16509C,3,resting cages,36.736
1,2,dark,20,16509C,3,water cages,12.47
1,2,dark,25,14827B,1,food cages,14.773
1,2,dark,25,14827B,1,resting cages,18.043
1,2,dark,25,14827B,1,water cages,10.505
1,2,dark,25,14827B,2,food cages,34.268
1,2,dark,25,14827B,2,resting cages,13.7
1,2,dark,25,14827B,2,water cages,11.314
1,2,dark,25,14827B,3,food cages,27.698
1,2,dark,25,14827B,3,resting cages,32.308
1,2,dark,25,14827B,3,water cages,10.117
1,2,dark,37,10793A,1,food cages,18.205
1,2,dark,37,10793A,1,resting cages,13.326
1,2,dark,37,10793A,1,water cages,7.908
1,2,dark,37,10793A,2,food cages,53.217
1,2,dark,37,10793A,2,resting cages,24.129
1,2,dark,37,10793A,2,water cages,19.079
1,2,dark,37,10793A,3,food cages,56.868
1,2,dark,37,10793A,3,resting cages,81.65
1,2,dark,37,10793A,3,water cages,24.205
1,2,light,12,19231J,1,food cages,9.302
1,2,light,12,19231J,1,resting cages,40.017
1,2,light,12,19231J,1,water cages,6.402
1,2,light,12,19231J,2,food cages,9.27
1,2,light,12,19231J,2,resting cages,14.329
1,2,light,12,19231J,2,water cages,6.767
1,2,light,12,19231J,3,food cages,15.232
1,2,light,12,19231J,3,resting cages,40.836
1,2,light,12,19231J,3,water cages,6.221
1,2,light,15,18291F,2,resting cages,1.671
1,2,light,15,18291F,3,food cages,36.97
1,2,light,15,18291F,3,resting cages,79.417
1,2,light,15,18291F,3,water cages,14.848
1,2,light,18,16829E,2,food cages,49.696
1,2,light,18,16829E,2,resting cages,93.786
1,2,light,18,16829E,2,water cages,17.476
1,2,light,20,16509C,3,food cages,34.278
1,2,light,20,16509C,3,resting cages,58.84
1,2,light,20,16509C,3,water cages,13.456
1,2,light,25,14827B,3,food cages,51.882
1,2,light,25,14827B,3,resting cages,36.094
1,2,light,25,14827B,3,water cages,11.014
1,2,light,37,10793A,3,food cages,122.599
1,2,light,37,10793A,3,resting cages,198.727
1,2,light,37,10793A,3,water cages,24.772
1,3,dark,12,19231J,1,food cages,32.993
1,3,dark,12,19231J,1,resting cages,13.995
1,3,dark,12,19231J,1,water cages,4.713
1,3,dark,12,19231J,2,food cages,18.681
1,3,dark,12,19231J,2,resting cages,17.008
1,3,dark,12,19231J,2,water cages,5.644
1,3,dark,12,19231J,3,food cages,14.143
1,3,dark,12,19231J,3,resting cages,7.276
1,3,dark,12,19231J,3,water cages,4.824
1,3,dark,15,18291F,1,food cages,20.44
1,3,dark,15,18291F,1,resting cages,8.783
1,3,dark,15,18291F,1,water cages,6.153
1,3,dark,15,18291F,2,food cages,12.863
1,3,dark,15,18291F,2,resting cages,10.95
1,3,dark,15,18291F,2,water cages,10.088
1,3,dark,15,18291F,3,food cages,24.749
1,3,dark,15,18291F,3,resting cages,34.016
1,3,dark,15,18291F,3,water cages,12.769
1,3,dark,18,16829E,2,food cages,50.956
1,3,dark,18,16829E,2,resting cages,22.414
1,3,dark,18,16829E,2,water cages,20.409
1,3,dark,20,16509C,3,food cages,32.497
1,3,dark,20,16509C,3,resting cages,33.739
1,3,dark,20,16509C,3,water cages,14.686
1,3,dark,25,14827B,1,food cages,12.338
1,3,dark,25,14827B,1,resting cages,12.187
1,3,dark,25,14827B,1,water cages,5.543
