Crossing,Crossing_length,Distance_sum,Distance_mean,Distance_sd,Duration_sum,Duration_min,Duration_max,Duration_mean,Duration_sd,Speed_min,Speed_max,Speed_median,Speed_mean,Speed_sd
143,0,177.597860347472,177.597860347472,,7.979,7.979,7.979,7.979,,22.2581602139957,22.2581602139957,22.2581602139957,22.2581602139957,
1015,0,0,0,,25.789,25.789,25.789,25.789,,0,0,0,0,
1460,0,0,0,,8.777,8.777,8.777,8.777,,0,0,0,0,
2310,1,132,132,,8.56,8.56,8.56,8.56,,15.4205607476636,15.4205607476636,15.4205607476636,15.4205607476636,
2590,0,288.591406663469,288.591406663469,,4.411,4.411,4.411,4.411,,65.4253925784333,65.4253925784333,65.4253925784333,65.4253925784333,
3267,0,0,0,,3.762,3.762,3.762,3.762,,0,0,0,0,
3848,0,0,0,,5.216,5.216,5.216,5.216,,0,0,0,0,
4236,0,0,0,,19.327,19.327,19.327,19.327,,0,0,0,0,
4457,0,0,0,,56.393,56.393,56.393,56.393,,0,0,0,0,
4999,0,363.534042422439,363.534042422439,,6.001,6.001,6.001,6.001,,60.5789105853089,60.5789105853089,60.5789105853089,60.5789105853089,
5084,0,0,0,,2.826,2.826,2.826,2.826,,0,0,0,0,
7072,1,132,132,,6.598,6.598,6.598,6.598,,20.0060624431646,20.0060624431646,20.0060624431646,20.0060624431646,
10823,1,242,242,,6.386,6.386,6.386,6.386,,37.8953961791419,37.8953961791419,37.8953961791419,37.8953961791419,
11504,0,0,0,,44.96,44.96,44.96,44.96,,0,0,0,0,
15357,0,177.597860347472,177.597860347472,,11.859,11.859,11.859,11.859,,14.9757871951659,14.9757871951659,14.9757871951659,14.9757871951659,
17194,1,242,242,,24.076,24.076,24.076,24.076,,10.0515035720219,10.0515035720219,10.0515035720219,10.0515035720219,
17939,0,288.591406663469,288.591406663469,,7.03,7.03,7.03,7.03,,41.0514091982175,41.0514091982175,41.0514091982175,41.0514091982175,
20918,0,0,0,,16.942,16.942,16.942,16.942,,0,0,0,0,
23785,0,288.591406663469,288.591406663469,,2.58,2.58,2.58,2.58,,111.857134365686,111.857134365686,111.857134365686,111.857134365686,
25972,0,0,0,,22.525,22.525,22.525,22.525,,0,0,0,0,
28649,0,177.597860347472,177.597860347472,,8.666,8.666,8.666,8.666,,20.4936372429578,20.4936372429578,20.4936372429578,20.4936372429578,
29208,0,177.597860347472,177.597860347472,,19.319,19.319,19.319,19.319,,9.19291165937533,9.19291165937533,9.19291165937533,9.19291165937533,
32336,0,177.597860347472,177.597860347472,,8.808,8.808,8.808,8.808,,20.1632448169246,20.1632448169246,20.1632448169246,20.1632448169246,
32853,0,0,0,,25.73,25.73,25.73,25.73,,0,0,0,0,
34206,1,132,132,,0.426,0.426,0.426,0.426,,309.859154929578,309.859154929578,309.859154929578,309.859154929578,
36606,1,132,132,,5.533,5.533,5.533,5.533,,23.8568588469185,23.8568588469185,23.8568588469185,23.8568588469185,
38080,0,177.597860347472,177.597860347472,,122.71,122.71,122.71,122.71,,1.44729737060934,1.44729737060934,1.44729737060934,1.44729737060934,
38685,0,0,0,,29.62,29.62,29.62,29.62,,0,0,0,0,
40701,0,288.591406663469,288.591406663469,,28.796,28.796,28.796,28.796,,10.0219268878827,10.0219268878827,10.0219268878827,10.0219268878827,
40975,0,177.597860347472,177.597860347472,,2.28,2.28,2.28,2.28,,77.8937983980141,77.8937983980141,77.8937983980141,77.8937983980141,
42236,0,0,0,,24.545,24.545,24.545,24.545,,0,0,0,0,
42939,0,177.597860347472,177.597860347472,,1.726,1.726,1.726,1.726,,102.895631719277,102.895631719277,102.895631719277,102.895631719277,
43979,0,0,0,,9.82,9.82,9.82,9.82,,0,0,0,0,
45700,0,177.597860347472,177.597860347472,,2.067,2.067,2.067,2.067,,85.9205903954872,85.9205903954872,85.9205903954872,85.9205903954872,
47109,0,0,0,,171.887,171.887,171.887,171.887,,0,0,0,0,
47783,0,177.597860347472,177.597860347472,,1.296,1.296,1.296,1.296,,137.03538607058,137.03538607058,137.03538607058,137.03538607058,
48902,0,288.591406663469,288.591406663469,,45.33,45.33,45.33,45.33,,6.3664550333878,6.3664550333878,6.3664550333878,6.3664550333878,
50530,2,242,242,,33.03,33.03,33.03,33.03,,7.32667272176809,7.32667272176809,7.32667272176809,7.32667272176809,
50649,1,132,132,,2.336,2.336,2.336,2.336,,56.5068493150685,56.5068493150685,56.5068493150685,56.5068493150685,
51689,0,0,0,,5.168,5.168,5.168,5.168,,0,0,0,0,
52619,0,0,0,,15.694,15.694,15.694,15.694,,0,0,0,0,
56082,1,132,132,,2.38,2.38,2.38,2.38,,55.4621848739496,55.4621848739496,55.4621848739496,55.4621848739496,
56924,0,177.597860347472,177.597860347472,,9.17,9.17,9.17,9.17,,19.3672693944899,19.3672693944899,19.3672693944899,19.3672693944899,
61884,0,177.597860347472,177.597860347472,,14.954,14.954,14.954,14.954,,11.8762779421875,11.8762779421875,11.8762779421875,11.8762779421875,
64405,0,177.597860347472,177.597860347472,,1.578,1.578,1.578,1.578,,112.546172590286,112.546172590286,112.546172590286,112.546172590286,
66664,1,132,132,,2.882,2.882,2.882,2.882,,45.8015267175573,45.8015267175573,45.8015267175573,45.8015267175573,
67259,0,0,0,,3.431,3.431,3.431,3.431,,0,0,0,0,
68626,0,177.597860347472,177.597860347472,,35.36,35.36,35.36,35.36,,5.02256392385385,5.02256392385385,5.02256392385385,5.02256392385385,
70848,1,132,132,,0.766,0.766,0.766,0.766,,172.323759791123,172.323759791123,172.323759791123,172.323759791123,
74704,1,132,132,,0.384,0.384,0.384,0.384,,343.75,343.75,343.75,343.75,
75508,0,177.597860347472,177.597860347472,,6.431,6.431,6.431,6.431,,27.6159011580582,27.6159011580582,27.6159011580582,27.6159011580582,
77771,0,0,0,,21.543,21.543,21.543,21.543,,0,0,0,0,
84209,0,288.591406663469,288.591406663469,,2.032,2.032,2.032,2.032,,142.02333005092,142.02333005092,142.02333005092,142.02333005092,
85273,0,288.591406663469,288.591406663469,,1.781,1.781,1.781,1.781,,162.038970613964,162.038970613964,162.038970613964,162.038970613964,
88704,2,132,132,,2.331,2.331,2.331,2.331,,56.6280566280566,56.6280566280566,56.6280566280566,56.6280566280566,
90163,0,288.591406663469,288.591406663469,,11.413,11.413,11.413,11.413,,25.2862005312774,25.2862005312774,25.2862005312774,25.2862005312774,
92391,0,177.597860347472,177.597860347472,,5.681,5.681,5.681,5.681,,31.2617251095709,31.2617251095709,31.2617251095709,31.2617251095709,
93767,1,132,132,,1.204,1.204,1.204,1.204,,109.634551495017,109.634551495017,109.634551495017,109.634551495017,
94846,0,177.597860347472,177.597860347472,,5.933,5.933,5.933,5.933,,29.9339053341433,29.9339053341433,29.9339053341433,29.9339053341433,
95348,3,392,392,,1.485,1.485,1.485,1.485,,263.973063973064,263.973063973064,263.973063973064,263.973063973064,
