Week,Day,Phase,Age_in_months,IdLabel,mean_speed_daily
1,2,dark,12,19231J,7.0161094965199
1,2,dark,15,18291F,5.96593087003313
1,2,dark,18,16829E,3.67444996349081
1,2,dark,20,16509C,5.77107787235123
1,2,dark,25,14827B,5.25735916689165
1,2,dark,37,10793A,3.65822798159655
1,3,dark,12,19231J,11.085648910298
1,3,dark,15,18291F,7.49490257207959
1,3,dark,18,16829E,5.3981471147247
1,3,dark,20,16509C,7.56210897690001
1,3,dark,25,14827B,7.70779656117125
1,3,dark,37,10793A,3.96086248549218
1,4,dark,12,19231J,9.35078193820238
1,4,dark,15,18291F,9.48335546847291
1,4,dark,18,16829E,6.00593631700107
1,4,dark,20,16509C,6.87719321467181
1,4,dark,25,14827B,8.37002701016331
1,4,dark,37,10793A,4.53651256328712
1,5,dark,12,19231J,10.8434879107831
1,5,dark,15,18291F,7.16210804785727
1,5,dark,18,16829E,6.80518264728281
1,5,dark,20,16509C,7.85140496474024
1,5,dark,25,14827B,7.6343744435681
1,5,dark,37,10793A,4.98190082809883
1,6,dark,12,19231J,9.25105752526544
1,6,dark,15,18291F,6.56699688239665
1,6,dark,18,16829E,6.38811233559893
1,6,dark,20,16509C,7.52196391678487
1,6,dark,25,14827B,8.14392325660804
1,6,dark,37,10793A,3.58404655792947
1,7,dark,12,19231J,9.01807149588801
1,7,dark,15,18291F,7.63037109391484
1,7,dark,18,16829E,7.08415136914023
1,7,dark,20,16509C,7.76349452133393
1,7,dark,25,14827B,8.93861524304081
1,7,dark,37,10793A,4.11428387282384
2,8,dark,12,19231J,9.48594651008107
2,8,dark,15,18291F,9.15096759095531
2,8,dark,18,16829E,7.06829963467183
2,8,dark,20,16509C,7.55606102800669
2,8,dark,25,14827B,8.79866713229872
2,8,dark,37,10793A,4.8552344883751
2,9,dark,12,19231J,6.99177988765454
2,9,dark,15,18291F,7.68694244402461
2,9,dark,18,16829E,6.06485324832958
2,9,dark,20,16509C,7.91472836075069
2,9,dark,25,14827B,9.38620135270456
2,9,dark,37,10793A,4.28147827568565
2,10,dark,12,19231J,6.19326428699015
2,10,dark,15,18291F,11.3891004890705
2,10,dark,18,16829E,6.07808147209528
2,10,dark,20,16509C,8.27975302810666
2,10,dark,25,14827B,10.7315242940553
2,10,dark,37,10793A,4.61792682006527
