IdLabel,Date,Week,Day,Phase,DateTime_in,DateTime_out,Duration,Group,unitLabel_from,unitLabel_to,Cage,Segment_type,Cage_type,Distance,Height,Crossing_step,Crossing,Crossing_length,Age_in_months
10793A,2020-08-30,1,7,light,2020-08-30T11:59:42.737997Z,2020-08-30T11:59:47.954Z,5.216,All,R1-4,R1-4,0,0,,0,0,0,3848,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:59:49.270001Z,2020-08-30T12:00:08.548001Z,19.278,All,R1-4,R1-4,0,0,,0,0,0,3850,0,37
10793A,2020-08-30,2,8,dark,2020-08-30T22:59:34.889003Z,2020-08-30T22:59:42.865996Z,7.977,All,R2-2,R1-5,Tube 1:2,1,2,363.534042422439,-237,0,4129,0,37
10793A,2020-08-30,2,8,dark,2020-08-30T22:59:29.389004Z,2020-08-30T22:59:34.889003Z,5.5,All,R2-4,R2-2,Cage 2-2,1,1,177.597860347472,0,0,4128,0,37
10793A,2020-08-30,2,8,dark,2020-08-30T22:59:10.206001Z,2020-08-30T22:59:16.004996Z,5.799,All,R2-9,R2-8,Cage 2-6,1,1,177.597860347472,0,0,4126,0,37
10793A,2020-08-30,1,7,light,2020-08-30T00:37:55.511002Z,2020-08-30T00:38:00.347001Z,4.836,All,R1-8,R1-4,Cage 1-4,1,1,242,0,1,3714,1,37
10793A,2020-08-30,2,8,dark,2020-08-30T15:00:51.428001Z,2020-08-30T15:04:34.291998Z,222.864,All,R3-4,R3-2,Cage 3-2,1,1,177.597860347472,0,0,3966,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:58:52.672999Z,2020-08-30T11:58:54.287996Z,1.615,All,R1-4,R1-4,0,0,,0,0,0,3838,0,37
10793A,2020-08-30,2,8,dark,2020-08-30T15:40:03.541996Z,2020-08-30T15:40:06.032001Z,2.49,All,R3-7,R3-3,Cage 3-3,1,1,242,0,1,4014,1,37
10793A,2020-08-30,2,8,dark,2020-08-30T23:11:14.459003Z,2020-08-30T23:27:27.719001Z,973.26,All,R1-4,R1-4,0,0,,0,0,0,4140,0,37
10793A,2020-08-30,1,7,light,2020-08-30T00:37:35.528998Z,2020-08-30T00:37:37.977004Z,2.448,All,R1-8,R1-8,0,0,,0,0,0,3707,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:58:48.142001Z,2020-08-30T11:58:50.256002Z,2.114,All,R1-4,R1-4,0,0,,0,0,0,3836,0,37
10793A,2020-08-30,1,7,light,2020-08-30T00:37:52.723004Z,2020-08-30T00:37:55.511002Z,2.788,All,R1-8,R1-8,0,0,,0,0,0,3713,0,37
10793A,2020-08-30,2,8,dark,2020-08-30T15:39:55.953Z,2020-08-30T15:40:03.541996Z,7.589,All,R3-9,R3-7,Cage 3-5,1,1,288.591406663469,0,0,4013,0,37
10793A,2020-08-30,2,8,dark,2020-08-30T22:59:16.004996Z,2020-08-30T22:59:29.389004Z,13.384,All,R2-8,R2-4,Cage 2-4,1,1,242,0,1,4127,1,37
10793A,2020-08-30,1,7,light,2020-08-30T00:38:00.347001Z,2020-08-30T00:59:18.020999Z,1277.674,All,R1-4,R1-2,Cage 1-2,1,1,177.597860347472,0,0,3715,0,37
10793A,2020-08-30,2,8,dark,2020-08-30T23:11:08.111999Z,2020-08-30T23:11:14.459003Z,6.347,All,R1-4,R1-4,0,0,,0,0,0,4139,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:58:54.287996Z,2020-08-30T11:58:57.412998Z,3.125,All,R1-4,R1-4,0,0,,0,0,0,3839,0,37
10793A,2020-08-30,2,8,dark,2020-08-30T23:11:06.995002Z,2020-08-30T23:11:08.111999Z,1.117,All,R1-4,R1-4,0,0,,0,0,0,4138,0,37
10793A,2020-08-30,2,8,dark,2020-08-30T20:53:00.047002Z,2020-08-30T20:53:32.022001Z,31.975,All,R2-1,R2-3,Cage 2-1,1,1,177.597860347472,0,0,4082,0,37
10793A,2020-08-30,2,8,dark,2020-08-30T15:40:14.662004Z,2020-08-30T15:40:15.996003Z,1.334,All,R3-1,R3-2,Tube 2:3,1,2,132,0,1,4016,1,37
10793A,2020-08-30,2,8,dark,2020-08-30T15:42:40.563999Z,2020-08-30T15:42:58.008998Z,17.445,All,R3-4,R3-4,0,0,,0,0,0,4018,0,37
10793A,2020-08-30,1,7,light,2020-08-30T00:37:40.454999Z,2020-08-30T00:37:44.218997Z,3.764,All,R1-8,R1-8,0,0,,0,0,0,3709,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:58:50.256002Z,2020-08-30T11:58:52.672999Z,2.417,All,R1-4,R1-4,0,0,,0,0,0,3837,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:59:29.075004Z,2020-08-30T11:59:34.189996Z,5.115,All,R1-4,R1-4,0,0,,0,0,0,3845,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:59:01.352Z,2020-08-30T11:59:06.514002Z,5.162,All,R1-4,R1-4,0,0,,0,0,0,3841,0,37
10793A,2020-08-30,1,7,light,2020-08-30T00:37:37.977004Z,2020-08-30T00:37:40.454999Z,2.478,All,R1-8,R1-8,0,0,,0,0,0,3708,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:58:57.412998Z,2020-08-30T11:59:01.352Z,3.939,All,R1-4,R1-4,0,0,,0,0,0,3840,0,37
10793A,2020-08-30,1,7,light,2020-08-30T01:04:20.126003Z,2020-08-30T01:21:15.237002Z,1015.111,All,R1-5,R1-5,0,0,,0,0,0,3725,0,37
10793A,2020-08-30,1,7,light,2020-08-30T00:37:33.004001Z,2020-08-30T00:37:35.528998Z,2.525,All,R1-8,R1-8,0,0,,0,0,0,3706,0,37
10793A,2020-08-30,1,7,light,2020-08-30T00:37:27.397998Z,2020-08-30T00:37:30.941003Z,3.543,All,R1-8,R1-8,0,0,,0,0,0,3704,0,37
10793A,2020-08-30,1,7,light,2020-08-30T00:37:13.346999Z,2020-08-30T00:37:27.397998Z,14.051,All,R1-8,R1-8,0,0,,0,0,0,3703,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:57:59.910998Z,2020-08-30T11:58:38.325Z,38.414,All,R1-4,R1-4,0,0,,0,0,0,3834,0,37
10793A,2020-08-30,1,7,light,2020-08-30T01:33:11.475999Z,2020-08-30T01:34:45.908003Z,94.432,All,R1-3,R1-3,0,0,,0,0,0,3750,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:09:04.703Z,2020-08-30T11:09:19.724996Z,15.022,All,R1-9,R1-8,Cage 1-6,1,1,177.597860347472,0,0,3796,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:09:19.724996Z,2020-08-30T11:16:40.179996Z,440.455,All,R1-8,R1-4,Cage 1-4,1,1,242,0,1,3797,1,37
10793A,2020-08-30,1,7,light,2020-08-30T01:32:58.313995Z,2020-08-30T01:33:06.143997Z,7.83,All,R1-3,R1-3,0,0,,0,0,0,3747,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:58:38.325Z,2020-08-30T11:58:48.142001Z,9.817,All,R1-4,R1-4,0,0,,0,0,0,3835,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:57:55.296003Z,2020-08-30T11:57:59.910998Z,4.615,All,R1-4,R1-4,0,0,,0,0,0,3833,0,37
10793A,2020-08-30,2,8,dark,2020-08-30T15:37:22.467997Z,2020-08-30T15:37:28.458999Z,5.991,All,R3-4,R3-8,Cage 3-4,1,1,242,0,1,3996,1,37
10793A,2020-08-30,1,7,light,2020-08-30T11:59:47.954Z,2020-08-30T11:59:49.270001Z,1.316,All,R1-4,R1-4,0,0,,0,0,0,3849,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:08:56.632004Z,2020-08-30T11:09:04.703Z,8.071,All,R1-7,R1-9,Cage 1-5,1,1,288.591406663469,0,0,3795,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:59:34.189996Z,2020-08-30T11:59:40.506Z,6.316,All,R1-4,R1-4,0,0,,0,0,0,3846,0,37
10793A,2020-08-30,1,7,light,2020-08-30T00:35:42.716001Z,2020-08-30T00:36:15.824997Z,33.109,All,R1-7,R1-7,0,0,,0,0,0,3698,0,37
10793A,2020-08-30,2,8,dark,2020-08-30T15:40:06.032001Z,2020-08-30T15:40:14.662004Z,8.63,All,R3-3,R3-1,Cage 3-1,1,1,177.597860347472,0,0,4015,0,37
10793A,2020-08-30,1,7,light,2020-08-30T03:50:36.491997Z,2020-08-30T04:21:42.598Z,1866.106,All,R1-5,R1-3,Cage 1-3,1,1,177.597860347472,0,0,3755,0,37
10793A,2020-08-30,1,7,light,2020-08-30T00:37:44.218997Z,2020-08-30T00:37:46.666001Z,2.447,All,R1-8,R1-8,0,0,,0,0,0,3710,0,37
10793A,2020-08-30,1,7,light,2020-08-30T06:51:33.387002Z,2020-08-30T06:51:36.983999Z,3.597,All,R1-2,R1-4,Cage 1-2,1,1,177.597860347472,0,0,3778,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:57:45.580997Z,2020-08-30T11:57:55.296003Z,9.715,All,R1-4,R1-4,0,0,,0,0,0,3832,0,37
10793A,2020-08-30,1,7,light,2020-08-30T06:50:14.432004Z,2020-08-30T06:51:09.888Z,55.456,All,R1-4,R1-6,Cage 1-4,1,1,177.597860347472,0,0,3774,0,37
10793A,2020-08-30,2,8,dark,2020-08-30T15:04:34.291998Z,2020-08-30T15:04:37.419997Z,3.128,All,R3-2,R3-1,Tube 2:3,1,2,132,0,1,3967,1,37
10793A,2020-08-30,1,7,light,2020-08-30T01:21:15.237002Z,2020-08-30T01:23:55.613996Z,160.377,All,R1-5,R1-5,0,0,,0,0,0,3726,0,37
10793A,2020-08-30,1,7,light,2020-08-30T01:04:16.284996Z,2020-08-30T01:04:20.126003Z,3.841,All,R1-6,R1-5,Tube 1:2,1,2,132,0,1,3724,1,37
10793A,2020-08-30,2,8,dark,2020-08-30T20:52:59.101001Z,2020-08-30T20:53:00.047002Z,0.946,All,R2-2,R2-1,Tube 1:2,1,2,132,0,1,4081,1,37
10793A,2020-08-30,1,7,light,2020-08-30T01:34:48.835001Z,2020-08-30T01:34:51.297004Z,2.462,All,R1-3,R1-3,0,0,,0,0,0,3752,0,37
10793A,2020-08-30,2,8,dark,2020-08-30T22:59:42.865996Z,2020-08-30T23:02:51.809999Z,188.944,All,R1-5,R1-5,0,0,,0,0,0,4130,0,37
10793A,2020-08-30,1,7,light,2020-08-30T00:59:24.687001Z,2020-08-30T00:59:26.496001Z,1.809,All,R1-3,R1-7,Cage 1-3,1,1,242,0,1,3717,1,37
10793A,2020-08-30,1,7,light,2020-08-30T00:36:15.824997Z,2020-08-30T00:36:19.017996Z,3.193,All,R1-7,R1-9,Cage 1-5,1,1,288.591406663469,0,0,3699,0,37
10793A,2020-08-30,2,8,dark,2020-08-30T14:33:57.677996Z,2020-08-30T14:34:06.117998Z,8.44,All,R1-8,R1-8,0,0,,0,0,0,3936,0,37
10793A,2020-08-30,1,7,light,2020-08-30T01:34:51.297004Z,2020-08-30T01:34:54.213003Z,2.916,All,R1-3,R1-3,0,0,,0,0,0,3753,0,37
10793A,2020-08-30,2,8,dark,2020-08-30T20:52:26.309997Z,2020-08-30T20:52:59.101001Z,32.791,All,R2-2,R2-2,0,0,,0,0,0,4080,0,37
10793A,2020-08-30,2,8,dark,2020-08-30T14:56:07.312998Z,2020-08-30T14:56:25.285001Z,17.972,All,R2-7,R2-7,0,0,,0,0,0,3955,0,37
10793A,2020-08-30,1,7,light,2020-08-30T00:37:30.941003Z,2020-08-30T00:37:33.004001Z,2.063,All,R1-8,R1-8,0,0,,0,0,0,3705,0,37
10793A,2020-08-30,2,8,dark,2020-08-30T15:39:40.811996Z,2020-08-30T15:39:43.364002Z,2.552,All,R3-7,R3-9,Cage 3-5,1,1,288.591406663469,0,0,4011,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:57:34.229998Z,2020-08-30T11:57:36.292997Z,2.063,All,R1-4,R1-4,0,0,,0,0,0,3828,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:57:31.795998Z,2020-08-30T11:57:34.229998Z,2.434,All,R1-4,R1-4,0,0,,0,0,0,3827,0,37
10793A,2020-08-30,2,8,dark,2020-08-30T15:39:37.460999Z,2020-08-30T15:39:39.130998Z,1.67,All,R3-1,R3-3,Cage 3-1,1,1,177.597860347472,0,0,4009,0,37
10793A,2020-08-30,1,7,light,2020-08-30T00:34:40.119001Z,2020-08-30T00:35:10.075005Z,29.956,All,R1-9,R1-9,0,0,,0,0,0,3694,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:57:29.334004Z,2020-08-30T11:57:31.795998Z,2.462,All,R1-4,R1-4,0,0,,0,0,0,3826,0,37
10793A,2020-08-30,2,8,dark,2020-08-30T15:39:39.130998Z,2020-08-30T15:39:40.811996Z,1.681,All,R3-3,R3-7,Cage 3-3,1,1,242,0,1,4010,1,37
10793A,2020-08-30,1,7,light,2020-08-30T11:59:06.514002Z,2020-08-30T11:59:10.828999Z,4.315,All,R1-4,R1-4,0,0,,0,0,0,3842,0,37
10793A,2020-08-30,1,7,light,2020-08-30T00:35:25.800003Z,2020-08-30T00:35:29.278Z,3.478,All,R1-9,R1-9,0,0,,0,0,0,3696,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:57:36.292997Z,2020-08-30T11:57:40.612997Z,4.32,All,R1-4,R1-4,0,0,,0,0,0,3829,0,37
10793A,2020-08-30,2,8,dark,2020-08-30T15:27:31.630997Z,2020-08-30T15:37:22.467997Z,590.837,All,R3-4,R3-4,0,0,,0,0,0,3995,0,37
10793A,2020-08-30,2,8,dark,2020-08-30T14:13:06.069996Z,2020-08-30T14:13:16.144003Z,10.074,All,R2-1,R1-6,Tube 1:2,1,2,363.534042422439,-237,0,3924,0,37
10793A,2020-08-30,2,8,dark,2020-08-30T14:34:08.708002Z,2020-08-30T14:38:24.806Z,256.098,All,R1-4,R1-8,Cage 1-4,1,1,242,0,2,3937,2,37
10793A,2020-08-30,1,7,light,2020-08-30T00:37:50.744004Z,2020-08-30T00:37:52.723004Z,1.979,All,R1-8,R1-8,0,0,,0,0,0,3712,0,37
10793A,2020-08-30,2,8,dark,2020-08-30T14:57:17.041003Z,2020-08-30T14:57:22.907002Z,5.866,All,R2-4,R2-6,Cage 2-4,1,1,177.597860347472,0,0,3961,0,37
10793A,2020-08-30,1,7,light,2020-08-30T00:24:07.699997Z,2020-08-30T00:24:15.506003Z,7.806,All,R1-6,R2-2,Tube 1:2,1,2,338.722600367912,237,0,3677,0,37
