IdLabel,Date,Week,Day,Phase,DateTime_in,DateTime_out,Duration,Group,unitLabel_from,unitLabel_to,Cage,Segment_type,Cage_type,Distance,Height,Crossing_step,Crossing,Crossing_length,Age_in_months
10793A,2020-08-30,1,7,light,2020-08-30T11:59:42.737997Z,2020-08-30T11:59:47.954Z,5.216,All,R1-4,R1-4,0,0,,0,0,0,3848,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:59:49.270001Z,2020-08-30T12:00:08.548001Z,19.278,All,R1-4,R1-4,0,0,,0,0,0,3850,0,37
10793A,2020-08-30,1,7,light,2020-08-30T00:37:55.511002Z,2020-08-30T00:38:00.347001Z,4.836,All,R1-8,R1-4,Cage 1-4,1,1,242,0,1,3714,1,37
10793A,2020-08-30,1,7,light,2020-08-30T11:58:52.672999Z,2020-08-30T11:58:54.287996Z,1.615,All,R1-4,R1-4,0,0,,0,0,0,3838,0,37
10793A,2020-08-30,1,7,light,2020-08-30T00:37:35.528998Z,2020-08-30T00:37:37.977004Z,2.448,All,R1-8,R1-8,0,0,,0,0,0,3707,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:58:48.142001Z,2020-08-30T11:58:50.256002Z,2.114,All,R1-4,R1-4,0,0,,0,0,0,3836,0,37
10793A,2020-08-30,1,7,light,2020-08-30T00:37:52.723004Z,2020-08-30T00:37:55.511002Z,2.788,All,R1-8,R1-8,0,0,,0,0,0,3713,0,37
10793A,2020-08-30,1,7,light,2020-08-30T00:38:00.347001Z,2020-08-30T00:59:18.020999Z,1277.674,All,R1-4,R1-2,Cage 1-2,1,1,177.597860347472,0,0,3715,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:58:54.287996Z,2020-08-30T11:58:57.412998Z,3.125,All,R1-4,R1-4,0,0,,0,0,0,3839,0,37
10793A,2020-08-30,1,7,light,2020-08-30T00:37:40.454999Z,2020-08-30T00:37:44.218997Z,3.764,All,R1-8,R1-8,0,0,,0,0,0,3709,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:58:50.256002Z,2020-08-30T11:58:52.672999Z,2.417,All,R1-4,R1-4,0,0,,0,0,0,3837,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:59:29.075004Z,2020-08-30T11:59:34.189996Z,5.115,All,R1-4,R1-4,0,0,,0,0,0,3845,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:59:01.352Z,2020-08-30T11:59:06.514002Z,5.162,All,R1-4,R1-4,0,0,,0,0,0,3841,0,37
10793A,2020-08-30,1,7,light,2020-08-30T00:37:37.977004Z,2020-08-30T00:37:40.454999Z,2.478,All,R1-8,R1-8,0,0,,0,0,0,3708,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:58:57.412998Z,2020-08-30T11:59:01.352Z,3.939,All,R1-4,R1-4,0,0,,0,0,0,3840,0,37
10793A,2020-08-30,1,7,light,2020-08-30T01:04:20.126003Z,2020-08-30T01:21:15.237002Z,1015.111,All,R1-5,R1-5,0,0,,0,0,0,3725,0,37
10793A,2020-08-30,1,7,light,2020-08-30T00:37:33.004001Z,2020-08-30T00:37:35.528998Z,2.525,All,R1-8,R1-8,0,0,,0,0,0,3706,0,37
10793A,2020-08-30,1,7,light,2020-08-30T00:37:27.397998Z,2020-08-30T00:37:30.941003Z,3.543,All,R1-8,R1-8,0,0,,0,0,0,3704,0,37
10793A,2020-08-30,1,7,light,2020-08-30T00:37:13.346999Z,2020-08-30T00:37:27.397998Z,14.051,All,R1-8,R1-8,0,0,,0,0,0,3703,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:57:59.910998Z,2020-08-30T11:58:38.325Z,38.414,All,R1-4,R1-4,0,0,,0,0,0,3834,0,37
10793A,2020-08-30,1,7,light,2020-08-30T01:33:11.475999Z,2020-08-30T01:34:45.908003Z,94.432,All,R1-3,R1-3,0,0,,0,0,0,3750,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:09:04.703Z,2020-08-30T11:09:19.724996Z,15.022,All,R1-9,R1-8,Cage 1-6,1,1,177.597860347472,0,0,3796,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:09:19.724996Z,2020-08-30T11:16:40.179996Z,440.455,All,R1-8,R1-4,Cage 1-4,1,1,242,0,1,3797,1,37
10793A,2020-08-30,1,7,light,2020-08-30T01:32:58.313995Z,2020-08-30T01:33:06.143997Z,7.83,All,R1-3,R1-3,0,0,,0,0,0,3747,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:58:38.325Z,2020-08-30T11:58:48.142001Z,9.817,All,R1-4,R1-4,0,0,,0,0,0,3835,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:57:55.296003Z,2020-08-30T11:57:59.910998Z,4.615,All,R1-4,R1-4,0,0,,0,0,0,3833,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:59:47.954Z,2020-08-30T11:59:49.270001Z,1.316,All,R1-4,R1-4,0,0,,0,0,0,3849,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:08:56.632004Z,2020-08-30T11:09:04.703Z,8.071,All,R1-7,R1-9,Cage 1-5,1,1,288.591406663469,0,0,3795,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:59:34.189996Z,2020-08-30T11:59:40.506Z,6.316,All,R1-4,R1-4,0,0,,0,0,0,3846,0,37
10793A,2020-08-30,1,7,light,2020-08-30T00:35:42.716001Z,2020-08-30T00:36:15.824997Z,33.109,All,R1-7,R1-7,0,0,,0,0,0,3698,0,37
10793A,2020-08-30,1,7,light,2020-08-30T03:50:36.491997Z,2020-08-30T04:21:42.598Z,1866.106,All,R1-5,R1-3,Cage 1-3,1,1,177.597860347472,0,0,3755,0,37
10793A,2020-08-30,1,7,light,2020-08-30T00:37:44.218997Z,2020-08-30T00:37:46.666001Z,2.447,All,R1-8,R1-8,0,0,,0,0,0,3710,0,37
10793A,2020-08-30,1,7,light,2020-08-30T06:51:33.387002Z,2020-08-30T06:51:36.983999Z,3.597,All,R1-2,R1-4,Cage 1-2,1,1,177.597860347472,0,0,3778,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:57:45.580997Z,2020-08-30T11:57:55.296003Z,9.715,All,R1-4,R1-4,0,0,,0,0,0,3832,0,37
10793A,2020-08-30,1,7,light,2020-08-30T06:50:14.432004Z,2020-08-30T06:51:09.888Z,55.456,All,R1-4,R1-6,Cage 1-4,1,1,177.597860347472,0,0,3774,0,37
10793A,2020-08-30,1,7,light,2020-08-30T01:21:15.237002Z,2020-08-30T01:23:55.613996Z,160.377,All,R1-5,R1-5,0,0,,0,0,0,3726,0,37
10793A,2020-08-30,1,7,light,2020-08-30T01:04:16.284996Z,2020-08-30T01:04:20.126003Z,3.841,All,R1-6,R1-5,Tube 1:2,1,2,132,0,1,3724,1,37
10793A,2020-08-30,1,7,light,2020-08-30T01:34:48.835001Z,2020-08-30T01:34:51.297004Z,2.462,All,R1-3,R1-3,0,0,,0,0,0,3752,0,37
10793A,2020-08-30,1,7,light,2020-08-30T00:59:24.687001Z,2020-08-30T00:59:26.496001Z,1.809,All,R1-3,R1-7,Cage 1-3,1,1,242,0,1,3717,1,37
10793A,2020-08-30,1,7,light,2020-08-30T00:36:15.824997Z,2020-08-30T00:36:19.017996Z,3.193,All,R1-7,R1-9,Cage 1-5,1,1,288.591406663469,0,0,3699,0,37
10793A,2020-08-30,1,7,light,2020-08-30T01:34:51.297004Z,2020-08-30T01:34:54.213003Z,2.916,All,R1-3,R1-3,0,0,,0,0,0,3753,0,37
10793A,2020-08-30,1,7,light,2020-08-30T00:37:30.941003Z,2020-08-30T00:37:33.004001Z,2.063,All,R1-8,R1-8,0,0,,0,0,0,3705,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:57:34.229998Z,2020-08-30T11:57:36.292997Z,2.063,All,R1-4,R1-4,0,0,,0,0,0,3828,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:57:31.795998Z,2020-08-30T11:57:34.229998Z,2.434,All,R1-4,R1-4,0,0,,0,0,0,3827,0,37
10793A,2020-08-30,1,7,light,2020-08-30T00:34:40.119001Z,2020-08-30T00:35:10.075005Z,29.956,All,R1-9,R1-9,0,0,,0,0,0,3694,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:57:29.334004Z,2020-08-30T11:57:31.795998Z,2.462,All,R1-4,R1-4,0,0,,0,0,0,3826,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:59:06.514002Z,2020-08-30T11:59:10.828999Z,4.315,All,R1-4,R1-4,0,0,,0,0,0,3842,0,37
10793A,2020-08-30,1,7,light,2020-08-30T00:35:25.800003Z,2020-08-30T00:35:29.278Z,3.478,All,R1-9,R1-9,0,0,,0,0,0,3696,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:57:36.292997Z,2020-08-30T11:57:40.612997Z,4.32,All,R1-4,R1-4,0,0,,0,0,0,3829,0,37
10793A,2020-08-30,1,7,light,2020-08-30T00:37:50.744004Z,2020-08-30T00:37:52.723004Z,1.979,All,R1-8,R1-8,0,0,,0,0,0,3712,0,37
10793A,2020-08-30,1,7,light,2020-08-30T00:24:07.699997Z,2020-08-30T00:24:15.506003Z,7.806,All,R1-6,R2-2,Tube 1:2,1,2,338.722600367912,237,0,3677,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:57:40.612997Z,2020-08-30T11:57:42.738998Z,2.126,All,R1-4,R1-4,0,0,,0,0,0,3830,0,37
10793A,2020-08-30,1,7,light,2020-08-30T00:35:10.075005Z,2020-08-30T00:35:25.800003Z,15.725,All,R1-9,R1-9,0,0,,0,0,0,3695,0,37
10793A,2020-08-30,1,7,light,2020-08-30T06:51:36.983999Z,2020-08-30T08:13:25.134001Z,4908.15,All,R1-4,R1-6,Cage 1-4,1,1,177.597860347472,0,0,3779,0,37
10793A,2020-08-30,1,7,light,2020-08-30T00:37:08.211996Z,2020-08-30T00:37:13.346999Z,5.135,All,R1-8,R1-8,0,0,,0,0,0,3702,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:08:52.158998Z,2020-08-30T11:08:56.632004Z,4.473,All,R1-3,R1-7,Cage 1-3,1,1,242,0,1,3794,1,37
10793A,2020-08-30,1,7,light,2020-08-30T11:59:26.943999Z,2020-08-30T11:59:29.075004Z,2.131,All,R1-4,R1-4,0,0,,0,0,0,3844,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:16:40.179996Z,2020-08-30T11:34:54.354003Z,1094.174,All,R1-4,R1-4,0,0,,0,0,0,3798,0,37
10793A,2020-08-30,1,7,light,2020-08-30T00:37:46.666001Z,2020-08-30T00:37:50.744004Z,4.078,All,R1-8,R1-8,0,0,,0,0,0,3711,0,37
10793A,2020-08-30,1,7,light,2020-08-30T01:02:27.141Z,2020-08-30T01:03:53.260001Z,86.119,All,R1-4,R1-2,Cage 1-2,1,1,177.597860347472,0,0,3721,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:07:50.501004Z,2020-08-30T11:08:02.071Z,11.57,All,R1-6,R1-4,Cage 1-4,1,1,177.597860347472,0,0,3791,0,37
10793A,2020-08-30,1,7,light,2020-08-30T00:24:05.806998Z,2020-08-30T00:24:07.699997Z,1.893,All,R1-4,R1-6,Cage 1-4,1,1,177.597860347472,0,0,3676,0,37
10793A,2020-08-30,1,7,light,2020-08-30T06:44:52.688003Z,2020-08-30T06:44:55.414001Z,2.726,All,R1-4,R1-4,0,0,,0,0,0,3772,0,37
10793A,2020-08-30,1,7,light,2020-08-30T00:35:29.278Z,2020-08-30T00:35:42.716001Z,13.438,All,R1-9,R1-7,Cage 1-5,1,1,288.591406663469,0,0,3697,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:57:22.807996Z,2020-08-30T11:57:24.840003Z,2.032,All,R1-4,R1-4,0,0,,0,0,0,3823,0,37
10793A,2020-08-30,1,7,light,2020-08-30T04:24:16.684001Z,2020-08-30T04:24:36.238999Z,19.555,All,R1-3,R1-3,0,0,,0,0,0,3760,0,37
10793A,2020-08-30,1,7,light,2020-08-30T01:32:37.788Z,2020-08-30T01:32:39.518998Z,1.731,All,R1-3,R1-3,0,0,,0,0,0,3744,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:57:42.738998Z,2020-08-30T11:57:45.580997Z,2.842,All,R1-4,R1-4,0,0,,0,0,0,3831,0,37
10793A,2020-08-30,1,7,light,2020-08-30T00:00:35.723998Z,2020-08-30T00:00:37.804001Z,2.08,All,R1-4,R1-4,0,0,,0,0,0,3651,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:57:15.568005Z,2020-08-30T11:57:20.146003Z,4.578,All,R1-4,R1-4,0,0,,0,0,0,3821,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:57:27.319Z,2020-08-30T11:57:29.334004Z,2.015,All,R1-4,R1-4,0,0,,0,0,0,3825,0,37
10793A,2020-08-30,1,7,light,2020-08-30T04:24:36.238999Z,2020-08-30T06:11:41.430995Z,6425.192,All,R1-3,R1-7,Cage 1-3,1,1,242,0,1,3761,1,37
10793A,2020-08-30,1,7,light,2020-08-30T00:00:33.250003Z,2020-08-30T00:00:35.723998Z,2.474,All,R1-4,R1-4,0,0,,0,0,0,3650,0,37
10793A,2020-08-30,1,7,light,2020-08-30T11:57:24.840003Z,2020-08-30T11:57:27.319Z,2.479,All,R1-4,R1-4,0,0,,0,0,0,3824,0,37
10793A,2020-08-30,1,7,light,2020-08-30T01:32:56.466998Z,2020-08-30T01:32:58.313995Z,1.847,All,R1-3,R1-3,0,0,,0,0,0,3746,0,37
10793A,2020-08-30,1,7,light,2020-08-30T08:15:45.445001Z,2020-08-30T08:30:50.532001Z,905.087,All,R1-7,R1-5,Cage 1-3,1,1,177.597860347472,0,0,3782,0,37
10793A,2020-08-30,1,7,light,2020-08-30T06:51:26.816999Z,2020-08-30T06:51:33.387002Z,6.57,All,R1-3,R1-2,Cage 1-1,1,1,288.591406663469,0,0,3777,0,37
10793A,2020-08-30,1,7,light,2020-08-30T00:33:46.938004Z,2020-08-30T00:34:40.119001Z,53.181,All,R1-7,R1-9,Cage 1-5,1,1,288.591406663469,0,0,3693,0,37
10793A,2020-08-30,1,7,light,2020-08-30T00:36:47.174002Z,2020-08-30T00:37:08.211996Z,21.038,All,R1-9,R1-8,Cage 1-6,1,1,177.597860347472,0,0,3701,0,37
10793A,2020-08-30,1,7,light,2020-08-30T01:04:04.503Z,2020-08-30T01:04:16.284996Z,11.782,All,R1-4,R1-6,Cage 1-4,1,1,177.597860347472,0,0,3723,0,37
