IdLabel,Date,Week,Day,Phase,DateTime_in,DateTime_out,Duration,Group,unitLabel_from,unitLabel_to,Cage,Segment_type,Cage_type,Distance,Height,Crossing_step,Crossing,Crossing_length,Age_in_months
10793A,2020-08-31,2,9,dark,2020-08-31T15:23:53.559998Z,2020-08-31T15:24:49.953001Z,56.393,All,R3-2,R3-2,0,0,,0,0,0,4457,0,37
10793A,2020-08-31,2,9,dark,2020-08-31T15:28:20.720997Z,2020-08-31T15:28:27.094Z,6.373,All,R3-8,R3-8,0,0,,0,0,0,4465,0,37
10793A,2020-08-31,2,9,dark,2020-08-31T23:32:29.359Z,2020-08-31T23:32:39.809002Z,10.45,All,R1-5,R1-6,Tube 1:2,1,2,132,0,1,4588,1,37
10793A,2020-08-31,2,9,dark,2020-08-31T18:23:36.299999Z,2020-08-31T18:23:39.745Z,3.445,All,R1-5,R1-6,Tube 1:2,1,2,132,0,1,4515,1,37
10793A,2020-08-31,2,9,dark,2020-08-31T18:23:55.791Z,2020-08-31T18:25:23.762997Z,87.972,All,R1-2,R1-4,Cage 1-2,1,1,177.597860347472,0,0,4519,0,37
10793A,2020-08-31,2,9,dark,2020-08-31T18:23:43.747998Z,2020-08-31T18:23:52.686001Z,8.938,All,R1-4,R1-2,Cage 1-2,1,1,177.597860347472,0,0,4517,0,37
10793A,2020-08-31,2,9,dark,2020-08-31T23:32:39.809002Z,2020-08-31T23:32:53.321003Z,13.512,All,R1-6,R1-4,Cage 1-4,1,1,177.597860347472,0,0,4589,0,37
10793A,2020-08-31,2,9,dark,2020-08-31T22:03:03.774003Z,2020-08-31T22:03:08.413001Z,4.639,All,R2-6,R2-4,Cage 2-4,1,1,177.597860347472,0,0,4542,0,37
10793A,2020-08-31,2,9,dark,2020-08-31T15:23:52.274002Z,2020-08-31T15:23:53.559998Z,1.286,All,R3-1,R3-2,Tube 2:3,1,2,132,0,1,4456,1,37
10793A,2020-08-31,2,9,dark,2020-08-31T23:32:53.321003Z,2020-09-01T00:04:32.835Z,1899.514,All,R1-4,R1-2,Cage 1-2,1,1,177.597860347472,0,0,4590,0,37
10793A,2020-08-31,2,9,dark,2020-08-31T18:23:52.686001Z,2020-08-31T18:23:55.791Z,3.105,All,R1-2,R1-2,0,0,,0,0,0,4518,0,37
10793A,2020-08-31,2,9,dark,2020-08-31T15:25:39.567Z,2020-08-31T15:25:41.142996Z,1.576,All,R3-2,R3-1,Tube 2:3,1,2,132,0,1,4459,1,37
10793A,2020-08-31,2,9,dark,2020-08-31T18:23:39.745Z,2020-08-31T18:23:43.747998Z,4.003,All,R1-6,R1-4,Cage 1-4,1,1,177.597860347472,0,0,4516,0,37
10793A,2020-08-31,2,9,dark,2020-08-31T15:23:12.249003Z,2020-08-31T15:23:52.274002Z,40.025,All,R3-1,R3-1,0,0,,0,0,0,4455,0,37
10793A,2020-08-31,2,9,dark,2020-08-31T18:25:41.081999Z,2020-08-31T18:25:46.454998Z,5.373,All,R1-4,R1-4,0,0,,0,0,0,4521,0,37
10793A,2020-08-31,2,9,dark,2020-08-31T15:28:03.054996Z,2020-08-31T15:28:20.720997Z,17.666,All,R3-8,R3-8,0,0,,0,0,0,4464,0,37
10793A,2020-08-31,2,9,dark,2020-08-31T23:09:12.427004Z,2020-08-31T23:09:43.014998Z,30.588,All,R2-8,R2-8,0,0,,0,0,0,4566,0,37
10793A,2020-08-31,2,9,dark,2020-08-31T23:09:50.724002Z,2020-08-31T23:09:52.938997Z,2.215,All,R2-4,R2-8,Cage 2-4,1,1,242,0,2,4567,2,37
10793A,2020-08-31,2,9,dark,2020-08-31T15:23:09.571002Z,2020-08-31T15:23:12.249003Z,2.678,All,R3-2,R3-1,Tube 2:3,1,2,132,0,1,4454,1,37
10793A,2020-08-31,2,9,dark,2020-08-31T18:25:52.127996Z,2020-08-31T18:26:10.746997Z,18.619,All,R1-5,R1-7,Cage 1-3,1,1,177.597860347472,0,0,4524,0,37
10793A,2020-08-31,2,9,dark,2020-08-31T18:25:23.762997Z,2020-08-31T18:25:41.081999Z,17.319,All,R1-4,R1-4,0,0,,0,0,0,4520,0,37
10793A,2020-08-31,2,9,dark,2020-08-31T18:26:28.827002Z,2020-08-31T18:29:05.789Z,156.962,All,R1-9,R1-8,Cage 1-6,1,1,177.597860347472,0,0,4526,0,37
10793A,2020-08-31,2,9,dark,2020-08-31T22:02:04.251998Z,2020-08-31T22:02:54.899999Z,50.648,All,R2-1,R2-3,Cage 2-1,1,1,177.597860347472,0,0,4539,0,37
10793A,2020-08-31,2,9,dark,2020-08-31T15:29:36.937003Z,2020-08-31T15:29:51.031003Z,14.094,All,R3-6,R3-8,Cage 3-4,1,1,177.597860347472,0,0,4473,0,37
10793A,2020-08-31,2,9,dark,2020-08-31T15:28:31.146997Z,2020-08-31T15:28:38.967001Z,7.82,All,R3-6,R3-3,Cage 3-3,1,1,288.591406663469,0,0,4467,0,37
10793A,2020-08-31,2,9,dark,2020-08-31T23:09:04.580001Z,2020-08-31T23:09:12.427004Z,7.847,All,R2-4,R2-8,Cage 2-4,1,1,242,0,1,4565,1,37
10793A,2020-08-31,2,9,dark,2020-08-31T15:28:38.967001Z,2020-08-31T15:29:05.308002Z,26.341,All,R3-3,R3-7,Cage 3-3,1,1,242,0,1,4468,1,37
10793A,2020-08-31,2,9,dark,2020-08-31T18:25:49.234996Z,2020-08-31T18:25:52.127996Z,2.893,All,R1-6,R1-5,Tube 1:2,1,2,132,0,1,4523,1,37
