IdLabel,Date,Week,Day,Phase,DateTime_in,DateTime_out,Duration,Group,unitLabel_from,unitLabel_to,Cage,Segment_type,Cage_type,Distance,Height,Crossing_step,Crossing,Crossing_length,Age_in_months
14827B,2020-08-28,1,5,light,2020-08-28T10:36:50.271998Z,2020-08-28T10:37:02.131003Z,11.859,All,R3-2,R3-4,Cage 3-2,1,1,177.597860347472,0,0,15357,0,25
14827B,2020-08-28,1,5,light,2020-08-28T11:34:31.547997Z,2020-08-28T11:34:36.835998Z,5.288,All,R1-9,R1-8,Cage 1-6,1,1,177.597860347472,0,0,15425,0,25
14827B,2020-08-28,1,5,light,2020-08-28T00:16:04.407004Z,2020-08-28T00:16:06.292002Z,1.885,All,R3-7,R3-9,Cage 3-5,1,1,288.591406663469,0,0,14780,0,25
14827B,2020-08-28,1,5,light,2020-08-28T00:16:06.292002Z,2020-08-28T00:16:07.306001Z,1.014,All,R3-9,R3-8,Cage 3-6,1,1,177.597860347472,0,0,14781,0,25
14827B,2020-08-28,1,5,light,2020-08-28T00:16:17.494003Z,2020-08-28T00:16:28.993999Z,11.5,All,R3-8,R3-8,0,0,,0,0,0,14783,0,25
14827B,2020-08-28,1,5,light,2020-08-28T00:16:28.993999Z,2020-08-28T00:16:30.087002Z,1.093,All,R3-8,R3-8,0,0,,0,0,0,14784,0,25
14827B,2020-08-28,1,5,light,2020-08-28T00:16:41.663997Z,2020-08-28T00:16:55.459001Z,13.795,All,R3-7,R3-8,2,2,,392,0,0,14787,0,25
14827B,2020-08-28,1,5,light,2020-08-28T00:16:55.459001Z,2020-08-28T00:16:59.852001Z,4.393,All,R3-8,R3-9,Cage 3-6,1,1,177.597860347472,0,0,14788,0,25
14827B,2020-08-28,1,5,light,2020-08-28T00:16:59.852001Z,2020-08-28T00:17:01.766995Z,1.915,All,R3-9,R3-9,0,0,,0,0,0,14789,0,25
14827B,2020-08-28,1,5,light,2020-08-28T00:17:01.766995Z,2020-08-28T00:17:22.047997Z,20.281,All,R3-9,R3-8,Cage 3-6,1,1,177.597860347472,0,0,14790,0,25
14827B,2020-08-28,1,5,light,2020-08-28T00:17:27.744002Z,2020-08-28T00:17:37.723004Z,9.979,All,R3-9,R3-9,0,0,,0,0,0,14793,0,25
14827B,2020-08-28,1,5,light,2020-08-28T00:32:33.613997Z,2020-08-28T00:32:56.545999Z,22.932,All,R3-1,R3-3,Cage 3-1,1,1,177.597860347472,0,0,14824,0,25
14827B,2020-08-28,1,5,light,2020-08-28T00:36:41.004999Z,2020-08-28T00:37:01.402Z,20.397,All,R2-7,R2-7,0,0,,0,0,0,14845,0,25
