IdLabel,Date,Week,Day,Phase,DateTime_in,DateTime_out,Duration,Group,unitLabel_from,unitLabel_to,Cage,Segment_type,Cage_type,Distance,Height,Crossing_step,Crossing,Crossing_length,Age_in_months
14827B,2020-08-26,1,4,dark,2020-08-26T14:57:35.579004Z,2020-08-26T14:58:20.538998Z,44.96,All,R2-1,R2-1,0,0,,0,0,0,11504,0,25
14827B,2020-08-26,1,4,dark,2020-08-26T14:58:20.538998Z,2020-08-26T14:58:22.689002Z,2.15,All,R2-1,R2-2,Tube 1:2,1,2,132,0,1,11505,1,25
14827B,2020-08-26,1,4,dark,2020-08-26T14:59:22.653003Z,2020-08-26T14:59:33.541996Z,10.889,All,R2-1,R1-6,Tube 1:2,1,2,363.534042422439,-237,0,11509,0,25
14827B,2020-08-26,1,4,dark,2020-08-26T14:59:38.062997Z,2020-08-26T14:59:53.954998Z,15.892,All,R1-8,R1-4,Cage 1-4,1,1,242,0,1,11511,1,25
14827B,2020-08-26,1,4,dark,2020-08-26T15:00:33.459998Z,2020-08-26T15:00:40.467998Z,7.008,All,R1-7,R1-7,0,0,,0,0,0,11517,0,25
14827B,2020-08-26,1,4,dark,2020-08-26T15:00:52.825996Z,2020-08-26T15:00:59.057001Z,6.231,All,R1-2,R1-4,Cage 1-2,1,1,177.597860347472,0,0,11520,0,25
14827B,2020-08-26,1,4,dark,2020-08-26T15:01:21.224Z,2020-08-26T15:01:33.521002Z,12.297,All,R1-7,R1-3,Cage 1-3,1,1,242,0,1,11525,1,25
14827B,2020-08-26,1,4,dark,2020-08-26T15:14:05.399005Z,2020-08-26T15:14:07.998996Z,2.6,All,R1-7,R1-3,Cage 1-3,1,1,242,0,1,11548,1,25
14827B,2020-08-26,1,4,dark,2020-08-26T15:14:15.952004Z,2020-08-26T15:14:20.651999Z,4.7,All,R1-8,R1-9,Cage 1-6,1,1,177.597860347472,0,0,11552,0,25
14827B,2020-08-26,1,4,dark,2020-08-26T23:29:12.824005Z,2020-08-26T23:29:13.861003Z,1.037,All,R2-5,R2-6,Tube 2:3,1,2,132,0,1,12765,1,25
14827B,2020-08-26,1,4,dark,2020-08-26T15:16:58.947998Z,2020-08-26T15:17:02.116Z,3.168,All,R1-7,R1-3,Cage 1-3,1,1,242,0,1,11565,1,25
14827B,2020-08-26,1,4,dark,2020-08-26T15:23:49.494998Z,2020-08-26T15:23:54.743997Z,5.249,All,R2-8,R2-8,0,0,,0,0,0,11591,0,25
14827B,2020-08-26,1,4,dark,2020-08-26T16:08:34.480Z,2020-08-26T16:08:37.208003Z,2.728,All,R2-8,R2-6,Cage 2-4,1,1,177.597860347472,0,0,11594,0,25
14827B,2020-08-26,1,4,dark,2020-08-26T23:36:17.099999Z,2020-08-26T23:36:33.051998Z,15.952,All,R1-2,R1-3,Cage 1-1,1,1,288.591406663469,0,0,12774,0,25
14827B,2020-08-26,1,4,dark,2020-08-26T23:36:36.499003Z,2020-08-26T23:36:42.566996Z,6.068,All,R1-7,R1-9,Cage 1-5,1,1,288.591406663469,0,0,12776,0,25
14827B,2020-08-26,1,4,dark,2020-08-26T16:52:23.849002Z,2020-08-26T16:53:14.894002Z,51.045,All,R3-9,R3-9,0,0,,0,0,0,11641,0,25
14827B,2020-08-26,1,4,dark,2020-08-26T23:55:14.666998Z,2020-08-26T23:55:22.367001Z,7.7,All,R1-7,R1-9,Cage 1-5,1,1,288.591406663469,0,0,12806,0,25
14827B,2020-08-26,1,4,dark,2020-08-26T23:55:50.974999Z,2020-08-26T23:56:17.551001Z,26.576,All,R1-7,R1-7,0,0,,0,0,0,12809,0,25
14827B,2020-08-26,1,4,dark,2020-08-26T23:56:38.382999Z,2020-08-26T23:56:42.620997Z,4.238,All,R1-5,R2-1,Tube 1:2,1,2,338.722600367912,237,0,12811,0,25
14827B,2020-08-26,1,4,dark,2020-08-26T23:56:59.837001Z,2020-08-26T23:57:02.660Z,2.823,All,R2-3,R2-7,Cage 2-3,1,1,242,0,1,12813,1,25
14827B,2020-08-26,1,4,dark,2020-08-26T23:57:23.039997Z,2020-08-26T23:57:27.301997Z,4.262,All,R2-8,R2-8,0,0,,0,0,0,12817,0,25
14827B,2020-08-26,1,4,dark,2020-08-26T23:57:28.600002Z,2020-08-26T23:57:40.956998Z,12.357,All,R2-4,R2-4,0,0,,0,0,0,12819,0,25
14827B,2020-08-26,1,4,dark,2020-08-26T23:57:40.956998Z,2020-08-26T23:58:39.480998Z,58.524,All,R2-4,R2-4,0,0,,0,0,0,12820,0,25
14827B,2020-08-26,1,4,dark,2020-08-26T16:57:42.245998Z,2020-08-26T16:57:46.368003Z,4.122,All,R3-3,R3-1,Cage 3-1,1,1,177.597860347472,0,0,11650,0,25
14827B,2020-08-26,1,4,dark,2020-08-26T23:59:04.127997Z,2020-08-26T23:59:05.784Z,1.656,All,R2-7,R2-5,Cage 2-3,1,1,177.597860347472,0,0,12825,0,25
14827B,2020-08-26,1,4,dark,2020-08-26T17:03:22.788003Z,2020-08-26T17:03:26.982999Z,4.195,All,R2-9,R2-7,Cage 2-5,1,1,288.591406663469,0,0,11669,0,25
