IdLabel,Date,Week,Day,Phase,DateTime_in,DateTime_out,Duration,Group,unitLabel_from,unitLabel_to,Cage,Segment_type,Cage_type,Distance,Height,Crossing_step,Crossing,Crossing_length,Age_in_months
14827B,2020-09-02,2,10,light,2020-09-02T04:03:20.316001Z,2020-09-02T04:03:28.094999Z,7.779,All,R1-7,R1-7,0,0,,0,0,0,28333,0,25
14827B,2020-09-02,2,10,light,2020-09-02T04:03:32.171999Z,2020-09-02T04:03:33.935Z,1.763,All,R1-7,R1-7,0,0,,0,0,0,28336,0,25
14827B,2020-09-02,2,10,light,2020-09-02T00:41:43.161999Z,2020-09-02T00:41:51.207999Z,8.046,All,R3-9,R3-8,Cage 3-6,1,1,177.597860347472,0,0,28196,0,25
14827B,2020-09-02,2,10,light,2020-09-02T01:03:56.276001Z,2020-09-02T01:04:01.888Z,5.612,All,R2-5,R2-6,Tube 2:3,1,2,132,0,1,28233,1,25
14827B,2020-09-02,2,10,light,2020-09-02T01:05:56.569001Z,2020-09-02T01:06:01.284998Z,4.716,All,R2-8,R2-8,0,0,,0,0,0,28243,0,25
14827B,2020-09-02,2,10,light,2020-09-02T02:03:44.840998Z,2020-09-02T02:13:44.093997Z,599.253,All,R1-5,R1-7,Cage 1-3,1,1,177.597860347472,0,0,28263,0,25
14827B,2020-09-02,2,10,light,2020-09-02T02:20:42.241001Z,2020-09-02T02:21:45.391003Z,63.15,All,R1-3,R1-3,0,0,,0,0,0,28265,0,25
14827B,2020-09-02,2,10,light,2020-09-02T04:01:51.517001Z,2020-09-02T04:01:53.531003Z,2.014,All,R1-7,R1-7,0,0,,0,0,0,28311,0,25
14827B,2020-09-02,2,10,light,2020-09-02T04:03:30.140Z,2020-09-02T04:03:32.171999Z,2.032,All,R1-7,R1-7,0,0,,0,0,0,28335,0,25
14827B,2020-09-02,2,10,light,2020-09-02T04:56:19.297997Z,2020-09-02T05:00:49.302999Z,270.005,All,R1-7,R1-7,0,0,,0,0,0,28351,0,25
14827B,2020-09-02,2,10,light,2020-09-02T00:01:22.675002Z,2020-09-02T00:01:23.335997Z,0.661,All,R2-2,R2-1,Tube 1:2,1,2,132,0,1,28052,1,25
14827B,2020-09-02,2,10,light,2020-09-02T00:01:23.335997Z,2020-09-02T00:01:31.026997Z,7.691,All,R2-1,R2-3,Cage 2-1,1,1,177.597860347472,0,0,28053,0,25
14827B,2020-09-02,2,10,light,2020-09-02T00:01:33.868001Z,2020-09-02T00:01:35.900Z,2.032,All,R2-7,R2-9,Cage 2-5,1,1,288.591406663469,0,0,28055,0,25
14827B,2020-09-02,2,10,light,2020-09-02T00:01:41.698001Z,2020-09-02T00:01:44.252996Z,2.555,All,R2-8,R2-4,Cage 2-4,1,1,242,0,1,28057,1,25
14827B,2020-09-02,2,10,light,2020-09-02T00:01:44.252996Z,2020-09-02T00:01:45.656003Z,1.403,All,R2-4,R2-6,Cage 2-4,1,1,177.597860347472,0,0,28058,0,25
14827B,2020-09-02,2,10,light,2020-09-02T00:01:49.177001Z,2020-09-02T00:01:55.349996Z,6.173,All,R2-7,R2-3,Cage 2-3,1,1,242,0,1,28061,1,25
14827B,2020-09-02,2,10,light,2020-09-02T00:01:55.349996Z,2020-09-02T00:02:00.193001Z,4.843,All,R2-3,R2-1,Cage 2-1,1,1,177.597860347472,0,0,28062,0,25
14827B,2020-09-02,2,10,light,2020-09-02T00:02:00.193001Z,2020-09-02T00:02:03.214997Z,3.022,All,R2-1,R1-6,Tube 1:2,1,2,363.534042422439,-237,0,28063,0,25
14827B,2020-09-02,2,10,light,2020-09-02T00:02:30.225001Z,2020-09-02T00:02:32.851Z,2.626,All,R1-9,R1-9,0,0,,0,0,0,28067,0,25
14827B,2020-09-02,2,10,light,2020-09-02T00:02:32.851Z,2020-09-02T00:03:48.402997Z,75.552,All,R1-9,R1-9,0,0,,0,0,0,28068,0,25
14827B,2020-09-02,2,10,light,2020-09-02T00:03:58.395Z,2020-09-02T00:04:00.522999Z,2.128,All,R1-8,R1-4,Cage 1-4,1,1,242,0,1,28070,1,25
14827B,2020-09-02,2,10,light,2020-09-02T00:04:00.522999Z,2020-09-02T00:04:06.939995Z,6.417,All,R1-4,R1-2,Cage 1-2,1,1,177.597860347472,0,0,28071,0,25
14827B,2020-09-02,2,10,light,2020-09-02T00:04:20.301004Z,2020-09-02T00:04:21.084997Z,0.784,All,R1-6,R1-5,Tube 1:2,1,2,132,0,1,28075,1,25
14827B,2020-09-02,2,10,light,2020-09-02T00:04:21.084997Z,2020-09-02T00:04:50.741997Z,29.657,All,R1-5,R1-3,Cage 1-3,1,1,177.597860347472,0,0,28076,0,25
14827B,2020-09-02,2,10,light,2020-09-02T00:05:24.299997Z,2020-09-02T00:05:49.825997Z,25.526,All,R1-4,R1-4,0,0,,0,0,0,28080,0,25
14827B,2020-09-02,2,10,light,2020-09-02T00:05:49.825997Z,2020-09-02T00:05:53.908Z,4.082,All,R1-4,R1-6,Cage 1-4,1,1,177.597860347472,0,0,28081,0,25
14827B,2020-09-02,2,10,light,2020-09-02T00:05:53.908Z,2020-09-02T00:05:54.480001Z,0.572,All,R1-6,R1-5,Tube 1:2,1,2,132,0,1,28082,1,25
