IdLabel,Date,Week,Day,Phase,DateTime_in,DateTime_out,Duration,Group,unitLabel_from,unitLabel_to,Cage,Segment_type,Cage_type,Distance,Height,Crossing_step,Crossing,Crossing_length,Age_in_months
16509C,2020-08-30,1,7,light,2020-08-30T11:59:36.612003Z,2020-08-30T12:01:39.322001Z,122.71,All,R3-4,R3-2,Cage 3-2,1,1,177.597860347472,0,0,38080,0,20
16509C,2020-08-30,1,7,light,2020-08-30T11:58:35.697999Z,2020-08-30T11:59:15.401997Z,39.704,All,R3-4,R3-4,0,0,,0,0,0,38078,0,20
16509C,2020-08-30,1,7,light,2020-08-30T00:42:29.326003Z,2020-08-30T00:42:33.156997Z,3.831,All,R3-6,R3-6,0,0,,0,0,0,37832,0,20
16509C,2020-08-30,1,7,light,2020-08-30T05:46:35.248999Z,2020-08-30T05:46:48.843002Z,13.594,All,R3-4,R3-4,0,0,,0,0,0,37909,0,20
16509C,2020-08-30,1,7,light,2020-08-30T00:41:07.458003Z,2020-08-30T00:41:23.196998Z,15.739,All,R3-6,R3-6,0,0,,0,0,0,37829,0,20
16509C,2020-08-30,1,7,light,2020-08-30T00:41:23.196998Z,2020-08-30T00:42:13.333Z,50.136,All,R3-6,R3-6,0,0,,0,0,0,37830,0,20
16509C,2020-08-30,1,7,light,2020-08-30T11:28:34.499003Z,2020-08-30T11:28:49.546004Z,15.047,All,R3-7,R3-3,Cage 3-3,1,1,242,0,1,38021,1,20
16509C,2020-08-30,1,7,light,2020-08-30T11:57:18.676002Z,2020-08-30T11:58:35.697999Z,77.022,All,R3-4,R3-4,0,0,,0,0,0,38077,0,20
16509C,2020-08-30,1,7,light,2020-08-30T05:43:15.903999Z,2020-08-30T05:43:22.840Z,6.936,All,R3-2,R3-1,Tube 2:3,1,2,132,0,1,37893,1,20
16509C,2020-08-30,1,7,light,2020-08-30T11:28:52.535997Z,2020-08-30T11:28:53.249998Z,0.714,All,R3-1,R3-2,Tube 2:3,1,2,132,0,1,38023,1,20
16509C,2020-08-30,1,7,light,2020-08-30T05:46:48.843002Z,2020-08-30T05:46:58.432002Z,9.589,All,R3-4,R3-8,Cage 3-4,1,1,242,0,1,37910,1,20
16509C,2020-08-30,1,7,light,2020-08-30T06:07:48.954999Z,2020-08-30T07:20:52.847999Z,4383.893,All,R3-6,R3-6,0,0,,0,0,0,37958,0,20
16509C,2020-08-30,1,7,light,2020-08-30T09:47:51.493001Z,2020-08-30T09:47:53.635998Z,2.143,All,R3-9,R3-8,Cage 3-6,1,1,177.597860347472,0,0,37966,0,20
16509C,2020-08-30,1,7,light,2020-08-30T11:17:15.251001Z,2020-08-30T11:17:18.673002Z,3.422,All,R3-8,R3-4,Cage 3-4,1,1,242,0,1,37993,1,20
16509C,2020-08-30,1,7,light,2020-08-30T11:17:01.465Z,2020-08-30T11:17:11.788996Z,10.324,All,R3-7,R3-9,Cage 3-5,1,1,288.591406663469,0,0,37991,0,20
16509C,2020-08-30,1,7,light,2020-08-30T00:48:13.046Z,2020-08-30T00:48:21.198004Z,8.152,All,R3-6,R3-6,0,0,,0,0,0,37858,0,20
16509C,2020-08-30,1,7,light,2020-08-30T11:59:15.401997Z,2020-08-30T11:59:36.612003Z,21.21,All,R3-4,R3-4,0,0,,0,0,0,38079,0,20
16509C,2020-08-30,1,7,light,2020-08-30T06:07:45.862Z,2020-08-30T06:07:48.954999Z,3.093,All,R3-4,R3-6,Cage 3-4,1,1,177.597860347472,0,0,37957,0,20
16509C,2020-08-30,1,7,light,2020-08-30T00:48:50.710999Z,2020-08-30T00:48:59.719997Z,9.009,All,R3-6,R3-3,Cage 3-3,1,1,288.591406663469,0,0,37862,0,20
16509C,2020-08-30,1,7,light,2020-08-30T05:43:03.494997Z,2020-08-30T05:43:09.384004Z,5.889,All,R3-4,R3-4,0,0,,0,0,0,37891,0,20
