IdLabel,Date,Week,Day,Phase,DateTime_in,DateTime_out,Duration,Group,unitLabel_from,unitLabel_to,Cage,Segment_type,Cage_type,Distance,Height,Crossing_step,Crossing,Crossing_length,Age_in_months
16509C,2020-08-31,2,9,dark,2020-08-31T16:12:10.598999Z,2020-08-31T16:12:12.816998Z,2.218,All,R3-4,R3-2,Cage 3-2,1,1,177.597860347472,0,0,40073,0,20
16509C,2020-08-31,2,9,dark,2020-08-31T16:28:26.431997Z,2020-08-31T16:31:39.542002Z,193.11,All,R3-3,R3-3,0,0,,0,0,0,40125,0,20
16509C,2020-08-31,2,9,dark,2020-08-31T15:23:26.632997Z,2020-08-31T15:23:28.831997Z,2.199,All,R3-2,R3-4,Cage 3-2,1,1,177.597860347472,0,0,39954,0,20
16509C,2020-08-31,2,9,dark,2020-08-31T18:39:01.807001Z,2020-08-31T18:39:02.996003Z,1.189,All,R3-4,R3-8,Cage 3-4,1,1,242,0,1,40254,1,20
16509C,2020-08-31,2,9,dark,2020-08-31T13:28:01.034Z,2020-08-31T13:28:05.738997Z,4.705,All,R3-9,R3-7,Cage 3-5,1,1,288.591406663469,0,0,39626,0,20
16509C,2020-08-31,2,9,dark,2020-08-31T18:27:16.031002Z,2020-08-31T18:27:26.561001Z,10.53,All,R3-9,R3-9,0,0,,0,0,0,40223,0,20
16509C,2020-08-31,2,9,dark,2020-08-31T19:32:58.125998Z,2020-08-31T19:33:00.897996Z,2.772,All,R3-7,R3-3,Cage 3-3,1,1,242,0,1,40343,1,20
16509C,2020-08-31,2,9,dark,2020-08-31T15:14:55.202997Z,2020-08-31T15:15:09.328999Z,14.126,All,R3-4,R3-2,Cage 3-2,1,1,177.597860347472,0,0,39896,0,20
16509C,2020-08-31,2,9,dark,2020-08-31T14:51:41.427997Z,2020-08-31T14:52:25.642005Z,44.214,All,R3-8,R3-9,Cage 3-6,1,1,177.597860347472,0,0,39784,0,20
16509C,2020-08-31,2,9,dark,2020-08-31T19:16:52.202001Z,2020-08-31T19:29:23.042002Z,750.84,All,R3-6,R3-6,0,0,,0,0,0,40316,0,20
16509C,2020-08-31,2,9,dark,2020-08-31T14:10:18.331999Z,2020-08-31T14:10:24.818998Z,6.487,All,R3-7,R3-9,Cage 3-5,1,1,288.591406663469,0,0,39679,0,20
16509C,2020-08-31,2,9,dark,2020-08-31T15:14:51.411998Z,2020-08-31T15:14:53.100004Z,1.688,All,R3-9,R3-8,Cage 3-6,1,1,177.597860347472,0,0,39894,0,20
16509C,2020-08-31,2,9,dark,2020-08-31T15:24:05.976999Z,2020-08-31T15:24:49.357999Z,43.381,All,R3-3,R3-1,Cage 3-1,1,1,177.597860347472,0,0,39959,0,20
16509C,2020-08-31,2,9,dark,2020-08-31T14:31:26.387Z,2020-08-31T14:31:44.163999Z,17.777,All,R3-7,R3-7,0,0,,0,0,0,39708,0,20
16509C,2020-08-31,2,9,dark,2020-08-31T15:25:30.044001Z,2020-08-31T15:25:30.705004Z,0.661,All,R3-1,R3-2,Tube 2:3,1,2,132,0,1,39964,1,20
16509C,2020-08-31,2,9,dark,2020-08-31T18:39:35.869001Z,2020-08-31T18:39:37.730998Z,1.862,All,R3-4,R3-4,0,0,,0,0,0,40257,0,20
16509C,2020-08-31,2,9,dark,2020-08-31T15:27:52.724002Z,2020-08-31T15:27:54.168998Z,1.445,All,R3-1,R3-2,Tube 2:3,1,2,132,0,1,39976,1,20
