IdLabel,Date,Week,Day,Phase,DateTime_in,DateTime_out,Duration,Group,unitLabel_from,unitLabel_to,Cage,Segment_type,Cage_type,Distance,Height,Crossing_step,Crossing,Crossing_length,Age_in_months
16829E,2020-08-24,1,1,light,2020-08-24T11:13:54.291002Z,2020-08-24T11:14:18.835999Z,24.545,All,R2-7,R2-7,0,0,,0,0,0,42236,0,18
16829E,2020-08-24,1,2,dark,2020-08-24T21:36:03.045004Z,2020-08-24T21:36:04.771Z,1.726,All,R2-9,R2-8,Cage 2-6,1,1,177.597860347472,0,0,42939,0,18
16829E,2020-08-24,1,2,dark,2020-08-24T17:10:35.690001Z,2020-08-24T17:10:40.966001Z,5.276,All,R2-4,R2-8,Cage 2-4,1,1,242,0,1,42732,1,18
16829E,2020-08-24,1,1,light,2020-08-24T11:15:00.376004Z,2020-08-24T11:15:05.135003Z,4.759,All,R2-3,R2-7,Cage 2-3,1,1,242,0,1,42239,1,18
16829E,2020-08-24,1,2,dark,2020-08-24T21:36:04.771Z,2020-08-24T21:36:07.543999Z,2.773,All,R2-8,R2-4,Cage 2-4,1,1,242,0,1,42940,1,18
16829E,2020-08-24,1,2,dark,2020-08-24T17:32:58.022002Z,2020-08-24T17:38:24.085Z,326.063,All,R2-7,R2-7,0,0,,0,0,0,42748,0,18
16829E,2020-08-24,1,2,dark,2020-08-24T23:18:48.517001Z,2020-08-24T23:19:13.613998Z,25.097,All,R2-8,R2-8,0,0,,0,0,0,42999,0,18
16829E,2020-08-24,1,2,dark,2020-08-24T17:26:11.548Z,2020-08-24T17:26:27.591003Z,16.043,All,R2-7,R2-9,Cage 2-5,1,1,288.591406663469,0,0,42740,0,18
16829E,2020-08-24,1,1,light,2020-08-24T11:35:46.283004Z,2020-08-24T11:37:13.871004Z,87.588,All,R2-7,R2-7,0,0,,0,0,0,42283,0,18
16829E,2020-08-24,1,2,dark,2020-08-24T20:48:39.794003Z,2020-08-24T20:48:45.723998Z,5.93,All,R2-8,R2-8,0,0,,0,0,0,42924,0,18
