IdLabel,Date,Week,Day,Phase,DateTime_in,DateTime_out,Duration,Group,unitLabel_from,unitLabel_to,Cage,Segment_type,Cage_type,Distance,Height,Crossing_step,Crossing,Crossing_length,Age_in_months
16829E,2020-08-31,2,9,dark,2020-08-31T12:29:44.295Z,2020-08-31T12:29:46.630997Z,2.336,All,R3-1,R3-2,Tube 2:3,1,2,132,0,1,50649,1,18
16829E,2020-08-31,2,9,dark,2020-08-31T12:21:32.969002Z,2020-08-31T12:21:34.671004Z,1.702,All,R3-1,R3-2,Tube 2:3,1,2,132,0,1,50639,1,18
16829E,2020-08-31,2,9,dark,2020-08-31T15:35:13.928998Z,2020-08-31T15:35:16.542001Z,2.613,All,R2-3,R2-7,Cage 2-3,1,1,242,0,1,50882,1,18
16829E,2020-08-31,2,9,dark,2020-08-31T21:03:31.786004Z,2020-08-31T21:04:17.461Z,45.675,All,R2-4,R2-4,0,0,,0,0,0,51242,0,18
16829E,2020-08-31,2,9,dark,2020-08-31T18:31:24.073997Z,2020-08-31T18:31:30.573998Z,6.5,All,R3-1,R2-6,Tube 2:3,1,2,363.534042422439,-237,0,51164,0,18
16829E,2020-08-31,2,9,dark,2020-08-31T16:10:27.924997Z,2020-08-31T16:10:29.517004Z,1.592,All,R3-2,R3-4,Cage 3-2,1,1,177.597860347472,0,0,50992,0,18
16829E,2020-08-31,2,9,dark,2020-08-31T22:03:41.508996Z,2020-08-31T22:08:10.899998Z,269.391,All,R3-4,R3-4,0,0,,0,0,0,51339,0,18
16829E,2020-08-31,2,9,dark,2020-08-31T23:04:24.147995Z,2020-08-31T23:09:27.785001Z,303.637,All,R1-4,R1-6,Cage 1-4,1,1,177.597860347472,0,0,51444,0,18
16829E,2020-08-31,2,9,dark,2020-08-31T15:11:45.885996Z,2020-08-31T15:11:47.907004Z,2.021,All,R3-6,R3-8,Cage 3-4,1,1,177.597860347472,0,0,50808,0,18
16829E,2020-08-31,2,9,dark,2020-08-31T12:29:12.942004Z,2020-08-31T12:29:44.295Z,31.353,All,R3-3,R3-1,Cage 3-1,1,1,177.597860347472,0,0,50648,0,18
16829E,2020-08-31,2,9,dark,2020-08-31T12:21:34.671004Z,2020-08-31T12:22:31.390996Z,56.72,All,R3-2,R3-4,Cage 3-2,1,1,177.597860347472,0,0,50640,0,18
16829E,2020-08-31,2,9,dark,2020-08-31T22:52:51.970Z,2020-08-31T22:53:17.778Z,25.808,All,R2-4,R2-2,Cage 2-2,1,1,177.597860347472,0,0,51428,0,18
16829E,2020-08-31,2,9,dark,2020-08-31T15:44:46.735Z,2020-08-31T15:45:39.364004Z,52.629,All,R3-8,R3-8,0,0,,0,0,0,50932,0,18
16829E,2020-08-31,2,9,dark,2020-08-31T15:19:27.520997Z,2020-08-31T15:19:28.173999Z,0.653,All,R2-6,R2-5,Tube 2:3,1,2,132,0,1,50840,1,18
16829E,2020-08-31,2,9,dark,2020-08-31T22:03:37.119998Z,2020-08-31T22:03:41.508996Z,4.389,All,R3-8,R3-4,Cage 3-4,1,1,242,0,1,51338,1,18
16829E,2020-08-31,2,9,dark,2020-08-31T20:05:08.916Z,2020-08-31T20:05:23.587998Z,14.672,All,R2-8,R2-9,Cage 2-6,1,1,177.597860347472,0,0,51205,0,18
16829E,2020-08-31,2,9,dark,2020-08-31T15:26:32.104999Z,2020-08-31T15:26:37.540001Z,5.435,All,R2-4,R2-2,Cage 2-2,1,1,177.597860347472,0,0,50868,0,18
16829E,2020-08-31,2,9,dark,2020-08-31T15:41:03.125Z,2020-08-31T15:41:05.579002Z,2.454,All,R2-7,R2-9,Cage 2-5,1,1,288.591406663469,0,0,50908,0,18
16829E,2020-08-31,2,9,dark,2020-08-31T15:56:32.550Z,2020-08-31T15:56:49.658997Z,17.109,All,R3-3,R3-7,Cage 3-3,1,1,242,0,1,50962,1,18
16829E,2020-08-31,2,9,dark,2020-08-31T17:42:57.954001Z,2020-08-31T17:43:03.374996Z,5.421,All,R1-5,R1-7,Cage 1-3,1,1,177.597860347472,0,0,51074,0,18
16829E,2020-08-31,2,9,dark,2020-08-31T15:23:15.392003Z,2020-08-31T15:24:09.223998Z,53.832,All,R2-9,R2-8,Cage 2-6,1,1,177.597860347472,0,0,50859,0,18
16829E,2020-08-31,2,9,dark,2020-08-31T21:49:57.622995Z,2020-08-31T21:50:57.003997Z,59.381,All,R2-1,R2-1,0,0,,0,0,0,51315,0,18
16829E,2020-08-31,2,9,dark,2020-08-31T21:17:17.395002Z,2020-08-31T21:19:38.324997Z,140.93,All,R2-3,R2-1,Cage 2-1,1,1,177.597860347472,0,0,51273,0,18
16829E,2020-08-31,2,9,dark,2020-08-31T14:45:53.077003Z,2020-08-31T14:46:20.720001Z,27.643,All,R3-6,R3-3,Cage 3-3,1,1,288.591406663469,0,0,50727,0,18
16829E,2020-08-31,2,9,dark,2020-08-31T23:09:36.662999Z,2020-08-31T23:16:00.029001Z,383.366,All,R2-1,R2-3,Cage 2-1,1,1,177.597860347472,0,0,51446,0,18
16829E,2020-08-31,2,9,dark,2020-08-31T18:31:13.773Z,2020-08-31T18:31:16.679004Z,2.906,All,R3-4,R3-6,Cage 3-4,1,1,177.597860347472,0,0,51161,0,18
16829E,2020-08-31,2,9,dark,2020-08-31T15:36:09.416001Z,2020-08-31T15:36:10.849999Z,1.434,All,R2-5,R2-6,Tube 2:3,1,2,132,0,1,50888,1,18
16829E,2020-08-31,2,9,dark,2020-08-31T15:04:27.679996Z,2020-08-31T15:04:29.311997Z,1.632,All,R3-1,R3-2,Tube 2:3,1,2,132,0,1,50777,1,18
16829E,2020-08-31,2,9,dark,2020-08-31T16:15:22.917001Z,2020-08-31T16:15:24.738002Z,1.821,All,R3-2,R3-4,Cage 3-2,1,1,177.597860347472,0,0,51009,0,18
16829E,2020-08-31,2,9,dark,2020-08-31T13:50:49.491001Z,2020-08-31T13:50:50.896996Z,1.406,All,R3-4,R3-8,Cage 3-4,1,1,242,0,1,50683,1,18
16829E,2020-08-31,2,9,dark,2020-08-31T17:09:55.415998Z,2020-08-31T17:09:57.625998Z,2.21,All,R3-4,R3-8,Cage 3-4,1,1,242,0,1,51030,1,18
16829E,2020-08-31,2,9,dark,2020-08-31T14:45:52.252998Z,2020-08-31T14:45:53.077003Z,0.824,All,R3-4,R3-6,Cage 3-4,1,1,177.597860347472,0,0,50726,0,18
16829E,2020-08-31,2,9,dark,2020-08-31T18:41:12.602Z,2020-08-31T18:41:13.775Z,1.173,All,R2-4,R2-6,Cage 2-4,1,1,177.597860347472,0,0,51175,0,18
16829E,2020-08-31,2,9,dark,2020-08-31T16:02:44.074Z,2020-08-31T16:03:37.885Z,53.811,All,R3-3,R3-1,Cage 3-1,1,1,177.597860347472,0,0,50985,0,18
16829E,2020-08-31,2,9,dark,2020-08-31T20:55:59.932001Z,2020-08-31T20:56:01.915002Z,1.983,All,R3-4,R3-8,Cage 3-4,1,1,242,0,1,51231,1,18
16829E,2020-08-31,2,9,dark,2020-08-31T16:10:31.031Z,2020-08-31T16:10:39.544001Z,8.513,All,R3-8,R3-9,Cage 3-6,1,1,177.597860347472,0,0,50994,0,18
16829E,2020-08-31,2,9,dark,2020-08-31T18:08:11.119001Z,2020-08-31T18:08:12.181997Z,1.063,All,R3-9,R3-8,Cage 3-6,1,1,177.597860347472,0,0,51115,0,18
16829E,2020-08-31,2,9,dark,2020-08-31T15:20:47.363997Z,2020-08-31T15:20:54.487003Z,7.123,All,R2-2,R2-4,Cage 2-2,1,1,177.597860347472,0,0,50844,0,18
16829E,2020-08-31,2,9,dark,2020-08-31T16:15:24.738002Z,2020-08-31T16:15:26.525998Z,1.788,All,R3-4,R3-8,Cage 3-4,1,1,242,0,1,51010,1,18
