IdLabel,Date,Week,Day,Phase,DateTime_in,DateTime_out,Duration,Group,unitLabel_from,unitLabel_to,Cage,Segment_type,Cage_type,Distance,Height,Crossing_step,Crossing,Crossing_length,Age_in_months
16829E,2020-09-01,2,9,light,2020-09-01T01:01:38.387001Z,2020-09-01T01:02:17.601999Z,39.215,All,R2-8,R2-9,Cage 2-6,1,1,177.597860347472,0,0,51487,0,18
16829E,2020-09-01,2,9,light,2020-09-01T01:11:28.690998Z,2020-09-01T01:11:52.531999Z,23.841,All,R1-7,R1-9,Cage 1-5,1,1,288.591406663469,0,0,51495,0,18
16829E,2020-09-01,2,9,light,2020-09-01T01:10:25.328998Z,2020-09-01T01:10:48.215001Z,22.886,All,R1-5,R1-7,Cage 1-3,1,1,177.597860347472,0,0,51493,0,18
16829E,2020-09-01,2,9,light,2020-09-01T01:10:48.215001Z,2020-09-01T01:11:28.690998Z,40.476,All,R1-7,R1-7,0,0,,0,0,0,51494,0,18
16829E,2020-09-01,2,9,light,2020-09-01T06:11:49.124Z,2020-09-01T06:11:53.558998Z,4.435,All,R1-4,R1-2,Cage 1-2,1,1,177.597860347472,0,0,51540,0,18
16829E,2020-09-01,2,9,light,2020-09-01T01:12:09.097004Z,2020-09-01T01:12:52.037001Z,42.94,All,R1-4,R1-2,Cage 1-2,1,1,177.597860347472,0,0,51498,0,18
16829E,2020-09-01,2,9,light,2020-09-01T01:13:27.409999Z,2020-09-01T01:13:34.093998Z,6.684,All,R1-6,R1-5,Tube 1:2,1,2,132,0,1,51502,1,18
16829E,2020-09-01,2,9,light,2020-09-01T07:52:14.839997Z,2020-09-01T07:52:39.220998Z,24.381,All,R2-9,R2-7,Cage 2-5,1,1,288.591406663469,0,0,51570,0,18
16829E,2020-09-01,2,9,light,2020-09-01T10:14:11.927002Z,2020-09-01T10:14:15.051002Z,3.124,All,R2-3,R2-1,Cage 2-1,1,1,177.597860347472,0,0,51581,0,18
16829E,2020-09-01,2,9,light,2020-09-01T10:14:15.051002Z,2020-09-01T10:14:16.231001Z,1.18,All,R2-1,R2-2,Tube 1:2,1,2,132,0,1,51582,1,18
16829E,2020-09-01,2,9,light,2020-09-01T10:14:16.231001Z,2020-09-01T10:19:37.941004Z,321.71,All,R2-2,R2-4,Cage 2-2,1,1,177.597860347472,0,0,51583,0,18
16829E,2020-09-01,2,9,light,2020-09-01T10:19:37.941004Z,2020-09-01T10:19:42.839996Z,4.899,All,R2-4,R2-8,Cage 2-4,1,1,242,0,1,51584,1,18
16829E,2020-09-01,2,9,light,2020-09-01T10:22:38.486004Z,2020-09-01T10:22:47.828997Z,9.343,All,R2-4,R2-2,Cage 2-2,1,1,177.597860347472,0,0,51597,0,18
16829E,2020-09-01,2,9,light,2020-09-01T04:11:45.293001Z,2020-09-01T04:12:27.568996Z,42.276,All,R1-4,R1-4,0,0,,0,0,0,51522,0,18
16829E,2020-09-01,2,9,light,2020-09-01T11:06:36.223001Z,2020-09-01T11:10:40.825998Z,244.603,All,R2-3,R2-5,Cage 2-3,1,1,177.597860347472,0,0,51639,0,18
16829E,2020-09-01,2,9,light,2020-09-01T11:48:49.919003Z,2020-09-01T11:48:53.569998Z,3.651,All,R2-8,R2-9,Cage 2-6,1,1,177.597860347472,0,0,51651,0,18
16829E,2020-09-01,2,9,light,2020-09-01T11:48:59.663998Z,2020-09-01T11:54:39.411997Z,339.748,All,R2-7,R2-7,0,0,,0,0,0,51653,0,18
16829E,2020-09-01,2,9,light,2020-09-01T01:10:18.121Z,2020-09-01T01:10:25.328998Z,7.208,All,R1-5,R1-5,0,0,,0,0,0,51492,0,18
16829E,2020-09-01,2,9,light,2020-09-01T10:20:43.995998Z,2020-09-01T10:20:46.123002Z,2.127,All,R2-4,R2-6,Cage 2-4,1,1,177.597860347472,0,0,51591,0,18
16829E,2020-09-01,2,9,light,2020-09-01T10:22:26.536002Z,2020-09-01T10:22:33.441998Z,6.906,All,R2-9,R2-8,Cage 2-6,1,1,177.597860347472,0,0,51595,0,18
16829E,2020-09-01,2,9,light,2020-09-01T11:02:00.735003Z,2020-09-01T11:02:04.674999Z,3.94,All,R2-7,R2-3,Cage 2-3,1,1,242,0,1,51627,1,18
16829E,2020-09-01,2,9,light,2020-09-01T11:02:04.674999Z,2020-09-01T11:02:06.377001Z,1.702,All,R2-3,R2-1,Cage 2-1,1,1,177.597860347472,0,0,51628,0,18
16829E,2020-09-01,2,9,light,2020-09-01T11:06:27.807002Z,2020-09-01T11:06:36.223001Z,8.416,All,R2-1,R2-3,Cage 2-1,1,1,177.597860347472,0,0,51638,0,18
16829E,2020-09-01,2,9,light,2020-09-01T01:12:55.667002Z,2020-09-01T01:13:10.887001Z,15.22,All,R1-2,R1-4,Cage 1-2,1,1,177.597860347472,0,0,51500,0,18
16829E,2020-09-01,2,9,light,2020-09-01T10:19:59.630998Z,2020-09-01T10:20:08.351998Z,8.721,All,R2-9,R2-7,Cage 2-5,1,1,288.591406663469,0,0,51586,0,18
16829E,2020-09-01,2,9,light,2020-09-01T10:20:08.351998Z,2020-09-01T10:20:21.179003Z,12.827,All,R2-7,R2-3,Cage 2-3,1,1,242,0,1,51587,1,18
16829E,2020-09-01,2,9,light,2020-09-01T10:20:21.179003Z,2020-09-01T10:20:34.023002Z,12.844,All,R2-3,R2-1,Cage 2-1,1,1,177.597860347472,0,0,51588,0,18
16829E,2020-09-01,2,9,light,2020-09-01T10:20:35.103002Z,2020-09-01T10:20:43.995998Z,8.893,All,R2-2,R2-4,Cage 2-2,1,1,177.597860347472,0,0,51590,0,18
16829E,2020-09-01,2,9,light,2020-09-01T10:29:16.087001Z,2020-09-01T10:42:00.208999Z,764.122,All,R2-7,R2-7,0,0,,0,0,0,51610,0,18
16829E,2020-09-01,2,9,light,2020-09-01T11:01:54.501001Z,2020-09-01T11:02:00.735003Z,6.234,All,R2-9,R2-7,Cage 2-5,1,1,288.591406663469,0,0,51626,0,18
16829E,2020-09-01,2,9,light,2020-09-01T11:02:06.377001Z,2020-09-01T11:02:07.901002Z,1.524,All,R2-1,R2-2,Tube 1:2,1,2,132,0,1,51629,1,18
16829E,2020-09-01,2,9,light,2020-09-01T11:05:12.577001Z,2020-09-01T11:05:18.410004Z,5.833,All,R2-2,R2-1,Tube 1:2,1,2,132,0,1,51633,1,18
16829E,2020-09-01,2,9,light,2020-09-01T08:44:22.014004Z,2020-09-01T08:44:25.566997Z,3.553,All,R2-4,R2-2,Cage 2-2,1,1,177.597860347472,0,0,51575,0,18
16829E,2020-09-01,2,9,light,2020-09-01T08:44:25.566997Z,2020-09-01T08:44:27.603997Z,2.037,All,R2-2,R2-1,Tube 1:2,1,2,132,0,1,51576,1,18
