IdLabel,Date,Week,Day,Phase,DateTime_in,DateTime_out,Duration,Group,unitLabel_from,unitLabel_to,Cage,Segment_type,Cage_type,Distance,Height,Crossing_step,Crossing,Crossing_length,Age_in_months
18291F,2020-08-26,1,4,dark,2020-08-26T23:40:52.054003Z,2020-08-26T23:41:07.008003Z,14.954,All,R1-4,R1-2,Cage 1-2,1,1,177.597860347472,0,0,61884,0,15
18291F,2020-08-26,1,3,light,2020-08-26T11:40:57.901996Z,2020-08-26T11:41:03.329005Z,5.427,All,R1-4,R1-6,Cage 1-4,1,1,177.597860347472,0,0,59312,0,15
18291F,2020-08-26,1,4,dark,2020-08-26T16:29:58.434Z,2020-08-26T16:30:00.715003Z,2.281,All,R2-8,R2-9,Cage 2-6,1,1,177.597860347472,0,0,59883,0,15
18291F,2020-08-26,1,4,dark,2020-08-26T16:30:07.994005Z,2020-08-26T16:30:37.250004Z,29.256,All,R2-7,R2-7,0,0,,0,0,0,59885,0,15
18291F,2020-08-26,1,4,dark,2020-08-26T16:29:51.161003Z,2020-08-26T16:29:52.546998Z,1.386,All,R2-3,R2-1,Cage 2-1,1,1,177.597860347472,0,0,59878,0,15
18291F,2020-08-26,1,3,light,2020-08-26T01:58:08.994997Z,2020-08-26T01:58:15.338Z,6.343,All,R1-6,R1-4,Cage 1-4,1,1,177.597860347472,0,0,58995,0,15
18291F,2020-08-26,1,3,light,2020-08-26T07:22:12.010996Z,2020-08-26T07:22:35.904Z,23.893,All,R1-3,R1-3,0,0,,0,0,0,59158,0,15
18291F,2020-08-26,1,4,dark,2020-08-26T20:43:06.595003Z,2020-08-26T20:44:34.039001Z,87.444,All,R2-5,R2-3,Cage 2-3,1,1,177.597860347472,0,0,60803,0,15
18291F,2020-08-26,1,4,dark,2020-08-26T22:46:41.011997Z,2020-08-26T22:47:03.452997Z,22.441,All,R3-4,R3-4,0,0,,0,0,0,61490,0,15
18291F,2020-08-26,1,4,dark,2020-08-26T19:31:23.443997Z,2020-08-26T19:31:30.601002Z,7.157,All,R3-2,R3-2,0,0,,0,0,0,60367,0,15
18291F,2020-08-26,1,3,light,2020-08-26T03:31:55.362003Z,2020-08-26T03:33:43.620002Z,108.258,All,R1-9,R1-8,Cage 1-6,1,1,177.597860347472,0,0,59094,0,15
18291F,2020-08-26,1,3,light,2020-08-26T01:10:56.228005Z,2020-08-26T01:10:59.880003Z,3.652,All,R1-6,R1-8,Cage 1-4,1,1,177.597860347472,0,0,58781,0,15
18291F,2020-08-26,1,3,light,2020-08-26T11:41:05.029996Z,2020-08-26T11:41:11.188Z,6.158,All,R1-5,R1-3,Cage 1-3,1,1,177.597860347472,0,0,59314,0,15
18291F,2020-08-26,1,3,light,2020-08-26T01:10:54.753Z,2020-08-26T01:10:56.228005Z,1.475,All,R1-5,R1-6,Tube 1:2,1,2,132,0,1,58780,1,15
18291F,2020-08-26,1,3,light,2020-08-26T11:41:03.329005Z,2020-08-26T11:41:05.029996Z,1.701,All,R1-6,R1-5,Tube 1:2,1,2,132,0,1,59313,1,15
18291F,2020-08-26,1,3,light,2020-08-26T01:34:21.373997Z,2020-08-26T01:34:31.462001Z,10.088,All,R1-7,R1-7,0,0,,0,0,0,58912,0,15
18291F,2020-08-26,1,3,light,2020-08-26T01:04:59.047Z,2020-08-26T01:07:05.736003Z,126.689,All,R1-4,R1-4,0,0,,0,0,0,58756,0,15
18291F,2020-08-26,1,3,light,2020-08-26T01:11:35.636996Z,2020-08-26T01:11:44.530002Z,8.893,All,R1-4,R1-4,0,0,,0,0,0,58784,0,15
18291F,2020-08-26,1,4,dark,2020-08-26T19:31:42.123997Z,2020-08-26T19:31:42.516002Z,0.392,All,R3-1,R3-2,Tube 2:3,1,2,132,0,1,60375,1,15
18291F,2020-08-26,1,4,dark,2020-08-26T22:05:52.669Z,2020-08-26T22:05:55.964003Z,3.295,All,R2-5,R2-6,Tube 2:3,1,2,132,0,1,61277,1,15
18291F,2020-08-26,1,4,dark,2020-08-26T22:46:31.303004Z,2020-08-26T22:46:33.026001Z,1.723,All,R3-9,R3-7,Cage 3-5,1,1,288.591406663469,0,0,61486,0,15
18291F,2020-08-26,1,4,dark,2020-08-26T17:07:04.470998Z,2020-08-26T17:07:08.698999Z,4.228,All,R2-1,R2-3,Cage 2-1,1,1,177.597860347472,0,0,60068,0,15
18291F,2020-08-26,1,4,dark,2020-08-26T23:48:25.824004Z,2020-08-26T23:48:29.322997Z,3.499,All,R3-7,R3-9,Cage 3-5,1,1,288.591406663469,0,0,61948,0,15
18291F,2020-08-26,1,4,dark,2020-08-26T23:30:29.443999Z,2020-08-26T23:30:31.485001Z,2.041,All,R2-8,R2-9,Cage 2-6,1,1,177.597860347472,0,0,61806,0,15
18291F,2020-08-26,1,4,dark,2020-08-26T23:48:21.488996Z,2020-08-26T23:48:25.824004Z,4.335,All,R3-3,R3-7,Cage 3-3,1,1,242,0,1,61947,1,15
18291F,2020-08-26,1,4,dark,2020-08-26T22:06:03.928Z,2020-08-26T22:09:10.854997Z,186.927,All,R3-1,R3-1,0,0,,0,0,0,61280,0,15
18291F,2020-08-26,1,4,dark,2020-08-26T23:03:49.082003Z,2020-08-26T23:03:51.528004Z,2.446,All,R2-9,R2-7,Cage 2-5,1,1,288.591406663469,0,0,61631,0,15
18291F,2020-08-26,1,3,light,2020-08-26T05:21:58.201005Z,2020-08-26T05:21:59.890996Z,1.69,All,R1-5,R1-3,Cage 1-3,1,1,177.597860347472,0,0,59117,0,15
18291F,2020-08-26,1,4,dark,2020-08-26T23:30:36.288003Z,2020-08-26T23:30:39.578002Z,3.29,All,R2-7,R2-3,Cage 2-3,1,1,242,0,1,61808,1,15
18291F,2020-08-26,1,4,dark,2020-08-26T23:03:52.876Z,2020-08-26T23:03:54.147997Z,1.272,All,R2-5,R2-6,Tube 2:3,1,2,132,0,1,61633,1,15
18291F,2020-08-26,1,3,light,2020-08-26T05:22:45.918999Z,2020-08-26T05:22:50.394Z,4.475,All,R1-6,R1-5,Tube 1:2,1,2,132,0,1,59121,1,15
18291F,2020-08-26,1,4,dark,2020-08-26T19:31:30.601002Z,2020-08-26T19:31:30.818004Z,0.217,All,R3-2,R3-1,Tube 2:3,1,2,132,0,1,60368,1,15
18291F,2020-08-26,1,4,dark,2020-08-26T21:17:22.090998Z,2020-08-26T21:17:30.935999Z,8.845,All,R3-6,R3-3,Cage 3-3,1,1,288.591406663469,0,0,60956,0,15
18291F,2020-08-26,1,4,dark,2020-08-26T16:29:52.546998Z,2020-08-26T16:29:53.248997Z,0.702,All,R2-1,R2-2,Tube 1:2,1,2,132,0,1,59879,1,15
18291F,2020-08-26,1,4,dark,2020-08-26T22:44:51.360997Z,2020-08-26T22:44:53.878002Z,2.517,All,R2-5,R3-1,Tube 2:3,1,2,338.722600367912,237,0,61473,0,15
18291F,2020-08-26,1,3,light,2020-08-26T01:23:13.713997Z,2020-08-26T01:23:16.058995Z,2.345,All,R1-5,R1-6,Tube 1:2,1,2,132,0,1,58835,1,15
18291F,2020-08-26,1,4,dark,2020-08-26T23:06:42.060004Z,2020-08-26T23:06:44.590997Z,2.531,All,R2-8,R2-4,Cage 2-4,1,1,242,0,1,61637,1,15
18291F,2020-08-26,1,3,light,2020-08-26T09:56:05.315001Z,2020-08-26T09:56:13.729998Z,8.415,All,R1-6,R1-5,Tube 1:2,1,2,132,0,1,59222,1,15
18291F,2020-08-26,1,4,dark,2020-08-26T23:15:07.880Z,2020-08-26T23:15:09.375998Z,1.496,All,R1-7,R1-5,Cage 1-3,1,1,177.597860347472,0,0,61689,0,15
18291F,2020-08-26,1,4,dark,2020-08-26T21:24:07.830997Z,2020-08-26T21:24:09.299002Z,1.468,All,R3-6,R3-4,Cage 3-4,1,1,177.597860347472,0,0,61011,0,15
18291F,2020-08-26,1,4,dark,2020-08-26T21:28:39.469003Z,2020-08-26T21:29:00.815004Z,21.346,All,R2-6,R2-8,Cage 2-4,1,1,177.597860347472,0,0,61035,0,15
18291F,2020-08-26,1,3,light,2020-08-26T05:24:37.828996Z,2020-08-26T05:24:40.151998Z,2.323,All,R1-6,R1-5,Tube 1:2,1,2,132,0,1,59139,1,15
18291F,2020-08-26,1,3,light,2020-08-26T05:21:53.430998Z,2020-08-26T05:21:58.201005Z,4.77,All,R1-6,R1-5,Tube 1:2,1,2,132,0,1,59116,1,15
18291F,2020-08-26,1,3,light,2020-08-26T01:33:05.931002Z,2020-08-26T01:33:09.662998Z,3.732,All,R1-5,R1-6,Tube 1:2,1,2,132,0,1,58898,1,15
18291F,2020-08-26,1,4,dark,2020-08-26T20:07:56.360997Z,2020-08-26T20:07:56.937Z,0.576,All,R2-6,R2-5,Tube 2:3,1,2,132,0,1,60612,1,15
18291F,2020-08-26,1,4,dark,2020-08-26T20:10:28.627001Z,2020-08-26T20:10:38.676003Z,10.049,All,R3-8,R3-9,Cage 3-6,1,1,177.597860347472,0,0,60629,0,15
18291F,2020-08-26,1,4,dark,2020-08-26T20:08:13.776999Z,2020-08-26T20:08:16.318999Z,2.542,All,R2-6,R3-1,Tube 2:3,1,2,363.534042422439,237,0,60618,0,15
18291F,2020-08-26,1,4,dark,2020-08-26T21:28:17.072999Z,2020-08-26T21:28:23.519001Z,6.446,All,R2-1,R2-1,0,0,,0,0,0,61028,0,15
18291F,2020-08-26,1,3,light,2020-08-26T05:22:50.394Z,2020-08-26T05:22:54.940998Z,4.547,All,R1-5,R1-5,0,0,,0,0,0,59122,0,15
18291F,2020-08-26,1,3,light,2020-08-26T01:29:50.046996Z,2020-08-26T01:29:52.210998Z,2.164,All,R1-6,R1-5,Tube 1:2,1,2,132,0,1,58871,1,15
18291F,2020-08-26,1,4,dark,2020-08-26T22:28:26.238003Z,2020-08-26T22:29:25.445002Z,59.207,All,R2-4,R2-6,Cage 2-4,1,1,177.597860347472,0,0,61377,0,15
18291F,2020-08-26,1,4,dark,2020-08-26T16:29:34.105004Z,2020-08-26T16:29:35.258997Z,1.154,All,R2-3,R2-7,Cage 2-3,1,1,242,0,1,59875,1,15
18291F,2020-08-26,1,4,dark,2020-08-26T23:20:19.666004Z,2020-08-26T23:20:23.572001Z,3.906,All,R3-9,R3-7,Cage 3-5,1,1,288.591406663469,0,0,61751,0,15
18291F,2020-08-26,1,4,dark,2020-08-26T23:15:01.003Z,2020-08-26T23:15:06.296996Z,5.294,All,R1-9,R1-9,0,0,,0,0,0,61687,0,15
