IdLabel,Date,Week,Day,Phase,DateTime_in,DateTime_out,Duration,Group,unitLabel_from,unitLabel_to,Cage,Segment_type,Cage_type,Distance,Height,Crossing_step,Crossing,Crossing_length,Age_in_months
18291F,2020-08-31,2,9,dark,2020-08-31T14:46:16.990Z,2020-08-31T14:46:17.755997Z,0.766,All,R2-2,R2-1,Tube 1:2,1,2,132,0,1,70848,1,15
18291F,2020-08-31,2,9,dark,2020-08-31T14:46:20.246002Z,2020-08-31T14:47:13.757997Z,53.512,All,R2-3,R2-3,0,0,,0,0,0,70850,0,15
18291F,2020-08-31,2,9,dark,2020-08-31T18:41:14.786001Z,2020-08-31T18:41:21.281Z,6.495,All,R1-3,R1-3,0,0,,0,0,0,71256,0,15
18291F,2020-08-31,2,9,dark,2020-08-31T14:46:12.525998Z,2020-08-31T14:46:16.990Z,4.464,All,R2-4,R2-2,Cage 2-2,1,1,177.597860347472,0,0,70847,0,15
18291F,2020-08-31,2,9,dark,2020-08-31T19:33:05.464996Z,2020-08-31T19:33:08.458998Z,2.994,All,R2-9,R2-9,0,0,,0,0,0,71467,0,15
18291F,2020-08-31,2,9,dark,2020-08-31T22:33:12.834Z,2020-08-31T22:33:32.769003Z,19.935,All,R3-8,R3-8,0,0,,0,0,0,71660,0,15
18291F,2020-08-31,2,9,dark,2020-08-31T15:41:29.023002Z,2020-08-31T15:41:36.768002Z,7.745,All,R2-6,R3-1,Tube 2:3,1,2,363.534042422439,237,0,71158,0,15
18291F,2020-08-31,2,9,dark,2020-08-31T22:59:23.123001Z,2020-08-31T22:59:23.826002Z,0.703,All,R2-1,R2-2,Tube 1:2,1,2,132,0,1,71754,1,15
18291F,2020-08-31,2,9,dark,2020-08-31T23:58:10.997Z,2020-08-31T23:58:15.064003Z,4.067,All,R3-1,R3-2,Tube 2:3,1,2,132,0,1,71927,1,15
18291F,2020-08-31,2,9,dark,2020-08-31T15:09:11.421Z,2020-08-31T15:09:17.413998Z,5.993,All,R2-9,R2-7,Cage 2-5,1,1,288.591406663469,0,0,70979,0,15
18291F,2020-08-31,2,9,dark,2020-08-31T14:46:17.755997Z,2020-08-31T14:46:20.246002Z,2.49,All,R2-1,R2-3,Cage 2-1,1,1,177.597860347472,0,0,70849,0,15
18291F,2020-08-31,2,9,dark,2020-08-31T15:25:22.092004Z,2020-08-31T15:25:30.470005Z,8.378,All,R1-2,R1-4,Cage 1-2,1,1,177.597860347472,0,0,71055,0,15
18291F,2020-08-31,2,9,dark,2020-08-31T19:23:40.790003Z,2020-08-31T19:24:36.002998Z,55.213,All,R3-1,R3-1,0,0,,0,0,0,71412,0,15
18291F,2020-08-31,2,9,dark,2020-08-31T15:25:30.470005Z,2020-08-31T15:25:32.552997Z,2.083,All,R1-4,R1-6,Cage 1-4,1,1,177.597860347472,0,0,71056,0,15
18291F,2020-08-31,2,9,dark,2020-08-31T14:58:51.826996Z,2020-08-31T15:00:00.252003Z,68.425,All,R3-1,R3-3,Cage 3-1,1,1,177.597860347472,0,0,70919,0,15
18291F,2020-08-31,2,9,dark,2020-08-31T19:33:14.837996Z,2020-08-31T19:33:55.479001Z,40.641,All,R2-9,R2-9,0,0,,0,0,0,71470,0,15
18291F,2020-08-31,2,9,dark,2020-08-31T23:11:56.467004Z,2020-08-31T23:12:01.148Z,4.681,All,R1-8,R1-4,Cage 1-4,1,1,242,0,1,71783,1,15
18291F,2020-08-31,2,9,dark,2020-08-31T23:16:44.449003Z,2020-08-31T23:16:59.059002Z,14.61,All,R1-3,R1-2,Cage 1-1,1,1,288.591406663469,0,0,71801,0,15
18291F,2020-08-31,2,9,dark,2020-08-31T15:13:35.216997Z,2020-08-31T15:13:38.822001Z,3.605,All,R1-5,R1-7,Cage 1-3,1,1,177.597860347472,0,0,71008,0,15
18291F,2020-08-31,2,9,dark,2020-08-31T18:49:32.897Z,2020-08-31T18:49:42.862999Z,9.966,All,R2-9,R2-9,0,0,,0,0,0,71286,0,15
