IdLabel,Date,Week,Day,Phase,DateTime_in,DateTime_out,Duration,Group,unitLabel_from,unitLabel_to,Cage,Segment_type,Cage_type,Distance,Height,Crossing_step,Crossing,Crossing_length,Age_in_months
18291F,2020-09-01,2,9,light,2020-09-01T07:42:47.823002Z,2020-09-01T07:42:49.938999Z,2.116,All,R1-8,R1-6,Cage 1-4,1,1,177.597860347472,0,0,72093,0,15
18291F,2020-09-01,2,9,light,2020-09-01T07:42:07.295Z,2020-09-01T07:42:46.239998Z,38.945,All,R1-9,R1-9,0,0,,0,0,0,72091,0,15
18291F,2020-09-01,2,9,light,2020-09-01T07:19:24.364998Z,2020-09-01T07:19:29.710998Z,5.346,All,R1-9,R1-9,0,0,,0,0,0,72067,0,15
18291F,2020-09-01,2,9,light,2020-09-01T07:42:51.303998Z,2020-09-01T08:07:24.943002Z,1473.639,All,R1-5,R1-3,Cage 1-3,1,1,177.597860347472,0,0,72095,0,15
18291F,2020-09-01,2,9,light,2020-09-01T07:41:59.645999Z,2020-09-01T07:42:07.295Z,7.649,All,R1-8,R1-9,Cage 1-6,1,1,177.597860347472,0,0,72090,0,15
18291F,2020-09-01,2,9,light,2020-09-01T05:37:56.408005Z,2020-09-01T05:38:06.713002Z,10.305,All,R2-2,R2-2,0,0,,0,0,0,72043,0,15
18291F,2020-09-01,2,9,light,2020-09-01T07:19:06.655003Z,2020-09-01T07:19:22.018996Z,15.364,All,R1-9,R1-9,0,0,,0,0,0,72065,0,15
18291F,2020-09-01,2,9,light,2020-09-01T07:41:57.314996Z,2020-09-01T07:41:59.645999Z,2.331,All,R1-6,R1-8,Cage 1-4,1,1,177.597860347472,0,0,72089,0,15
18291F,2020-09-01,2,9,light,2020-09-01T07:16:09.038997Z,2020-09-01T07:17:26.466996Z,77.428,All,R1-4,R1-2,Cage 1-2,1,1,177.597860347472,0,0,72058,0,15
18291F,2020-09-01,2,9,light,2020-09-01T11:47:22.300997Z,2020-09-01T11:47:23.082Z,0.781,All,R2-1,R2-2,Tube 1:2,1,2,132,0,1,72173,1,15
18291F,2020-09-01,2,9,light,2020-09-01T07:42:49.938999Z,2020-09-01T07:42:51.303998Z,1.365,All,R1-6,R1-5,Tube 1:2,1,2,132,0,1,72094,1,15
18291F,2020-09-01,2,9,light,2020-09-01T09:48:49.770Z,2020-09-01T09:49:00.541998Z,10.772,All,R2-8,R2-6,Cage 2-4,1,1,177.597860347472,0,0,72119,0,15
18291F,2020-09-01,2,9,light,2020-09-01T09:49:07.260004Z,2020-09-01T09:49:29.316999Z,22.057,All,R3-2,R3-2,0,0,,0,0,0,72121,0,15
18291F,2020-09-01,2,9,light,2020-09-01T02:12:10.117995Z,2020-09-01T02:24:01.553999Z,711.436,All,R2-3,R2-3,0,0,,0,0,0,72026,0,15
18291F,2020-09-01,2,9,light,2020-09-01T07:18:07.252004Z,2020-09-01T07:19:06.655003Z,59.403,All,R1-8,R1-9,Cage 1-6,1,1,177.597860347472,0,0,72064,0,15
18291F,2020-09-01,2,9,light,2020-09-01T07:42:46.239998Z,2020-09-01T07:42:47.823002Z,1.583,All,R1-9,R1-8,Cage 1-6,1,1,177.597860347472,0,0,72092,0,15
18291F,2020-09-01,2,9,light,2020-09-01T09:49:29.316999Z,2020-09-01T09:49:30.387003Z,1.07,All,R3-2,R3-1,Tube 2:3,1,2,132,0,1,72122,1,15
18291F,2020-09-01,2,9,light,2020-09-01T07:17:57.812Z,2020-09-01T07:18:04.365Z,6.553,All,R1-2,R1-4,Cage 1-2,1,1,177.597860347472,0,0,72062,0,15
