IdLabel,Date,Week,Day,Phase,DateTime_in,DateTime_out,Duration,Group,unitLabel_from,unitLabel_to,Cage,Segment_type,Cage_type,Distance,Height,Crossing_step,Crossing,Crossing_length,Age_in_months
19231J,2020-08-30,1,7,light,2020-08-30T09:17:01.943002Z,2020-08-30T09:17:04.315001Z,2.372,All,R1-5,R1-7,Cage 1-3,1,1,177.597860347472,0,0,92528,0,12
19231J,2020-08-30,2,8,dark,2020-08-30T15:08:12.983004Z,2020-08-30T15:08:13.753Z,0.77,All,R1-8,R1-4,Cage 1-4,1,1,242,0,1,92874,1,12
19231J,2020-08-30,2,8,dark,2020-08-30T15:37:13.587001Z,2020-08-30T15:37:13.999Z,0.412,All,R2-1,R2-2,Tube 1:2,1,2,132,0,1,93066,1,12
19231J,2020-08-30,2,8,dark,2020-08-30T15:37:47.099998Z,2020-08-30T15:37:49.054996Z,1.955,All,R2-9,R2-7,Cage 2-5,1,1,288.591406663469,0,0,93075,0,12
19231J,2020-08-30,2,8,dark,2020-08-30T23:25:40.022999Z,2020-08-30T23:25:54.054998Z,14.032,All,R3-1,R3-1,0,0,,0,0,0,93750,0,12
19231J,2020-08-30,2,8,dark,2020-08-30T14:38:59.418997Z,2020-08-30T14:39:04.497002Z,5.078,All,R2-3,R2-2,2,2,,288.591406663469,0,0,92724,0,12
19231J,2020-08-30,2,8,dark,2020-08-30T20:44:54.831999Z,2020-08-30T20:44:56.457001Z,1.625,All,R3-8,R3-4,Cage 3-4,1,1,242,0,1,93512,1,12
19231J,2020-08-30,2,8,dark,2020-08-30T14:34:00.350002Z,2020-08-30T14:34:05.996001Z,5.646,All,R1-9,R1-7,Cage 1-5,1,1,288.591406663469,0,0,92695,0,12
19231J,2020-08-30,1,7,light,2020-08-30T01:04:22.294998Z,2020-08-30T01:04:36.512999Z,14.218,All,R1-3,R1-5,Cage 1-3,1,1,177.597860347472,0,0,92447,0,12
19231J,2020-08-30,1,7,light,2020-08-30T09:31:56.121001Z,2020-08-30T09:32:03.998002Z,7.877,All,R2-2,R1-6,Tube 1:2,1,2,338.722600367912,-237,0,92560,0,12
19231J,2020-08-30,2,8,dark,2020-08-30T17:52:57.243997Z,2020-08-30T18:02:07.522995Z,550.279,All,R2-9,R2-7,Cage 2-5,1,1,288.591406663469,0,0,93412,0,12
19231J,2020-08-30,2,8,dark,2020-08-30T15:08:11.988003Z,2020-08-30T15:08:12.983004Z,0.995,All,R1-9,R1-8,Cage 1-6,1,1,177.597860347472,0,0,92873,0,12
19231J,2020-08-30,2,8,dark,2020-08-30T21:28:06.337997Z,2020-08-30T21:29:34.186001Z,87.848,All,R2-6,R2-8,Cage 2-4,1,1,177.597860347472,0,0,93624,0,12
19231J,2020-08-30,2,8,dark,2020-08-30T22:10:30.338003Z,2020-08-30T22:10:34.994997Z,4.657,All,R2-3,R2-6,2,2,,288.591406663469,0,0,93712,0,12
19231J,2020-08-30,2,8,dark,2020-08-30T14:35:13.907999Z,2020-08-30T14:35:27.109003Z,13.201,All,R1-9,R1-8,Cage 1-6,1,1,177.597860347472,0,0,92704,0,12
19231J,2020-08-30,2,8,dark,2020-08-30T20:44:44.401998Z,2020-08-30T20:44:53.259Z,8.857,All,R3-9,R3-9,0,0,,0,0,0,93510,0,12
19231J,2020-08-30,1,7,light,2020-08-30T00:22:52.921998Z,2020-08-30T01:03:59.628001Z,2466.706,All,R1-5,R1-3,Cage 1-3,1,1,177.597860347472,0,0,92443,0,12
19231J,2020-08-30,2,8,dark,2020-08-30T21:29:34.186001Z,2020-08-30T21:29:36.798003Z,2.612,All,R2-8,R2-8,0,0,,0,0,0,93625,0,12
19231J,2020-08-30,2,8,dark,2020-08-30T14:55:50.861004Z,2020-08-30T14:55:51.579998Z,0.719,All,R2-7,R2-3,Cage 2-3,1,1,242,0,1,92821,1,12
19231J,2020-08-30,2,8,dark,2020-08-30T20:44:40.978001Z,2020-08-30T20:44:42.388999Z,1.411,All,R3-4,R3-8,Cage 3-4,1,1,242,0,1,93508,1,12
19231J,2020-08-30,2,8,dark,2020-08-30T21:28:04.558996Z,2020-08-30T21:28:06.337997Z,1.779,All,R2-6,R2-6,0,0,,0,0,0,93623,0,12
19231J,2020-08-30,2,8,dark,2020-08-30T21:37:07.343003Z,2020-08-30T21:37:26.000996Z,18.658,All,R3-2,R3-2,0,0,,0,0,0,93643,0,12
