IdLabel,Date,Week,Day,Phase,DateTime_in,DateTime_out,Duration,Group,unitLabel_from,unitLabel_to,Cage,Segment_type,Cage_type,Distance,Height,Crossing_step,Crossing,Crossing_length,Age_in_months
19231J,2020-08-29,1,7,dark,2020-08-29T23:15:10.690004Z,2020-08-29T23:15:16.371003Z,5.681,All,R1-4,R1-2,Cage 1-2,1,1,177.597860347472,0,0,92391,0,12
19231J,2020-08-29,1,7,dark,2020-08-29T23:15:05.182003Z,2020-08-29T23:15:10.690004Z,5.508,All,R1-8,R1-4,Cage 1-4,1,1,242,0,1,92390,1,12
19231J,2020-08-29,1,7,dark,2020-08-29T23:14:03.507999Z,2020-08-29T23:14:44.292999Z,40.785,All,R2-1,R1-5,Tube 1:2,1,2,338.722600367912,-237,0,92386,0,12
19231J,2020-08-29,1,7,dark,2020-08-29T16:38:01.516997Z,2020-08-29T16:38:03.479004Z,1.962,All,R1-2,R1-2,0,0,,0,0,0,91771,0,12
19231J,2020-08-29,1,7,dark,2020-08-29T14:15:03.272002Z,2020-08-29T14:15:06.058999Z,2.787,All,R2-8,R2-4,Cage 2-4,1,1,242,0,1,91318,1,12
19231J,2020-08-29,1,7,dark,2020-08-29T18:18:13.652997Z,2020-08-29T18:18:26.994003Z,13.341,All,R1-3,R1-5,Cage 1-3,1,1,177.597860347472,0,0,91976,0,12
19231J,2020-08-29,1,7,dark,2020-08-29T22:32:04.791002Z,2020-08-29T22:33:12.638001Z,67.847,All,R1-9,R1-8,Cage 1-6,1,1,177.597860347472,0,0,92283,0,12
19231J,2020-08-29,1,7,dark,2020-08-29T21:11:23.132997Z,2020-08-29T21:11:29.648999Z,6.516,All,R1-3,R1-7,Cage 1-3,1,1,242,0,1,92074,1,12
19231J,2020-08-29,1,7,dark,2020-08-29T21:29:36.887997Z,2020-08-29T21:30:13.449997Z,36.562,All,R1-9,R1-9,0,0,,0,0,0,92156,0,12
19231J,2020-08-29,1,7,dark,2020-08-29T16:27:20.598998Z,2020-08-29T16:27:30.109004Z,9.51,All,R2-1,R2-1,0,0,,0,0,0,91712,0,12
19231J,2020-08-29,1,7,dark,2020-08-29T23:13:12.532Z,2020-08-29T23:14:03.507999Z,50.976,All,R2-3,R2-1,Cage 2-1,1,1,177.597860347472,0,0,92385,0,12
19231J,2020-08-29,1,7,dark,2020-08-29T20:40:58.148996Z,2020-08-29T20:57:57.749996Z,1019.601,All,R2-5,R2-7,Cage 2-3,1,1,177.597860347472,0,0,92027,0,12
19231J,2020-08-29,1,7,dark,2020-08-29T17:01:23.917Z,2020-08-29T17:01:35.319Z,11.402,All,R2-6,R2-4,Cage 2-4,1,1,177.597860347472,0,0,91809,0,12
19231J,2020-08-29,1,7,dark,2020-08-29T13:32:58.229998Z,2020-08-29T13:32:58.968001Z,0.738,All,R2-3,R2-7,Cage 2-3,1,1,242,0,1,91114,1,12
19231J,2020-08-29,1,7,dark,2020-08-29T14:10:39.703999Z,2020-08-29T14:10:40.148Z,0.444,All,R2-1,R2-2,Tube 1:2,1,2,132,0,1,91310,1,12
19231J,2020-08-29,1,7,dark,2020-08-29T16:58:51.905997Z,2020-08-29T17:01:11.630004Z,139.724,All,R2-9,R2-7,Cage 2-5,1,1,288.591406663469,0,0,91807,0,12
19231J,2020-08-29,1,7,dark,2020-08-29T14:31:33.591999Z,2020-08-29T14:31:36.807997Z,3.216,All,R2-8,R2-4,Cage 2-4,1,1,242,0,1,91371,1,12
19231J,2020-08-29,1,7,dark,2020-08-29T14:02:59.857002Z,2020-08-29T14:03:02.773995Z,2.917,All,R2-9,R2-9,0,0,,0,0,0,91252,0,12
19231J,2020-08-29,1,7,dark,2020-08-29T16:27:19.926003Z,2020-08-29T16:27:20.598998Z,0.673,All,R2-2,R2-1,Tube 1:2,1,2,132,0,1,91711,1,12
19231J,2020-08-29,1,7,dark,2020-08-29T18:03:08.287002Z,2020-08-29T18:06:56.762997Z,228.476,All,R2-9,R2-9,0,0,,0,0,0,91960,0,12
19231J,2020-08-29,1,7,dark,2020-08-29T18:27:17.235997Z,2020-08-29T18:27:27.359Z,10.123,All,R1-5,R1-6,Tube 1:2,1,2,132,0,1,91994,1,12
19231J,2020-08-29,1,7,dark,2020-08-29T23:07:05.966003Z,2020-08-29T23:07:08.489998Z,2.524,All,R2-2,R2-4,Cage 2-2,1,1,177.597860347472,0,0,92359,0,12
19231J,2020-08-29,1,7,dark,2020-08-29T23:14:44.292999Z,2020-08-29T23:14:50.706003Z,6.413,All,R1-5,R1-7,Cage 1-3,1,1,177.597860347472,0,0,92387,0,12
19231J,2020-08-29,1,7,dark,2020-08-29T22:49:04.937998Z,2020-08-29T22:49:40.484003Z,35.546,All,R1-9,R1-7,Cage 1-5,1,1,288.591406663469,0,0,92303,0,12
19231J,2020-08-29,1,7,dark,2020-08-29T21:29:14.974002Z,2020-08-29T21:29:36.887997Z,21.914,All,R1-9,R1-9,0,0,,0,0,0,92155,0,12
19231J,2020-08-29,1,7,dark,2020-08-29T18:27:27.359Z,2020-08-29T19:03:31.498002Z,2164.139,All,R1-6,R1-8,Cage 1-4,1,1,177.597860347472,0,0,91995,0,12
19231J,2020-08-29,1,7,dark,2020-08-29T17:02:49.971002Z,2020-08-29T17:03:05.377004Z,15.406,All,R2-7,R2-9,Cage 2-5,1,1,288.591406663469,0,0,91820,0,12
