IdLabel,Date,Week,Day,Phase,DateTime_in,DateTime_out,Duration,Group,unitLabel_from,unitLabel_to,Cage,Segment_type,Cage_type,Distance,Height,Crossing_step,Crossing,Crossing_length,Age_in_months
19231J,2020-08-30,1,7,light,2020-08-30T09:17:01.943002Z,2020-08-30T09:17:04.315001Z,2.372,All,R1-5,R1-7,Cage 1-3,1,1,177.597860347472,0,0,92528,0,12
19231J,2020-08-30,1,7,light,2020-08-30T01:04:22.294998Z,2020-08-30T01:04:36.512999Z,14.218,All,R1-3,R1-5,Cage 1-3,1,1,177.597860347472,0,0,92447,0,12
19231J,2020-08-30,1,7,light,2020-08-30T09:31:56.121001Z,2020-08-30T09:32:03.998002Z,7.877,All,R2-2,R1-6,Tube 1:2,1,2,338.722600367912,-237,0,92560,0,12
19231J,2020-08-30,1,7,light,2020-08-30T00:22:52.921998Z,2020-08-30T01:03:59.628001Z,2466.706,All,R1-5,R1-3,Cage 1-3,1,1,177.597860347472,0,0,92443,0,12
19231J,2020-08-30,1,7,light,2020-08-30T03:41:45.956996Z,2020-08-30T06:13:10.553002Z,9084.596,All,R2-8,R2-6,Cage 2-4,1,1,177.597860347472,0,0,92490,0,12
19231J,2020-08-30,1,7,light,2020-08-30T09:32:12.584002Z,2020-08-30T09:32:13.792997Z,1.209,All,R1-2,R1-3,Cage 1-1,1,1,288.591406663469,0,0,92563,0,12
19231J,2020-08-30,1,7,light,2020-08-30T11:29:34.323004Z,2020-08-30T11:30:11.250Z,36.927,All,R1-7,R1-9,Cage 1-5,1,1,288.591406663469,0,0,92600,0,12
19231J,2020-08-30,1,7,light,2020-08-30T09:32:03.998002Z,2020-08-30T09:32:08.907001Z,4.909,All,R1-6,R1-4,Cage 1-4,1,1,177.597860347472,0,0,92561,0,12
19231J,2020-08-30,1,7,light,2020-08-30T03:27:09.285002Z,2020-08-30T03:27:12.434999Z,3.15,All,R2-4,R2-2,Cage 2-2,1,1,177.597860347472,0,0,92471,0,12
19231J,2020-08-30,1,7,light,2020-08-30T11:12:14.855999Z,2020-08-30T11:12:17.015999Z,2.16,All,R1-9,R1-7,Cage 1-5,1,1,288.591406663469,0,0,92576,0,12
19231J,2020-08-30,1,7,light,2020-08-30T09:17:10.789999Z,2020-08-30T09:25:43.738003Z,512.948,All,R1-4,R1-4,0,0,,0,0,0,92532,0,12
19231J,2020-08-30,1,7,light,2020-08-30T03:41:10.350001Z,2020-08-30T03:41:13.779001Z,3.429,All,R2-4,R2-8,Cage 2-4,1,1,242,0,1,92486,1,12
19231J,2020-08-30,1,7,light,2020-08-30T09:29:02.851003Z,2020-08-30T09:29:15.166001Z,12.315,All,R1-2,R1-2,0,0,,0,0,0,92550,0,12
