DateTime,Date,Phase,IdLabel,Group,unitLabel,eventDuration,senseRFIDrecords,MsgValue1,Day,DateTime_end,DoubleRead
2020-09-01T12:00:24.637003Z,2020-09-01,dark,10793A,All,R1-9,349,4,"0,117,115,117",10,2020-09-01T12:00:24.986003Z,0
2020-09-01T12:00:50.691Z,2020-09-01,dark,10793A,All,R1-7,1026,9,"0,216,116,116,116,115,116,115,116",10,2020-09-01T12:00:51.717Z,0
2020-09-01T12:01:09.897997Z,2020-09-01,dark,10793A,All,R1-9,927,9,"0,117,115,116,116,115,117,116,115",10,2020-09-01T12:01:10.824997Z,0
2020-09-01T12:01:11.841997Z,2020-09-01,dark,10793A,All,R1-8,1156,11,"0,116,114,116,117,115,116,115,117,115,115",10,2020-09-01T12:01:12.997997Z,0
2020-09-01T12:01:16.508997Z,2020-09-01,dark,10793A,All,R1-4,1041,10,"0,115,115,117,115,116,115,116,116,116",10,2020-09-01T12:01:17.549997Z,0
2020-09-01T12:01:24.832004Z,2020-09-01,dark,10793A,All,R1-2,693,7,"0,114,117,115,115,117,115",10,2020-09-01T12:01:25.525004Z,0
2020-09-01T12:02:15.280999Z,2020-09-01,dark,10793A,All,R1-2,1736,16,"0,116,116,115,116,115,116,116,116,116,116,116,116,115,115,116",10,2020-09-01T12:02:17.016999Z,0
2020-09-01T12:02:22.831996Z,2020-09-01,dark,10793A,All,R1-2,580,6,"0,117,115,117,114,117",10,2020-09-01T12:02:23.411996Z,0
2020-09-01T12:03:19.906997Z,2020-09-01,dark,10793A,All,R1-2,3301,20,"0,118,115,116,135,96,117,114,116,117,114,117,615,117,114,117,116,130,700,117",10,2020-09-01T12:03:23.207997Z,0
2020-09-01T12:03:25.976001Z,2020-09-01,dark,10793A,All,R1-3,1967,18,"0,116,114,117,122,109,116,117,114,116,117,114,117,116,116,115,115,116",10,2020-09-01T12:03:27.943001Z,0
2020-09-01T13:10:42.265998Z,2020-09-01,dark,10793A,All,R1-3,216,2,"0,216",10,2020-09-01T13:10:42.481998Z,0
2020-09-01T13:11:28.711Z,2020-09-01,dark,10793A,All,R1-3,1388,13,"0,114,117,116,116,117,114,116,116,116,114,116,116",10,2020-09-01T13:11:30.099Z,0
2020-09-01T13:11:35.871997Z,2020-09-01,dark,10793A,All,R1-2,1273,12,"0,116,115,117,115,116,116,115,116,116,117,114",10,2020-09-01T13:11:37.144997Z,0
2020-09-01T13:20:02.823997Z,2020-09-01,dark,10793A,All,R1-2,464,5,"0,117,116,116,115",10,2020-09-01T13:20:03.287997Z,0
2020-09-01T13:20:10.290995Z,2020-09-01,dark,10793A,All,R1-3,2200,20,"0,116,115,116,114,117,117,114,116,116,116,115,115,118,115,116,116,115,116,117",10,2020-09-01T13:20:12.490995Z,0
2020-09-01T13:33:08.348Z,2020-09-01,dark,10793A,All,R1-7,1274,12,"0,115,118,115,125,106,115,116,115,118,115,116",10,2020-09-01T13:33:09.622Z,0
2020-09-01T13:33:43.226003Z,2020-09-01,dark,10793A,All,R1-9,579,6,"0,115,118,115,116,115",10,2020-09-01T13:33:43.805003Z,0
2020-09-01T13:33:49.068Z,2020-09-01,dark,10793A,All,R1-8,463,5,"0,117,115,116,115",10,2020-09-01T13:33:49.531Z,0
2020-09-01T13:33:51.755999Z,2020-09-01,dark,10793A,All,R1-4,1501,13,"0,217,115,116,115,116,115,116,115,117,116,116,127",10,2020-09-01T13:33:53.256999Z,0
2020-09-01T13:34:05.376Z,2020-09-01,dark,10793A,All,R1-2,336,4,"0,106,115,115",10,2020-09-01T13:34:05.712Z,0
2020-09-01T13:34:20.728002Z,2020-09-01,dark,10793A,All,R1-2,1389,13,"0,116,116,115,116,115,116,115,116,118,115,116,115",10,2020-09-01T13:34:22.117002Z,0
2020-09-01T13:34:32.959002Z,2020-09-01,dark,10793A,All,R1-4,233,3,"0,117,116",10,2020-09-01T13:34:33.192002Z,0
2020-09-01T13:34:39.706003Z,2020-09-01,dark,10793A,All,R1-4,348,4,"0,117,116,115",10,2020-09-01T13:34:40.054003Z,0
2020-09-01T13:35:19.299002Z,2020-09-01,dark,10793A,All,R1-4,463,5,"0,117,116,114,116",10,2020-09-01T13:35:19.762002Z,0
2020-09-01T13:35:27.076997Z,2020-09-01,dark,10793A,All,R1-4,580,6,"0,116,115,118,115,116",10,2020-09-01T13:35:27.656997Z,0
2020-09-01T13:55:58.716999Z,2020-09-01,dark,10793A,All,R1-2,579,6,"0,117,114,116,117,115",10,2020-09-01T13:55:59.295999Z,0
2020-09-01T13:56:01.638001Z,2020-09-01,dark,10793A,All,R1-3,1736,16,"0,115,116,115,117,116,115,117,121,110,114,117,116,116,116,115",10,2020-09-01T13:56:03.374002Z,0
2020-09-01T13:56:05.430001Z,2020-09-01,dark,10793A,All,R1-7,1620,15,"0,143,88,115,117,115,116,115,117,114,118,115,116,115,116",10,2020-09-01T13:56:07.050001Z,0
2020-09-01T13:56:52.657995Z,2020-09-01,dark,10793A,All,R1-9,811,8,"0,115,115,116,116,117,116,116",10,2020-09-01T13:56:53.468995Z,0
2020-09-01T13:56:54.639001Z,2020-09-01,dark,10793A,All,R1-8,463,5,"0,114,116,116,117",10,2020-09-01T13:56:55.102001Z,0
2020-09-01T13:56:56.916997Z,2020-09-01,dark,10793A,All,R1-4,928,9,"0,116,117,115,115,116,117,115,117",10,2020-09-01T13:56:57.844997Z,0
2020-09-01T13:59:13.551997Z,2020-09-01,dark,10793A,All,R1-4,463,5,"0,115,118,115,115",10,2020-09-01T13:59:14.014997Z,0
2020-09-01T13:59:15.630003Z,2020-09-01,dark,10793A,All,R1-4,464,5,"0,117,116,116,115",10,2020-09-01T13:59:16.094003Z,0
2020-09-01T14:18:21.734004Z,2020-09-01,dark,10793A,All,R1-2,214,2,"0,214",10,2020-09-01T14:18:21.948004Z,0
2020-09-01T14:25:44.919002Z,2020-09-01,dark,10793A,All,R1-2,694,7,"0,116,115,115,116,117,115",10,2020-09-01T14:25:45.613002Z,0
2020-09-01T14:26:05.597001Z,2020-09-01,dark,10793A,All,R1-3,925,9,"0,115,115,116,117,116,115,116,115",10,2020-09-01T14:26:06.522001Z,0
2020-09-01T14:26:19.148004Z,2020-09-01,dark,10793A,All,R1-5,579,6,"0,114,116,116,116,117",10,2020-09-01T14:26:19.727004Z,0
2020-09-01T14:26:21.535996Z,2020-09-01,dark,10793A,All,R1-6,927,9,"0,116,117,117,115,114,117,117,114",10,2020-09-01T14:26:22.462996Z,0
2020-09-01T14:26:29.173003Z,2020-09-01,dark,10793A,All,R1-4,75,1,0,10,2020-09-01T14:26:29.248003Z,0
2020-09-01T14:26:30.326004Z,2020-09-01,dark,10793A,All,R1-6,347,4,"0,116,115,116",10,2020-09-01T14:26:30.673003Z,0
2020-09-01T14:26:37.550003Z,2020-09-01,dark,10793A,All,R2-1,348,4,"0,116,119,113",10,2020-09-01T14:26:37.898003Z,0
2020-09-01T14:26:46.656001Z,2020-09-01,dark,10793A,All,R2-3,1738,16,"0,117,116,115,115,118,114,116,115,118,115,116,116,116,115,116",10,2020-09-01T14:26:48.394001Z,0
2020-09-01T14:26:49.985002Z,2020-09-01,dark,10793A,All,R2-7,577,6,"0,114,117,115,116,115",10,2020-09-01T14:26:50.562002Z,0
2020-09-01T14:28:01.925996Z,2020-09-01,dark,10793A,All,R2-9,1389,13,"0,117,115,116,116,115,115,117,116,117,114,115,116",10,2020-09-01T14:28:03.314996Z,0
2020-09-01T14:29:32.225997Z,2020-09-01,dark,10793A,All,R2-9,347,4,"0,115,115,117",10,2020-09-01T14:29:32.572997Z,0
2020-09-01T14:29:43.187997Z,2020-09-01,dark,10793A,All,R2-9,347,4,"0,117,116,114",10,2020-09-01T14:29:43.534997Z,0
2020-09-01T14:29:53.849999Z,2020-09-01,dark,10793A,All,R2-9,1044,10,"0,118,114,117,115,117,115,116,115,117",10,2020-09-01T14:29:54.893999Z,0
2020-09-01T14:29:57.208004Z,2020-09-01,dark,10793A,All,R2-9,464,5,"0,116,117,116,115",10,2020-09-01T14:29:57.672004Z,0
2020-09-01T14:29:58.888Z,2020-09-01,dark,10793A,All,R2-8,694,7,"0,115,116,116,115,117,115",10,2020-09-01T14:29:59.582Z,0
2020-09-01T14:30:02.896001Z,2020-09-01,dark,10793A,All,R2-4,1158,11,"0,116,115,118,115,114,117,116,115,116,116",10,2020-09-01T14:30:04.054001Z,0
2020-09-01T14:30:08.416996Z,2020-09-01,dark,10793A,All,R2-4,75,1,0,10,2020-09-01T14:30:08.491996Z,0
2020-09-01T14:33:18.959002Z,2020-09-01,dark,10793A,All,R2-2,232,3,"0,115,117",10,2020-09-01T14:33:19.191003Z,0
2020-09-01T14:33:25.111002Z,2020-09-01,dark,10793A,All,R2-1,348,4,"0,115,116,117",10,2020-09-01T14:33:25.459002Z,0
2020-09-01T14:33:49.219004Z,2020-09-01,dark,10793A,All,R2-1,116,2,"0,116",10,2020-09-01T14:33:49.335004Z,0
2020-09-01T14:33:55.406005Z,2020-09-01,dark,10793A,All,R1-6,1621,15,"0,116,116,114,117,115,116,115,116,116,117,115,115,118,115",10,2020-09-01T14:33:57.027005Z,0
2020-09-01T14:34:02.996996Z,2020-09-01,dark,10793A,All,R1-8,1042,10,"0,116,131,100,116,114,117,116,116,116",10,2020-09-01T14:34:04.038996Z,0
2020-09-01T14:34:25.012002Z,2020-09-01,dark,10793A,All,R1-9,463,5,"0,116,116,116,115",10,2020-09-01T14:34:25.475002Z,0
2020-09-01T14:34:38.354002Z,2020-09-01,dark,10793A,All,R1-9,695,7,"0,116,116,116,116,114,117",10,2020-09-01T14:34:39.049002Z,0
2020-09-01T14:34:43.214002Z,2020-09-01,dark,10793A,All,R1-8,811,8,"0,117,115,116,114,116,116,117",10,2020-09-01T14:34:44.025002Z,0
2020-09-01T14:34:45.952001Z,2020-09-01,dark,10793A,All,R1-4,463,5,"0,115,116,115,117",10,2020-09-01T14:34:46.415001Z,0
2020-09-01T14:34:55.834001Z,2020-09-01,dark,10793A,All,R1-4,233,3,"0,118,115",10,2020-09-01T14:34:56.067001Z,0
2020-09-01T14:35:05.486997Z,2020-09-01,dark,10793A,All,R1-6,463,5,"0,115,116,115,117",10,2020-09-01T14:35:05.949997Z,0
2020-09-01T14:35:06.708002Z,2020-09-01,dark,10793A,All,R1-5,695,7,"0,115,115,118,115,115,117",10,2020-09-01T14:35:07.403002Z,0
2020-09-01T14:35:15.942002Z,2020-09-01,dark,10793A,All,R1-3,811,8,"0,116,116,116,115,115,116,117",10,2020-09-01T14:35:16.753002Z,0
2020-09-01T14:35:29.893002Z,2020-09-01,dark,10793A,All,R1-2,1272,12,"0,115,114,118,114,117,115,116,117,115,116,115",10,2020-09-01T14:35:31.165002Z,0
2020-09-01T14:35:41.076003Z,2020-09-01,dark,10793A,All,R1-2,346,4,"0,114,118,114",10,2020-09-01T14:35:41.422003Z,0
2020-09-01T14:35:45.677002Z,2020-09-01,dark,10793A,All,R1-3,925,9,"0,115,114,118,114,117,115,115,117",10,2020-09-01T14:35:46.602002Z,0
2020-09-01T14:35:55.652997Z,2020-09-01,dark,10793A,All,R1-7,1389,13,"0,115,115,118,116,115,114,117,116,115,116,117,115",10,2020-09-01T14:35:57.041997Z,0
2020-09-01T14:36:02.742999Z,2020-09-01,dark,10793A,All,R1-9,1389,13,"0,115,117,116,114,117,132,100,116,116,116,113,117",10,2020-09-01T14:36:04.131999Z,0
2020-09-01T14:36:11.004998Z,2020-09-01,dark,10793A,All,R1-9,346,4,"0,115,116,115",10,2020-09-01T14:36:11.350998Z,0
2020-09-01T14:36:15.889001Z,2020-09-01,dark,10793A,All,R1-9,463,5,"0,115,117,114,117",10,2020-09-01T14:36:16.352001Z,0
2020-09-01T14:36:28.516999Z,2020-09-01,dark,10793A,All,R1-8,578,6,"0,115,117,114,118,114",10,2020-09-01T14:36:29.094999Z,0
2020-09-01T14:36:45.178998Z,2020-09-01,dark,10793A,All,R1-4,463,5,"0,116,118,114,115",10,2020-09-01T14:36:45.641998Z,0
2020-09-01T14:37:02.190Z,2020-09-01,dark,10793A,All,R1-4,794,7,"0,216,116,115,115,117,115",10,2020-09-01T14:37:02.984Z,0
2020-09-01T14:37:05.199001Z,2020-09-01,dark,10793A,All,R1-4,75,1,0,10,2020-09-01T14:37:05.274001Z,0
2020-09-01T14:37:57.371002Z,2020-09-01,dark,10793A,All,R1-4,1157,11,"0,115,115,118,114,116,117,115,117,114,116",10,2020-09-01T14:37:58.528002Z,0
2020-09-01T14:38:00.252001Z,2020-09-01,dark,10793A,All,R1-6,232,3,"0,116,116",10,2020-09-01T14:38:00.484001Z,0
2020-09-01T14:38:02.242001Z,2020-09-01,dark,10793A,All,R1-6,463,5,"0,115,115,118,115",10,2020-09-01T14:38:02.705001Z,0
2020-09-01T14:38:08.492003Z,2020-09-01,dark,10793A,All,R2-2,2199,20,"0,115,116,116,116,115,118,114,116,117,114,117,114,118,115,116,115,117,114,116",10,2020-09-01T14:38:10.691003Z,0
2020-09-01T14:58:57.752999Z,2020-09-01,dark,10793A,All,R2-4,926,9,"0,115,116,116,115,116,115,117,116",10,2020-09-01T14:58:58.678999Z,0
2020-09-01T15:01:11.783997Z,2020-09-01,dark,10793A,All,R2-6,1505,14,"0,115,116,115,117,116,115,117,115,116,114,117,116,116",10,2020-09-01T15:01:13.288997Z,0
2020-09-01T15:01:17.981003Z,2020-09-01,dark,10793A,All,R2-5,2517,21,"0,216,116,248,83,116,115,118,114,117,115,115,117,115,117,114,117,115,115,116,118",10,2020-09-01T15:01:20.498003Z,0
2020-09-01T15:01:26.753998Z,2020-09-01,dark,10793A,All,R2-7,927,9,"0,117,114,116,117,116,115,141,91",10,2020-09-01T15:01:27.680998Z,0
2020-09-01T15:01:30.890Z,2020-09-01,dark,10793A,All,R2-9,926,9,"0,116,116,115,117,114,116,117,115",10,2020-09-01T15:01:31.816Z,0
2020-09-01T15:01:34.274004Z,2020-09-01,dark,10793A,All,R2-8,348,4,"0,116,116,116",10,2020-09-01T15:01:34.622004Z,0
2020-09-01T15:01:36.557996Z,2020-09-01,dark,10793A,All,R2-4,2314,21,"0,136,94,116,116,117,115,116,115,115,116,117,116,116,115,116,115,116,116,116,115",10,2020-09-01T15:01:38.871996Z,0
2020-09-01T15:01:42.828001Z,2020-09-01,dark,10793A,All,R2-6,579,6,"0,117,115,117,115,115",10,2020-09-01T15:01:43.407001Z,0
2020-09-01T15:01:46.389003Z,2020-09-01,dark,10793A,All,R2-5,2199,20,"0,115,117,116,116,116,115,115,117,116,115,116,115,117,115,116,116,116,115,115",10,2020-09-01T15:01:48.588003Z,0
2020-09-01T15:01:51.306001Z,2020-09-01,dark,10793A,All,R2-7,1272,12,"0,114,116,116,116,116,114,117,116,115,116,116",10,2020-09-01T15:01:52.578001Z,0
2020-09-01T15:03:20.506Z,2020-09-01,dark,10793A,All,R2-9,464,5,"0,116,116,116,116",10,2020-09-01T15:03:20.970Z,0
2020-09-01T15:03:33.973998Z,2020-09-01,dark,10793A,All,R2-9,1262,5,"0,215,517,215,315",10,2020-09-01T15:03:35.235998Z,0
2020-09-01T15:03:45.477Z,2020-09-01,dark,10793A,All,R2-8,693,7,"0,115,115,117,115,116,115",10,2020-09-01T15:03:46.170Z,0
2020-09-01T15:03:53.550Z,2020-09-01,dark,10793A,All,R2-4,693,7,"0,114,117,115,116,117,114",10,2020-09-01T15:03:54.243Z,0
2020-09-01T15:04:17.612996Z,2020-09-01,dark,10793A,All,R2-2,75,1,0,10,2020-09-01T15:04:17.687996Z,0
2020-09-01T15:04:18.276998Z,2020-09-01,dark,10793A,All,R2-1,116,2,"0,116",10,2020-09-01T15:04:18.392998Z,0
2020-09-01T15:04:39.713002Z,2020-09-01,dark,10793A,All,R2-1,346,4,"0,115,117,114",10,2020-09-01T15:04:40.059002Z,0
2020-09-01T15:04:40.957999Z,2020-09-01,dark,10793A,All,R2-2,1158,11,"0,118,114,117,114,116,116,117,114,117,115",10,2020-09-01T15:04:42.115999Z,0
2020-09-01T15:14:23.002996Z,2020-09-01,dark,10793A,All,R2-4,75,1,0,10,2020-09-01T15:14:23.077996Z,0
