DateTime,Date,Phase,IdLabel,Group,unitLabel,eventDuration,senseRFIDrecords,MsgValue1,Day,DateTime_end,DoubleRead
2020-09-01T12:59:03.563004Z,2020-09-01,dark,14825B,All,R2-5,812,8,"0,117,115,117,114,117,115,117",10,2020-09-01T12:59:04.375005Z,0
2020-09-01T12:59:04.927002Z,2020-09-01,dark,14825B,All,R2-6,346,4,"0,115,117,114",10,2020-09-01T12:59:05.273002Z,0
2020-09-01T12:59:16.288999Z,2020-09-01,dark,14825B,All,R2-6,366,4,"0,115,117,134",10,2020-09-01T12:59:16.654999Z,0
2020-09-01T12:59:17.487998Z,2020-09-01,dark,14825B,All,R2-5,234,3,"0,118,116",10,2020-09-01T12:59:17.721998Z,0
2020-09-01T14:14:50.041Z,2020-09-01,dark,14825B,All,R2-7,1605,14,"0,216,114,118,115,116,114,116,117,115,116,116,115,117",10,2020-09-01T14:14:51.646Z,0
2020-09-01T14:14:57.479997Z,2020-09-01,dark,14825B,All,R2-9,1257,11,"0,216,114,116,117,115,117,115,115,117,115",10,2020-09-01T14:14:58.736997Z,0
2020-09-01T14:15:01.929001Z,2020-09-01,dark,14825B,All,R2-8,696,7,"0,116,117,116,114,116,117",10,2020-09-01T14:15:02.625001Z,0
2020-09-01T14:15:09.940001Z,2020-09-01,dark,14825B,All,R2-8,694,7,"0,116,115,116,116,115,116",10,2020-09-01T14:15:10.634001Z,0
2020-09-01T14:16:21.055002Z,2020-09-01,dark,14825B,All,R2-9,1967,18,"0,115,116,116,116,115,116,116,116,116,115,116,116,116,114,118,115,115",10,2020-09-01T14:16:23.022002Z,0
2020-09-01T14:16:25.951999Z,2020-09-01,dark,14825B,All,R2-7,1043,10,"0,116,115,117,116,116,115,116,114,118",10,2020-09-01T14:16:26.994999Z,0
2020-09-01T14:16:34.201998Z,2020-09-01,dark,14825B,All,R2-5,230,3,"0,115,115",10,2020-09-01T14:16:34.431998Z,0
2020-09-01T14:16:35.315002Z,2020-09-01,dark,14825B,All,R2-6,231,3,"0,116,115",10,2020-09-01T14:16:35.546002Z,0
2020-09-01T14:16:37.005004Z,2020-09-01,dark,14825B,All,R2-4,5903,52,"0,117,114,116,116,115,116,117,116,116,115,115,116,115,117,115,116,116,117,114,116,116,116,116,115,115,116,116,116,117,115,115,117,114,117,116,115,116,116,116,115,115,118,116,116,115,115,116,116,115,115,116",10,2020-09-01T14:16:42.908004Z,0
2020-09-01T14:19:45.389999Z,2020-09-01,dark,14825B,All,R2-4,346,4,"0,115,116,115",10,2020-09-01T14:19:45.735999Z,0
2020-09-01T14:19:50.852001Z,2020-09-01,dark,14825B,All,R2-4,1041,10,"0,115,115,118,115,116,115,116,115,116",10,2020-09-01T14:19:51.893001Z,0
2020-09-01T14:20:11.300997Z,2020-09-01,dark,14825B,All,R2-4,449,4,"0,216,116,117",10,2020-09-01T14:20:11.749997Z,0
2020-09-01T14:20:13.896004Z,2020-09-01,dark,14825B,All,R2-6,3061,24,"0,115,515,116,116,116,116,116,115,116,116,115,117,115,115,116,117,115,117,114,116,116,116,115",10,2020-09-01T14:20:16.957004Z,0
2020-09-01T14:20:23.851004Z,2020-09-01,dark,14825B,All,R3-2,579,6,"0,117,113,118,115,116",10,2020-09-01T14:20:24.430004Z,0
2020-09-01T14:21:36.346004Z,2020-09-01,dark,14825B,All,R3-2,233,3,"0,116,117",10,2020-09-01T14:21:36.579004Z,0
2020-09-01T14:21:37.063003Z,2020-09-01,dark,14825B,All,R3-1,331,3,"0,216,115",10,2020-09-01T14:21:37.394003Z,0
