DateTime,Date,Phase,IdLabel,Group,unitLabel,eventDuration,senseRFIDrecords,MsgValue1,Day,DateTime_end,DoubleRead
2020-08-25T00:02:25.848998Z,2020-08-25,light,16505C,All,R1-6,75,1,0,2,2020-08-25T00:02:25.923998Z,0
2020-08-25T00:02:26.818Z,2020-08-25,light,16505C,All,R1-5,75,1,0,2,2020-08-25T00:02:26.893Z,0
2020-08-25T00:02:28.006Z,2020-08-25,light,16505C,All,R1-7,446,4,"0,115,117,214",2,2020-08-25T00:02:28.452Z,0
2020-08-25T00:02:30.873002Z,2020-08-25,light,16505C,All,R1-9,331,3,"0,137,194",2,2020-08-25T00:02:31.204002Z,0
2020-08-25T00:02:32.756003Z,2020-08-25,light,16505C,All,R1-8,347,4,"0,116,115,116",2,2020-08-25T00:02:33.103003Z,0
2020-08-25T00:03:25.848001Z,2020-08-25,light,16505C,All,R1-8,810,8,"0,115,116,115,117,115,117,115",2,2020-08-25T00:03:26.658Z,0
2020-08-25T00:03:30.521998Z,2020-08-25,light,16505C,All,R1-9,1257,11,"0,115,215,117,116,116,116,115,115,117,115",2,2020-08-25T00:03:31.778998Z,0
2020-08-25T00:03:56.316001Z,2020-08-25,light,16505C,All,R1-7,632,3,"0,516,116",2,2020-08-25T00:03:56.948001Z,0
2020-08-25T00:03:58.864999Z,2020-08-25,light,16505C,All,R1-5,75,1,0,2,2020-08-25T00:03:58.939999Z,0
2020-08-25T00:04:02.951002Z,2020-08-25,light,16505C,All,R2-2,695,7,"0,116,116,115,117,114,117",2,2020-08-25T00:04:03.646002Z,0
2020-08-25T00:04:14.160003Z,2020-08-25,light,16505C,All,R2-2,75,1,0,2,2020-08-25T00:04:14.235003Z,0
2020-08-25T00:04:16.814004Z,2020-08-25,light,16505C,All,R2-1,1274,12,"0,116,117,114,116,116,116,115,116,117,115,116",2,2020-08-25T00:04:18.088004Z,0
2020-08-25T00:08:05.709998Z,2020-08-25,light,16505C,All,R2-3,1025,9,"0,215,115,116,115,116,117,116,115",2,2020-08-25T00:08:06.734998Z,0
2020-08-25T00:08:08.816Z,2020-08-25,light,16505C,All,R2-7,463,5,"0,115,126,106,116",2,2020-08-25T00:08:09.279001Z,0
2020-08-25T00:08:33.583001Z,2020-08-25,light,16505C,All,R2-7,463,5,"0,115,117,116,115",2,2020-08-25T00:08:34.046001Z,0
2020-08-25T00:08:35.551003Z,2020-08-25,light,16505C,All,R2-5,116,2,"0,116",2,2020-08-25T00:08:35.667003Z,0
2020-08-25T00:08:37.116001Z,2020-08-25,light,16505C,All,R2-6,464,5,"0,116,116,117,115",2,2020-08-25T00:08:37.580001Z,0
2020-08-25T00:08:41.784003Z,2020-08-25,light,16505C,All,R2-8,693,7,"0,116,114,115,116,116,116",2,2020-08-25T00:08:42.477003Z,0
2020-08-25T00:09:02.319001Z,2020-08-25,light,16505C,All,R2-9,1374,12,"0,216,115,116,115,117,115,117,116,116,114,117",2,2020-08-25T00:09:03.693001Z,0
2020-08-25T00:09:11.985002Z,2020-08-25,light,16505C,All,R2-7,1021,9,"0,210,115,117,115,115,116,117,116",2,2020-08-25T00:09:13.006001Z,0
2020-08-25T00:09:15.434997Z,2020-08-25,light,16505C,All,R2-5,114,2,"0,114",2,2020-08-25T00:09:15.548997Z,0
