DateTime,Date,Phase,IdLabel,Group,unitLabel,eventDuration,senseRFIDrecords,MsgValue1,Day,DateTime_end,DoubleRead
2020-08-26T12:00:17.369001Z,2020-08-26,dark,16511C,All,R3-1,231,3,"0,117,114",4,2020-08-26T12:00:17.600001Z,0
2020-08-26T12:00:18.547004Z,2020-08-26,dark,16511C,All,R3-2,231,3,"0,115,116",4,2020-08-26T12:00:18.778004Z,0
2020-08-26T12:00:47.839999Z,2020-08-26,dark,16511C,All,R3-4,465,5,"0,117,116,115,117",4,2020-08-26T12:00:48.304999Z,0
2020-08-26T12:01:37.518998Z,2020-08-26,dark,16511C,All,R3-8,695,7,"0,117,114,117,115,117,115",4,2020-08-26T12:01:38.213998Z,0
2020-08-26T12:01:41.252998Z,2020-08-26,dark,16511C,All,R3-9,794,7,"0,215,117,115,117,114,116",4,2020-08-26T12:01:42.046998Z,0
2020-08-26T12:02:22.863998Z,2020-08-26,dark,16511C,All,R3-7,809,8,"0,115,117,115,117,116,113,116",4,2020-08-26T12:02:23.672998Z,0
2020-08-26T12:02:45.217Z,2020-08-26,dark,16511C,All,R3-3,692,7,"0,113,116,117,114,117,115",4,2020-08-26T12:02:45.909Z,0
2020-08-26T12:02:49.826Z,2020-08-26,dark,16511C,All,R3-3,347,4,"0,115,116,116",4,2020-08-26T12:02:50.173Z,0
2020-08-26T12:02:51.358001Z,2020-08-26,dark,16511C,All,R3-6,232,3,"0,117,115",4,2020-08-26T12:02:51.590001Z,0
2020-08-26T12:02:54.572996Z,2020-08-26,dark,16511C,All,R3-8,810,8,"0,115,116,116,117,114,117,115",4,2020-08-26T12:02:55.382996Z,0
2020-08-26T12:02:59.393003Z,2020-08-26,dark,16511C,All,R3-8,464,5,"0,117,116,114,117",4,2020-08-26T12:02:59.857002Z,0
2020-08-26T12:03:05.333996Z,2020-08-26,dark,16511C,All,R3-4,1852,17,"0,115,115,116,116,116,116,117,114,118,114,115,117,115,117,116,115",4,2020-08-26T12:03:07.185996Z,0
2020-08-26T12:06:12.644997Z,2020-08-26,dark,16511C,All,R3-2,116,2,"0,116",4,2020-08-26T12:06:12.760997Z,0
2020-08-26T12:06:13.246004Z,2020-08-26,dark,16511C,All,R3-1,75,1,0,4,2020-08-26T12:06:13.321004Z,0
2020-08-26T12:06:20.042004Z,2020-08-26,dark,16511C,All,R3-3,812,8,"0,117,115,116,117,114,125,108",4,2020-08-26T12:06:20.854004Z,0
2020-08-26T12:06:22.399998Z,2020-08-26,dark,16511C,All,R3-6,118,2,"0,118",4,2020-08-26T12:06:22.517998Z,0
2020-08-26T12:06:22.827997Z,2020-08-26,dark,16511C,All,R3-4,578,6,"0,117,114,117,116,114",4,2020-08-26T12:06:23.405997Z,0
2020-08-26T12:06:24.076002Z,2020-08-26,dark,16511C,All,R3-2,75,1,0,4,2020-08-26T12:06:24.151002Z,0
2020-08-26T12:06:26.102004Z,2020-08-26,dark,16511C,All,R2-6,75,1,0,4,2020-08-26T12:06:26.177004Z,0
2020-08-26T12:06:26.712999Z,2020-08-26,dark,16511C,All,R2-4,347,4,"0,116,117,114",4,2020-08-26T12:06:27.059999Z,0
2020-08-26T12:06:28.079Z,2020-08-26,dark,16511C,All,R2-2,75,1,0,4,2020-08-26T12:06:28.154001Z,0
2020-08-26T12:06:31.959Z,2020-08-26,dark,16511C,All,R1-6,578,6,"0,117,114,116,117,114",4,2020-08-26T12:06:32.537Z,0
2020-08-26T12:06:36.118997Z,2020-08-26,dark,16511C,All,R1-4,345,4,"0,114,117,114",4,2020-08-26T12:06:36.463997Z,0
2020-08-26T12:06:37.141005Z,2020-08-26,dark,16511C,All,R1-2,231,3,"0,116,115",4,2020-08-26T12:06:37.372005Z,0
2020-08-26T12:06:38.078003Z,2020-08-26,dark,16511C,All,R1-3,347,4,"0,114,117,116",4,2020-08-26T12:06:38.425003Z,0
2020-08-26T12:06:39.104998Z,2020-08-26,dark,16511C,All,R1-7,231,3,"0,116,115",4,2020-08-26T12:06:39.335998Z,0
2020-08-26T12:06:40.168996Z,2020-08-26,dark,16511C,All,R1-9,115,2,"0,115",4,2020-08-26T12:06:40.283996Z,0
2020-08-26T12:06:40.762002Z,2020-08-26,dark,16511C,All,R1-8,348,4,"0,116,115,117",4,2020-08-26T12:06:41.110003Z,0
2020-08-26T12:06:49.657003Z,2020-08-26,dark,16511C,All,R1-8,116,2,"0,116",4,2020-08-26T12:06:49.773003Z,0
2020-08-26T12:06:51.787999Z,2020-08-26,dark,16511C,All,R1-8,75,1,0,4,2020-08-26T12:06:51.862999Z,0
2020-08-26T12:06:52.338997Z,2020-08-26,dark,16511C,All,R1-4,662,5,"0,114,117,314,117",4,2020-08-26T12:06:53.000997Z,0
2020-08-26T12:06:54.281001Z,2020-08-26,dark,16511C,All,R1-2,75,1,0,4,2020-08-26T12:06:54.356001Z,0
2020-08-26T12:06:56.496997Z,2020-08-26,dark,16511C,All,R1-2,811,8,"0,115,118,115,115,149,82,117",4,2020-08-26T12:06:57.307997Z,0
2020-08-26T12:07:00.585999Z,2020-08-26,dark,16511C,All,R1-2,116,2,"0,116",4,2020-08-26T12:07:00.701998Z,0
2020-08-26T12:07:31.259001Z,2020-08-26,dark,16511C,All,R1-3,347,4,"0,115,116,116",4,2020-08-26T12:07:31.606001Z,0
2020-08-26T12:07:35.571Z,2020-08-26,dark,16511C,All,R1-5,75,1,0,4,2020-08-26T12:07:35.646Z,0
2020-08-26T12:07:37.972998Z,2020-08-26,dark,16511C,All,R2-1,348,4,"0,116,116,116",4,2020-08-26T12:07:38.320998Z,0
2020-08-26T12:07:39.163996Z,2020-08-26,dark,16511C,All,R2-3,810,8,"0,115,117,126,105,116,116,115",4,2020-08-26T12:07:39.973996Z,0
2020-08-26T12:07:41.060Z,2020-08-26,dark,16511C,All,R2-5,75,1,0,4,2020-08-26T12:07:41.135Z,0
2020-08-26T12:07:42.009001Z,2020-08-26,dark,16511C,All,R2-6,116,2,"0,116",4,2020-08-26T12:07:42.125001Z,0
2020-08-26T12:07:44.888998Z,2020-08-26,dark,16511C,All,R2-4,462,5,"0,116,115,115,116",4,2020-08-26T12:07:45.350998Z,0
2020-08-26T12:07:48.354001Z,2020-08-26,dark,16511C,All,R2-2,75,1,0,4,2020-08-26T12:07:48.429001Z,0
2020-08-26T12:07:50.082002Z,2020-08-26,dark,16511C,All,R1-6,115,2,"0,115",4,2020-08-26T12:07:50.197002Z,0
2020-08-26T12:07:54.614Z,2020-08-26,dark,16511C,All,R1-6,75,1,0,4,2020-08-26T12:07:54.689Z,0
2020-08-26T12:07:54.885003Z,2020-08-26,dark,16511C,All,R1-5,75,1,0,4,2020-08-26T12:07:54.960003Z,0
2020-08-26T12:07:55.259996Z,2020-08-26,dark,16511C,All,R1-7,230,3,"0,115,115",4,2020-08-26T12:07:55.489996Z,0
2020-08-26T12:07:58.715997Z,2020-08-26,dark,16511C,All,R1-7,207,2,"0,207",4,2020-08-26T12:07:58.922997Z,0
2020-08-26T12:08:00.235996Z,2020-08-26,dark,16511C,All,R1-7,118,2,"0,118",4,2020-08-26T12:08:00.353996Z,0
2020-08-26T12:08:02.372004Z,2020-08-26,dark,16511C,All,R1-9,75,1,0,4,2020-08-26T12:08:02.447004Z,0
2020-08-26T12:08:02.884001Z,2020-08-26,dark,16511C,All,R1-8,232,3,"0,116,116",4,2020-08-26T12:08:03.116001Z,0
2020-08-26T12:08:03.579997Z,2020-08-26,dark,16511C,All,R1-4,348,4,"0,117,114,117",4,2020-08-26T12:08:03.927997Z,0
