DateTime,Date,Phase,IdLabel,Group,unitLabel,eventDuration,senseRFIDrecords,MsgValue1,Day,DateTime_end,DoubleRead
2020-08-26T12:03:14.663001Z,2020-08-26,dark,16514D,All,R1-2,810,8,"0,115,115,117,116,115,117,115",4,2020-08-26T12:03:15.473001Z,0
2020-08-26T12:03:22.870Z,2020-08-26,dark,16514D,All,R1-3,1159,11,"0,117,115,116,115,117,114,117,115,116,117",4,2020-08-26T12:03:24.029Z,0
2020-08-26T12:03:29.646999Z,2020-08-26,dark,16514D,All,R1-7,1041,10,"0,115,115,115,117,116,115,116,116,116",4,2020-08-26T12:03:30.687999Z,0
2020-08-26T12:03:46.150997Z,2020-08-26,dark,16514D,All,R1-9,1158,11,"0,117,114,118,114,116,116,116,121,111,115",4,2020-08-26T12:03:47.308997Z,0
2020-08-26T12:04:53.413Z,2020-08-26,dark,16514D,All,R1-8,811,8,"0,117,116,116,116,115,116,115",4,2020-08-26T12:04:54.224Z,0
2020-08-26T12:04:58.518999Z,2020-08-26,dark,16514D,All,R1-4,926,9,"0,115,115,116,116,116,115,116,117",4,2020-08-26T12:04:59.444999Z,0
2020-08-26T12:05:00.982997Z,2020-08-26,dark,16514D,All,R1-2,693,7,"0,116,115,116,116,115,115",4,2020-08-26T12:05:01.675997Z,0
2020-08-26T12:05:04.986003Z,2020-08-26,dark,16514D,All,R1-3,579,6,"0,117,116,116,115,115",4,2020-08-26T12:05:05.565003Z,0
2020-08-26T12:05:32.317997Z,2020-08-26,dark,16514D,All,R1-5,230,3,"0,116,114",4,2020-08-26T12:05:32.547997Z,0
2020-08-26T12:05:33.493001Z,2020-08-26,dark,16514D,All,R1-6,810,8,"0,116,115,115,116,116,116,116",4,2020-08-26T12:05:34.303001Z,0
2020-08-26T12:05:40.618997Z,2020-08-26,dark,16514D,All,R1-6,2469,18,"0,116,116,114,116,116,116,117,115,116,115,117,115,116,116,122,110,616",4,2020-08-26T12:05:43.087997Z,0
2020-08-26T12:05:43.965001Z,2020-08-26,dark,16514D,All,R1-5,230,3,"0,115,115",4,2020-08-26T12:05:44.195001Z,0
2020-08-26T12:05:59.070003Z,2020-08-26,dark,16514D,All,R1-7,578,6,"0,116,115,116,116,115",4,2020-08-26T12:05:59.648003Z,0
2020-08-26T12:06:16.659003Z,2020-08-26,dark,16514D,All,R1-9,695,7,"0,116,115,116,117,114,117",4,2020-08-26T12:06:17.354003Z,0
2020-08-26T12:06:53.603003Z,2020-08-26,dark,16514D,All,R1-8,462,5,"0,116,116,116,114",4,2020-08-26T12:06:54.065003Z,0
2020-08-26T12:06:54.880998Z,2020-08-26,dark,16514D,All,R1-4,577,6,"0,114,116,115,118,114",4,2020-08-26T12:06:55.457998Z,0
2020-08-26T12:06:57.923997Z,2020-08-26,dark,16514D,All,R1-2,348,4,"0,116,114,118",4,2020-08-26T12:06:58.271997Z,0
2020-08-26T12:07:09.005998Z,2020-08-26,dark,16514D,All,R1-2,4284,38,"0,117,114,117,115,117,115,116,116,115,116,116,115,116,117,116,115,115,116,117,115,115,117,116,114,116,118,113,132,100,116,116,116,117,115,115,116,116",4,2020-08-26T12:07:13.289998Z,0
2020-08-26T12:07:26.179Z,2020-08-26,dark,16514D,All,R1-2,4188,32,"0,115,116,115,117,115,117,115,116,115,117,115,115,116,115,117,116,114,116,127,105,115,118,116,114,116,117,115,116,116,116,715",4,2020-08-26T12:07:30.367Z,0
2020-08-26T12:07:46.429Z,2020-08-26,dark,16514D,All,R1-2,3357,30,"0,116,117,114,116,117,114,117,117,114,115,116,116,116,116,115,116,117,115,116,116,116,115,116,116,115,116,116,115,116",4,2020-08-26T12:07:49.786Z,0
2020-08-26T12:07:51.113003Z,2020-08-26,dark,16514D,All,R1-4,1952,17,"0,215,116,116,116,115,116,116,115,116,116,117,114,115,117,115,117",4,2020-08-26T12:07:53.065003Z,0
