DateTime,Date,Phase,IdLabel,Group,unitLabel,eventDuration,senseRFIDrecords,MsgValue1,Day,DateTime_end,DoubleRead
2020-08-26T12:02:17.068001Z,2020-08-26,dark,16829E,All,R2-8,810,8,"0,116,116,116,116,115,116,115",4,2020-08-26T12:02:17.878001Z,0
2020-08-26T12:02:26.394Z,2020-08-26,dark,16829E,All,R2-8,347,4,"0,117,116,114",4,2020-08-26T12:02:26.741Z,0
2020-08-26T12:02:28.475998Z,2020-08-26,dark,16829E,All,R2-9,809,8,"0,116,116,116,114,117,116,114",4,2020-08-26T12:02:29.284998Z,0
2020-08-26T12:02:44.906997Z,2020-08-26,dark,16829E,All,R2-7,810,8,"0,115,116,116,116,114,117,116",4,2020-08-26T12:02:45.716997Z,0
2020-08-26T12:02:54.924999Z,2020-08-26,dark,16829E,All,R2-5,1736,16,"0,114,117,114,117,116,117,114,117,115,115,117,116,115,116,116",4,2020-08-26T12:02:56.660999Z,0
2020-08-26T12:04:05.521998Z,2020-08-26,dark,16829E,All,R2-3,2878,25,"0,215,117,116,115,117,115,115,116,116,116,116,117,114,115,118,115,115,116,117,115,116,116,115,115",4,2020-08-26T12:04:08.399998Z,0
2020-08-26T12:04:13.084003Z,2020-08-26,dark,16829E,All,R2-1,4019,34,"0,115,117,115,115,116,115,116,117,116,114,116,116,116,116,116,116,116,114,117,116,114,116,117,114,117,115,117,115,116,116,316,115,116",4,2020-08-26T12:04:17.103003Z,0
2020-08-26T12:04:17.868999Z,2020-08-26,dark,16829E,All,R2-2,810,8,"0,116,115,116,117,115,117,114",4,2020-08-26T12:04:18.678999Z,0
2020-08-26T12:09:22.195003Z,2020-08-26,dark,16829E,All,R2-4,810,8,"0,115,115,121,111,116,116,116",4,2020-08-26T12:09:23.005002Z,0
2020-08-26T12:09:33.484Z,2020-08-26,dark,16829E,All,R2-6,2316,21,"0,116,115,117,116,115,117,114,117,115,117,115,115,117,114,117,116,116,115,116,116",4,2020-08-26T12:09:35.800Z,0
2020-08-26T12:09:36.323Z,2020-08-26,dark,16829E,All,R2-5,579,6,"0,115,116,117,115,116",4,2020-08-26T12:09:36.902Z,0
