DateTime,Date,Phase,IdLabel,Group,unitLabel,eventDuration,senseRFIDrecords,MsgValue1,Day,DateTime_end,DoubleRead
2020-08-30T00:58:57.580997Z,2020-08-30,light,16830E,All,R3-3,1370,13,"0,110,120,109,121,109,108,116,116,115,115,117,114",7,2020-08-30T00:58:58.950997Z,0
2020-08-30T00:59:10.967001Z,2020-08-30,light,16830E,All,R3-1,1026,9,"0,117,116,115,115,116,117,116,214",7,2020-08-30T00:59:11.993001Z,0
2020-08-30T00:59:12.831997Z,2020-08-30,light,16830E,All,R3-2,578,6,"0,114,118,114,116,116",7,2020-08-30T00:59:13.409997Z,0
2020-08-30T01:00:14.722001Z,2020-08-30,light,16830E,All,R3-4,2083,19,"0,115,116,115,116,117,115,116,116,115,116,116,116,115,116,117,126,104,116",7,2020-08-30T01:00:16.805001Z,0
2020-08-30T01:00:18.315999Z,2020-08-30,light,16830E,All,R3-8,1083,10,"0,115,115,116,117,115,116,115,116,158",7,2020-08-30T01:00:19.398999Z,0
2020-08-30T01:00:42.545999Z,2020-08-30,light,16830E,All,R3-9,579,6,"0,116,115,115,115,118",7,2020-08-30T01:00:43.124999Z,0
2020-08-30T01:00:46.840001Z,2020-08-30,light,16830E,All,R3-7,1852,17,"0,116,115,116,117,115,116,115,116,116,116,115,117,115,117,114,116",7,2020-08-30T01:00:48.692001Z,0
2020-08-30T01:00:50.689Z,2020-08-30,light,16830E,All,R3-3,694,7,"0,115,115,118,115,116,115",7,2020-08-30T01:00:51.383Z,0
2020-08-30T01:00:52.916002Z,2020-08-30,light,16830E,All,R3-1,231,3,"0,116,115",7,2020-08-30T01:00:53.147002Z,0
2020-08-30T01:00:53.680003Z,2020-08-30,light,16830E,All,R3-2,809,8,"0,115,115,118,114,116,116,115",7,2020-08-30T01:00:54.489003Z,0
2020-08-30T01:01:04.950002Z,2020-08-30,light,16830E,All,R3-4,3126,28,"0,117,114,116,118,115,114,116,116,116,116,116,116,115,116,116,115,117,116,115,116,116,116,116,116,114,116,116",7,2020-08-30T01:01:08.076002Z,0
2020-08-30T01:01:15.890998Z,2020-08-30,light,16830E,All,R3-4,4105,33,"0,415,117,116,116,116,114,116,116,117,116,116,116,114,116,116,115,117,115,116,116,115,116,117,114,117,115,117,116,114,116,116,216",7,2020-08-30T01:01:19.995998Z,0
2020-08-30T01:04:00.679998Z,2020-08-30,light,16830E,All,R3-4,2083,19,"0,115,116,116,115,115,116,117,116,115,115,116,117,115,115,116,116,116,116",7,2020-08-30T01:04:02.762998Z,0
2020-08-30T01:04:11.728001Z,2020-08-30,light,16830E,All,R3-6,695,7,"0,117,124,106,117,117,114",7,2020-08-30T01:04:12.423001Z,0
2020-08-30T01:04:38.984998Z,2020-08-30,light,16830E,All,R3-6,15665,132,"0,115,115,117,115,117,115,116,115,117,115,115,117,116,115,117,116,114,116,117,116,115,116,117,114,116,115,116,116,116,115,116,115,118,115,115,115,116,117,115,315,117,115,116,217,215,116,115,117,114,117,115,116,117,214,115,117,116,116,115,116,116,117,114,118,113,117,116,115,115,117,115,116,116,116,116,114,117,117,114,117,116,115,116,115,116,116,116,115,116,116,117,114,116,116,115,117,115,117,115,116,116,115,115,116,118,115,115,115,117,115,115,118,114,116,116,115,117,115,116,116,115,116,115,117,115,117,114,117,116,115,117",7,2020-08-30T01:04:54.649998Z,0
2020-08-30T01:04:55.766003Z,2020-08-30,light,16830E,All,R3-6,847,4,"0,514,117,216",7,2020-08-30T01:04:56.613003Z,0
2020-08-30T01:05:03.812997Z,2020-08-30,light,16830E,All,R3-4,1041,10,"0,115,116,115,117,116,115,116,115,116",7,2020-08-30T01:05:04.853997Z,0
2020-08-30T01:06:05.245998Z,2020-08-30,light,16830E,All,R3-2,346,4,"0,115,117,114",7,2020-08-30T01:06:05.591998Z,0
2020-08-30T01:06:06.838998Z,2020-08-30,light,16830E,All,R3-1,462,5,"0,115,115,117,115",7,2020-08-30T01:06:07.300998Z,0
2020-08-30T01:07:14.776Z,2020-08-30,light,16830E,All,R3-3,2199,20,"0,117,116,114,117,116,115,115,118,115,115,117,115,116,116,116,115,116,116,114",7,2020-08-30T01:07:16.975Z,0
2020-08-30T01:07:20.473001Z,2020-08-30,light,16830E,All,R3-7,1157,11,"0,116,116,116,115,116,117,114,116,117,114",7,2020-08-30T01:07:21.630001Z,0
2020-08-30T01:07:32.391Z,2020-08-30,light,16830E,All,R3-9,809,8,"0,115,116,115,116,116,117,114",7,2020-08-30T01:07:33.200Z,0
2020-08-30T01:07:46.615999Z,2020-08-30,light,16830E,All,R3-9,230,3,"0,116,114",7,2020-08-30T01:07:46.845999Z,0
2020-08-30T01:08:01.580997Z,2020-08-30,light,16830E,All,R3-7,1274,12,"0,116,115,116,117,114,117,116,114,117,116,116",7,2020-08-30T01:08:02.854997Z,0
2020-08-30T01:08:04.264997Z,2020-08-30,light,16830E,All,R3-3,3240,29,"0,115,116,115,116,116,115,116,117,114,116,117,114,117,116,114,117,116,115,116,117,114,116,117,114,117,131,99,117",7,2020-08-30T01:08:07.504997Z,0
2020-08-30T01:08:13.464004Z,2020-08-30,light,16830E,All,R3-1,231,3,"0,117,114",7,2020-08-30T01:08:13.695004Z,0
2020-08-30T01:08:14.361Z,2020-08-30,light,16830E,All,R3-2,678,7,"0,100,117,114,116,117,114",7,2020-08-30T01:08:15.039Z,0
2020-08-30T01:09:58.941997Z,2020-08-30,light,16830E,All,R3-4,2893,26,"0,114,116,117,114,117,116,115,116,117,114,116,117,114,117,116,116,115,115,116,115,117,116,116,116,115",7,2020-08-30T01:10:01.834996Z,0
2020-08-30T01:10:12.449997Z,2020-08-30,light,16830E,All,R3-4,1273,12,"0,117,114,116,117,115,116,115,117,147,84,115",7,2020-08-30T01:10:13.722997Z,0
2020-08-30T01:10:22.292995Z,2020-08-30,light,16830E,All,R3-2,230,3,"0,116,114",7,2020-08-30T01:10:22.522995Z,0
2020-08-30T01:10:22.917003Z,2020-08-30,light,16830E,All,R3-1,231,3,"0,114,117",7,2020-08-30T01:10:23.148003Z,0
2020-08-30T01:10:24.667001Z,2020-08-30,light,16830E,All,R3-3,927,9,"0,116,117,114,116,117,116,115,116",7,2020-08-30T01:10:25.594001Z,0
2020-08-30T03:05:51.675Z,2020-08-30,light,16830E,All,R3-7,2315,21,"0,115,116,115,118,115,115,116,116,115,116,117,116,115,115,116,115,116,117,116,115",7,2020-08-30T03:05:53.990Z,0
2020-08-30T03:05:55.033998Z,2020-08-30,light,16830E,All,R3-9,461,5,"0,115,116,115,115",7,2020-08-30T03:05:55.494998Z,0
