DateTime,Date,Phase,IdLabel,Group,unitLabel,eventDuration,senseRFIDrecords,MsgValue1,Day,DateTime_end,DoubleRead
2020-08-30T00:51:34.352997Z,2020-08-30,light,17290D,All,R1-4,2068,18,"0,217,116,115,116,115,117,116,115,116,115,117,115,116,115,116,115,116",7,2020-08-30T00:51:36.420997Z,0
2020-08-30T00:51:41.268003Z,2020-08-30,light,17290D,All,R1-2,795,7,"0,217,115,116,115,117,115",7,2020-08-30T00:51:42.063004Z,0
2020-08-30T00:52:02.277002Z,2020-08-30,light,17290D,All,R1-2,695,7,"0,117,116,115,116,115,116",7,2020-08-30T00:52:02.972002Z,0
2020-08-30T00:52:04.336Z,2020-08-30,light,17290D,All,R1-4,927,9,"0,117,115,115,117,116,115,116,116",7,2020-08-30T00:52:05.263Z,0
2020-08-30T03:23:43.530996Z,2020-08-30,light,17290D,All,R1-6,2069,18,"0,217,114,117,116,114,117,116,114,117,116,116,115,116,117,114,117,116",7,2020-08-30T03:23:45.599996Z,0
2020-08-30T03:23:48.055998Z,2020-08-30,light,17290D,All,R1-5,1489,13,"0,215,117,114,116,117,116,114,116,117,114,117,116",7,2020-08-30T03:23:49.544998Z,0
2020-08-30T03:27:14.145002Z,2020-08-30,light,17290D,All,R1-7,2758,25,"0,96,115,116,116,116,115,116,116,116,115,116,116,117,115,115,116,116,116,115,116,117,114,116,116",7,2020-08-30T03:27:16.903002Z,0
2020-08-30T03:28:05.149997Z,2020-08-30,light,17290D,All,R1-9,579,6,"0,116,116,115,116,116",7,2020-08-30T03:28:05.728997Z,0
2020-08-30T03:28:31.565001Z,2020-08-30,light,17290D,All,R1-8,1041,10,"0,115,115,125,108,115,115,117,115,116",7,2020-08-30T03:28:32.606Z,0
2020-08-30T03:28:37.977998Z,2020-08-30,light,17290D,All,R1-4,1258,12,"0,100,117,116,115,115,116,116,116,117,115,115",7,2020-08-30T03:28:39.235998Z,0
2020-08-30T03:29:53.259Z,2020-08-30,light,17290D,All,R1-2,463,5,"0,117,114,116,116",7,2020-08-30T03:29:53.722Z,0
2020-08-30T03:32:27.704002Z,2020-08-30,light,17290D,All,R1-2,1853,17,"0,117,114,116,117,116,114,117,116,116,115,116,116,115,116,116,116",7,2020-08-30T03:32:29.557002Z,0
2020-08-30T03:32:52.889999Z,2020-08-30,light,17290D,All,R1-4,1388,13,"0,114,117,116,116,114,117,116,115,116,116,115,116",7,2020-08-30T03:32:54.277999Z,0
2020-08-30T03:32:59.580003Z,2020-08-30,light,17290D,All,R1-6,700,7,"0,121,109,121,119,110,120",7,2020-08-30T03:33:00.280003Z,0
2020-08-30T03:33:04.950999Z,2020-08-30,light,17290D,All,R1-5,1040,10,"0,157,73,120,110,120,119,111,120,110",7,2020-08-30T03:33:05.990999Z,0
2020-08-30T03:33:19.309997Z,2020-08-30,light,17290D,All,R2-1,2130,16,"0,320,310,120,110,120,110,120,120,130,100,110,120,110,120,110",7,2020-08-30T03:33:21.439997Z,0
2020-08-30T03:33:32.360Z,2020-08-30,light,17290D,All,R2-1,700,7,"0,120,110,120,110,120,120",7,2020-08-30T03:33:33.060Z,0
2020-08-30T03:33:34.749997Z,2020-08-30,light,17290D,All,R2-2,810,8,"0,120,110,120,120,110,120,110",7,2020-08-30T03:33:35.559997Z,0
2020-08-30T03:33:38.379997Z,2020-08-30,light,17290D,All,R2-2,350,4,"0,110,120,120",7,2020-08-30T03:33:38.729997Z,0
