DateTime,Date,Phase,IdLabel,Group,unitLabel,eventDuration,senseRFIDrecords,MsgValue1,Day,DateTime_end,DoubleRead
2020-08-27T00:00:05.602003Z,2020-08-27,light,18202H,All,R1-4,1705,14,"0,316,114,115,117,116,116,115,116,115,118,114,117,116",4,2020-08-27T00:00:07.307003Z,0
2020-08-27T00:00:17.289003Z,2020-08-27,light,18202H,All,R1-4,1390,13,"0,116,116,116,116,116,114,117,115,116,116,115,117",4,2020-08-27T00:00:18.679003Z,0
2020-08-27T00:01:26.247996Z,2020-08-27,light,18202H,All,R1-4,1143,10,"0,215,116,117,115,115,117,116,116,116",4,2020-08-27T00:01:27.390996Z,0
2020-08-27T00:01:31.338002Z,2020-08-27,light,18202H,All,R1-6,232,3,"0,117,115",4,2020-08-27T00:01:31.570002Z,0
2020-08-27T00:01:40.553996Z,2020-08-27,light,18202H,All,R2-1,1041,10,"0,114,117,115,116,115,116,116,115,117",4,2020-08-27T00:01:41.594996Z,0
2020-08-27T00:01:49.078004Z,2020-08-27,light,18202H,All,R2-1,348,4,"0,116,115,117",4,2020-08-27T00:01:49.426004Z,0
2020-08-27T00:01:55.743998Z,2020-08-27,light,18202H,All,R2-2,1504,14,"0,115,117,115,115,116,116,117,115,115,116,116,116,115",4,2020-08-27T00:01:57.247998Z,0
2020-08-27T00:03:37.775002Z,2020-08-27,light,18202H,All,R2-4,1426,9,"0,616,116,116,115,116,116,116,115",4,2020-08-27T00:03:39.201003Z,0
2020-08-27T00:08:50.844002Z,2020-08-27,light,18202H,All,R2-4,2300,20,"0,217,115,116,117,115,115,116,116,116,116,116,114,116,116,116,116,115,116,116",4,2020-08-27T00:08:53.144002Z,0
2020-08-27T00:09:33.999998Z,2020-08-27,light,18202H,All,R2-6,233,3,"0,116,117",4,2020-08-27T00:09:34.232998Z,0
2020-08-27T00:09:37.087001Z,2020-08-27,light,18202H,All,R2-5,1837,16,"0,115,116,116,116,116,116,115,116,115,116,116,116,116,116,216",4,2020-08-27T00:09:38.924001Z,0
2020-08-27T00:09:52.748997Z,2020-08-27,light,18202H,All,R2-7,2315,21,"0,116,116,115,116,115,117,114,117,116,115,117,116,114,117,116,115,115,116,116,116",4,2020-08-27T00:09:55.063997Z,0
2020-08-27T00:10:57.891997Z,2020-08-27,light,18202H,All,R2-9,1967,18,"0,116,115,117,116,115,115,117,115,115,117,115,116,116,115,116,116,115",4,2020-08-27T00:10:59.858997Z,0
2020-08-27T00:11:05.478003Z,2020-08-27,light,18202H,All,R2-8,1043,10,"0,117,115,116,117,114,117,115,117,115",4,2020-08-27T00:11:06.521003Z,0
2020-08-27T00:11:12.918001Z,2020-08-27,light,18202H,All,R2-6,347,4,"0,115,116,116",4,2020-08-27T00:11:13.265001Z,0
2020-08-27T00:11:31.549005Z,2020-08-27,light,18202H,All,R3-2,2183,19,"0,215,117,114,116,116,116,116,115,116,116,115,117,115,115,116,117,117,114",4,2020-08-27T00:11:33.732005Z,0
2020-08-27T00:11:41.747997Z,2020-08-27,light,18202H,All,R3-2,346,4,"0,115,116,115",4,2020-08-27T00:11:42.093997Z,0
2020-08-27T00:11:59.035004Z,2020-08-27,light,18202H,All,R2-6,696,7,"0,116,117,115,116,116,116",4,2020-08-27T00:11:59.731004Z,0
2020-08-27T00:12:12.092999Z,2020-08-27,light,18202H,All,R2-6,464,5,"0,117,115,116,116",4,2020-08-27T00:12:12.556999Z,0
2020-08-27T00:12:39.172997Z,2020-08-27,light,18202H,All,R2-5,2367,18,"0,415,117,233,97,116,117,115,116,116,115,116,115,117,116,115,116,115",4,2020-08-27T00:12:41.539997Z,0
2020-08-27T00:12:44.636Z,2020-08-27,light,18202H,All,R2-7,216,2,"0,216",4,2020-08-27T00:12:44.852Z,0
2020-08-27T00:13:07.784996Z,2020-08-27,light,18202H,All,R2-3,2416,21,"0,216,116,115,116,116,116,116,114,116,116,116,117,114,117,114,116,116,117,115,117",4,2020-08-27T00:13:10.200996Z,0
2020-08-27T00:13:40.278999Z,2020-08-27,light,18202H,All,R2-1,348,4,"0,115,117,116",4,2020-08-27T00:13:40.626999Z,0
2020-08-27T00:13:49.692997Z,2020-08-27,light,18202H,All,R2-2,1275,12,"0,116,117,116,116,115,116,116,115,116,115,117",4,2020-08-27T00:13:50.967997Z,0
2020-08-27T00:13:52.559999Z,2020-08-27,light,18202H,All,R2-4,230,3,"0,121,109",4,2020-08-27T00:13:52.789999Z,0
2020-08-27T00:13:53.881997Z,2020-08-27,light,18202H,All,R2-6,75,1,0,4,2020-08-27T00:13:53.956997Z,0
2020-08-27T00:14:05.703997Z,2020-08-27,light,18202H,All,R3-1,1852,17,"0,117,115,116,116,116,116,114,118,115,116,116,115,116,116,115,115",4,2020-08-27T00:14:07.555997Z,0
2020-08-27T00:14:56.784998Z,2020-08-27,light,18202H,All,R3-1,1389,13,"0,116,116,117,116,115,116,116,115,115,117,115,115",4,2020-08-27T00:14:58.173998Z,0
2020-08-27T00:15:00.891003Z,2020-08-27,light,18202H,All,R3-1,4351,36,"0,116,115,116,116,116,115,116,116,116,116,114,116,116,116,116,116,116,115,116,117,114,417,115,117,114,117,116,114,117,116,116,116,115,115,116",4,2020-08-27T00:15:05.242003Z,0
2020-08-27T00:15:31.722998Z,2020-08-27,light,18202H,All,R3-1,116,2,"0,116",4,2020-08-27T00:15:31.838998Z,0
2020-08-27T00:15:37.704004Z,2020-08-27,light,18202H,All,R3-2,926,9,"0,115,116,115,117,115,117,114,117",4,2020-08-27T00:15:38.630004Z,0
2020-08-27T00:15:49.440001Z,2020-08-27,light,18202H,All,R3-4,1274,12,"0,114,118,114,116,117,115,116,115,117,114,118",4,2020-08-27T00:15:50.714Z,0
2020-08-27T00:20:07.831003Z,2020-08-27,light,18202H,All,R3-8,5463,43,"0,215,117,115,116,115,117,115,116,116,115,116,117,116,114,117,115,116,115,116,117,114,117,117,114,116,116,115,117,216,115,216,116,115,416,117,114,115,117,117,115,114,118",4,2020-08-27T00:20:13.294003Z,0
2020-08-27T00:20:48.080997Z,2020-08-27,light,18202H,All,R3-9,910,8,"0,215,115,118,115,116,116,115",4,2020-08-27T00:20:48.990997Z,0
2020-08-27T00:20:55.474996Z,2020-08-27,light,18202H,All,R3-7,1389,13,"0,116,114,116,116,117,114,116,117,116,115,116,116",4,2020-08-27T00:20:56.863996Z,0
2020-08-27T00:21:05.323999Z,2020-08-27,light,18202H,All,R3-3,2084,19,"0,114,117,116,115,116,115,116,117,116,114,117,115,117,115,114,117,116,117",4,2020-08-27T00:21:07.408Z,0
2020-08-27T00:21:31.584001Z,2020-08-27,light,18202H,All,R3-3,1159,11,"0,117,115,117,115,115,116,116,115,116,117",4,2020-08-27T00:21:32.743001Z,0
2020-08-27T00:22:30.873003Z,2020-08-27,light,18202H,All,R3-6,1368,13,"0,94,117,115,115,117,114,117,117,114,116,117,115",4,2020-08-27T00:22:32.241003Z,0
2020-08-27T00:22:39.796999Z,2020-08-27,light,18202H,All,R3-4,2664,24,"0,117,115,117,115,116,115,116,117,115,117,115,114,117,115,116,115,116,117,115,116,116,116,116",4,2020-08-27T00:22:42.460999Z,0
2020-08-27T00:23:14.236999Z,2020-08-27,light,18202H,All,R3-4,349,4,"0,116,116,117",4,2020-08-27T00:23:14.585999Z,0
2020-08-27T00:23:18.290999Z,2020-08-27,light,18202H,All,R3-8,2070,18,"0,218,115,115,117,116,114,117,114,117,115,118,115,115,116,116,115,117",4,2020-08-27T00:23:20.360999Z,0
2020-08-27T00:24:08.300002Z,2020-08-27,light,18202H,All,R3-9,332,3,"0,215,117",4,2020-08-27T00:24:08.632002Z,0
2020-08-27T00:24:29.912996Z,2020-08-27,light,18202H,All,R3-7,696,7,"0,137,95,117,114,115,118",4,2020-08-27T00:24:30.608996Z,0
2020-08-27T00:25:00.044002Z,2020-08-27,light,18202H,All,R3-6,2199,20,"0,116,114,116,118,114,116,116,117,114,117,116,114,116,116,117,114,116,156,76",4,2020-08-27T00:25:02.243001Z,0
2020-08-27T00:32:12.619003Z,2020-08-27,light,18202H,All,R3-4,2084,19,"0,117,117,113,118,115,116,115,116,115,117,116,115,115,116,116,117,114,116",4,2020-08-27T00:32:14.703003Z,0
2020-08-27T00:32:25.668997Z,2020-08-27,light,18202H,All,R3-2,346,4,"0,129,102,115",4,2020-08-27T00:32:26.014997Z,0
2020-08-27T00:32:34.443997Z,2020-08-27,light,18202H,All,R2-6,463,5,"0,116,115,116,116",4,2020-08-27T00:32:34.906997Z,0
2020-08-27T00:33:29.801998Z,2020-08-27,light,18202H,All,R2-8,75,1,0,4,2020-08-27T00:33:29.876998Z,0
2020-08-27T00:33:31.836001Z,2020-08-27,light,18202H,All,R2-6,75,1,0,4,2020-08-27T00:33:31.911001Z,0
2020-08-27T00:33:37.786999Z,2020-08-27,light,18202H,All,R2-6,463,5,"0,115,117,116,115",4,2020-08-27T00:33:38.249999Z,0
2020-08-27T00:34:39.468002Z,2020-08-27,light,18202H,All,R2-6,348,4,"0,117,114,117",4,2020-08-27T00:34:39.816002Z,0
2020-08-27T00:34:42.689997Z,2020-08-27,light,18202H,All,R2-5,3125,28,"0,115,115,116,116,116,116,116,117,116,114,116,116,115,117,115,115,117,115,116,116,116,116,115,116,117,115,115",4,2020-08-27T00:34:45.814997Z,0
2020-08-27T00:34:47.082996Z,2020-08-27,light,18202H,All,R2-7,2068,18,"0,216,116,117,115,115,116,116,116,116,116,115,115,117,116,116,114,116",4,2020-08-27T00:34:49.150996Z,0
2020-08-27T00:35:56.912998Z,2020-08-27,light,18202H,All,R2-9,1140,10,"0,214,116,116,116,116,116,116,114,116",4,2020-08-27T00:35:58.052998Z,0
