DateTime,Date,Phase,IdLabel,Group,unitLabel,eventDuration,senseRFIDrecords,MsgValue1,Day,DateTime_end,DoubleRead
2020-08-30T12:00:30.473003Z,2020-08-30,dark,18286G,All,R3-2,347,4,"0,115,116,116",8,2020-08-30T12:00:30.820003Z,0
2020-08-30T12:00:32.783003Z,2020-08-30,dark,18286G,All,R3-1,925,9,"0,115,117,116,115,115,117,115,115",8,2020-08-30T12:00:33.708003Z,0
2020-08-30T12:00:48.724002Z,2020-08-30,dark,18286G,All,R3-1,75,1,0,8,2020-08-30T12:00:48.799002Z,0
2020-08-30T12:00:49.142999Z,2020-08-30,dark,18286G,All,R3-2,455,5,"0,107,116,117,115",8,2020-08-30T12:00:49.597999Z,0
2020-08-30T12:00:55.606997Z,2020-08-30,dark,18286G,All,R3-4,463,5,"0,116,115,117,115",8,2020-08-30T12:00:56.069997Z,0
2020-08-30T12:01:04.986003Z,2020-08-30,dark,18286G,All,R3-4,1194,7,"0,214,217,415,117,115,116",8,2020-08-30T12:01:06.180003Z,0
2020-08-30T12:01:08.084004Z,2020-08-30,dark,18286G,All,R3-6,1141,10,"0,216,116,114,116,116,116,117,115,115",8,2020-08-30T12:01:09.225004Z,0
2020-08-30T12:16:48.639Z,2020-08-30,dark,18286G,All,R3-6,2756,25,"0,93,116,116,116,115,117,114,116,116,117,114,117,116,114,117,116,116,114,117,115,116,117,114,117",8,2020-08-30T12:16:51.395Z,0
2020-08-30T12:16:53.728004Z,2020-08-30,dark,18286G,All,R3-4,2068,18,"0,215,116,117,114,117,116,114,116,117,115,117,114,117,116,114,117,116",8,2020-08-30T12:16:55.796004Z,0
2020-08-30T12:18:03.533Z,2020-08-30,dark,18286G,All,R3-2,347,4,"0,114,117,116",8,2020-08-30T12:18:03.880Z,0
2020-08-30T12:18:04.379996Z,2020-08-30,dark,18286G,All,R3-1,811,8,"0,117,116,116,115,117,115,115",8,2020-08-30T12:18:05.190996Z,0
2020-08-30T12:18:47.931998Z,2020-08-30,dark,18286G,All,R3-1,231,3,"0,115,116",8,2020-08-30T12:18:48.162998Z,0
