DateTime,Date,Phase,IdLabel,Group,unitLabel,eventDuration,senseRFIDrecords,MsgValue1,Day,DateTime_end,DoubleRead
2020-09-02T00:05:30.023998Z,2020-09-02,light,18293G,All,R2-5,1043,10,"0,116,116,115,118,115,114,117,116,116",10,2020-09-02T00:05:31.066998Z,0
2020-09-02T00:05:33.925001Z,2020-09-02,light,18293G,All,R2-6,231,3,"0,115,116",10,2020-09-02T00:05:34.156001Z,0
2020-09-02T00:05:40.201002Z,2020-09-02,light,18293G,All,R2-8,926,9,"0,115,116,117,116,115,116,117,114",10,2020-09-02T00:05:41.127002Z,0
2020-09-02T00:06:13.468Z,2020-09-02,light,18293G,All,R2-8,464,5,"0,115,116,117,116",10,2020-09-02T00:06:13.932Z,0
2020-09-02T00:06:16.682003Z,2020-09-02,light,18293G,All,R2-4,579,6,"0,115,117,115,115,117",10,2020-09-02T00:06:17.261003Z,0
2020-09-02T00:07:08.175003Z,2020-09-02,light,18293G,All,R2-4,75,1,0,10,2020-09-02T00:07:08.250003Z,0
2020-09-02T00:13:10.453002Z,2020-09-02,light,18293G,All,R2-2,1043,10,"0,116,117,114,153,80,116,114,118,115",10,2020-09-02T00:13:11.496002Z,0
2020-09-02T00:13:12.605001Z,2020-09-02,light,18293G,All,R2-1,809,8,"0,115,115,116,116,116,116,115",10,2020-09-02T00:13:13.414001Z,0
2020-09-02T00:13:27.894Z,2020-09-02,light,18293G,All,R2-1,75,1,0,10,2020-09-02T00:13:27.969Z,0
2020-09-02T00:13:29.642002Z,2020-09-02,light,18293G,All,R2-2,580,6,"0,116,117,114,116,117",10,2020-09-02T00:13:30.222002Z,0
2020-09-02T00:13:31.687997Z,2020-09-02,light,18293G,All,R2-4,694,7,"0,116,115,118,114,116,115",10,2020-09-02T00:13:32.381997Z,0
2020-09-02T00:13:34.978999Z,2020-09-02,light,18293G,All,R2-8,695,7,"0,117,116,114,117,116,115",10,2020-09-02T00:13:35.673999Z,0
2020-09-02T00:13:38.343Z,2020-09-02,light,18293G,All,R2-9,117,2,"0,117",10,2020-09-02T00:13:38.460001Z,0
2020-09-02T00:14:18.238001Z,2020-09-02,light,18293G,All,R2-7,1157,11,"0,117,114,117,116,114,117,116,115,116,115",10,2020-09-02T00:14:19.395001Z,0
2020-09-02T00:14:30.407001Z,2020-09-02,light,18293G,All,R2-5,346,4,"0,116,115,115",10,2020-09-02T00:14:30.753Z,0
2020-09-02T00:14:31.203004Z,2020-09-02,light,18293G,All,R2-6,694,7,"0,115,118,115,114,118,114",10,2020-09-02T00:14:31.897004Z,0
2020-09-02T00:14:34.511001Z,2020-09-02,light,18293G,All,R2-4,679,6,"0,216,115,117,114,117",10,2020-09-02T00:14:35.190001Z,0
2020-09-02T00:14:36.113003Z,2020-09-02,light,18293G,All,R2-2,348,4,"0,117,115,116",10,2020-09-02T00:14:36.461003Z,0
2020-09-02T00:14:37.253Z,2020-09-02,light,18293G,All,R2-1,694,7,"0,116,116,115,116,117,114",10,2020-09-02T00:14:37.947Z,0
2020-09-02T00:14:39.052997Z,2020-09-02,light,18293G,All,R2-3,580,6,"0,116,117,114,118,115",10,2020-09-02T00:14:39.632997Z,0
2020-09-02T00:14:42.269004Z,2020-09-02,light,18293G,All,R2-5,75,1,0,10,2020-09-02T00:14:42.344004Z,0
2020-09-02T00:14:46.698999Z,2020-09-02,light,18293G,All,R3-2,927,9,"0,116,115,116,116,115,117,115,117",10,2020-09-02T00:14:47.625999Z,0
2020-09-02T00:14:52.940001Z,2020-09-02,light,18293G,All,R3-2,75,1,0,10,2020-09-02T00:14:53.015001Z,0
2020-09-02T00:15:02.507002Z,2020-09-02,light,18293G,All,R2-6,1620,15,"0,116,116,115,116,115,116,117,114,117,115,116,117,114,116",10,2020-09-02T00:15:04.127002Z,0
2020-09-02T00:15:12.744003Z,2020-09-02,light,18293G,All,R2-6,463,5,"0,114,116,116,117",10,2020-09-02T00:15:13.207003Z,0
2020-09-02T00:15:13.785002Z,2020-09-02,light,18293G,All,R2-5,6366,56,"0,115,115,116,115,116,121,110,117,116,115,117,115,115,117,115,115,117,114,117,115,117,115,116,115,116,116,115,117,115,115,117,142,91,115,115,115,116,116,116,115,130,102,115,116,117,115,117,115,116,115,116,115,117,115,117",10,2020-09-02T00:15:20.151002Z,0
2020-09-02T00:15:28.416997Z,2020-09-02,light,18293G,All,R3-1,2198,20,"0,116,115,116,116,116,115,116,117,114,117,115,117,115,116,116,116,114,116,115",10,2020-09-02T00:15:30.614997Z,0
2020-09-02T00:16:07.488002Z,2020-09-02,light,18293G,All,R3-3,2315,21,"0,116,116,115,116,115,116,116,115,117,115,117,115,115,116,116,116,115,116,117,115",10,2020-09-02T00:16:09.803002Z,0
2020-09-02T01:30:36.606003Z,2020-09-02,light,18293G,All,R3-6,1505,14,"0,116,115,117,116,116,115,116,116,115,116,115,117,115",10,2020-09-02T01:30:38.111003Z,0
2020-09-02T01:30:40.059999Z,2020-09-02,light,18293G,All,R3-4,1280,12,"0,115,117,115,114,117,116,116,115,116,116,123",10,2020-09-02T01:30:41.339999Z,0
2020-09-02T01:32:35.021998Z,2020-09-02,light,18293G,All,R3-4,1158,11,"0,116,117,116,114,117,116,116,114,116,116",10,2020-09-02T01:32:36.179998Z,0
2020-09-02T01:32:38.787001Z,2020-09-02,light,18293G,All,R3-8,75,1,0,10,2020-09-02T01:32:38.862001Z,0
2020-09-02T01:35:45.196002Z,2020-09-02,light,18293G,All,R3-8,1158,11,"0,117,113,118,115,116,116,115,117,115,116",10,2020-09-02T01:35:46.354002Z,0
2020-09-02T01:36:33.398001Z,2020-09-02,light,18293G,All,R3-9,4038,35,"0,217,116,131,101,116,116,116,114,117,115,115,128,104,115,117,115,115,116,117,117,114,116,117,115,116,115,116,115,117,116,116,115,116,116",10,2020-09-02T01:36:37.436001Z,0
2020-09-02T01:36:46.013999Z,2020-09-02,light,18293G,All,R3-7,2431,22,"0,116,117,114,117,115,117,115,115,116,115,117,115,118,114,115,117,116,116,116,114,116",10,2020-09-02T01:36:48.444999Z,0
2020-09-02T01:36:54.686001Z,2020-09-02,light,18293G,All,R3-3,1621,15,"0,115,117,115,116,116,115,116,134,98,116,115,115,116,117",10,2020-09-02T01:36:56.307001Z,0
2020-09-02T01:37:00.766005Z,2020-09-02,light,18293G,All,R3-1,231,3,"0,116,115",10,2020-09-02T01:37:00.997005Z,0
2020-09-02T01:37:10.157002Z,2020-09-02,light,18293G,All,R3-2,4931,41,"0,114,117,116,116,117,114,117,115,115,116,115,118,115,116,115,115,417,116,114,117,115,116,117,115,116,115,118,115,115,116,116,115,116,115,116,116,117,114,117,116",10,2020-09-02T01:37:15.088002Z,0
2020-09-02T01:38:50.567997Z,2020-09-02,light,18293G,All,R3-4,2383,19,"0,117,114,117,115,117,113,117,117,114,117,115,426,107,115,116,115,116,115",10,2020-09-02T01:38:52.950997Z,0
2020-09-02T01:38:53.957003Z,2020-09-02,light,18293G,All,R3-8,1504,14,"0,116,115,115,116,116,115,118,115,116,115,116,115,116",10,2020-09-02T01:38:55.461003Z,0
