DateTime,Date,Phase,IdLabel,Group,unitLabel,eventDuration,senseRFIDrecords,MsgValue1,Day,DateTime_end,DoubleRead
2020-08-26T00:03:28.831003Z,2020-08-26,light,18293G,All,R2-5,348,4,"0,116,116,116",3,2020-08-26T00:03:29.179003Z,0
2020-08-26T00:03:30.785Z,2020-08-26,light,18293G,All,R2-6,696,7,"0,116,117,115,117,115,116",3,2020-08-26T00:03:31.481Z,0
2020-08-26T00:04:27.271005Z,2020-08-26,light,18293G,All,R2-8,927,9,"0,116,116,117,116,114,116,116,116",3,2020-08-26T00:04:28.198005Z,0
2020-08-26T00:04:36.118001Z,2020-08-26,light,18293G,All,R2-9,446,4,"0,216,115,115",3,2020-08-26T00:04:36.564001Z,0
2020-08-26T00:05:29.524001Z,2020-08-26,light,18293G,All,R2-7,694,7,"0,116,114,116,115,116,117",3,2020-08-26T00:05:30.218001Z,0
2020-08-26T00:05:32.252004Z,2020-08-26,light,18293G,All,R2-3,1622,15,"0,117,115,117,115,115,117,115,116,116,115,116,115,118,115",3,2020-08-26T00:05:33.874004Z,0
2020-08-26T00:05:41.554Z,2020-08-26,light,18293G,All,R2-1,116,2,"0,116",3,2020-08-26T00:05:41.670Z,0
2020-08-26T00:05:48.484999Z,2020-08-26,light,18293G,All,R1-6,2548,23,"0,117,116,114,116,116,117,115,115,115,118,115,116,116,115,116,117,115,115,115,117,116,116",3,2020-08-26T00:05:51.032999Z,0
2020-08-26T00:05:53.015003Z,2020-08-26,light,18293G,All,R1-4,1042,10,"0,115,117,115,115,117,114,117,117,115",3,2020-08-26T00:05:54.057003Z,0
2020-08-26T00:06:01.690004Z,2020-08-26,light,18293G,All,R1-2,347,4,"0,115,116,116",3,2020-08-26T00:06:02.037004Z,0
2020-08-26T00:06:03.223Z,2020-08-26,light,18293G,All,R1-3,695,7,"0,115,116,116,117,115,116",3,2020-08-26T00:06:03.918Z,0
2020-08-26T00:06:06.631998Z,2020-08-26,light,18293G,All,R1-7,231,3,"0,115,116",3,2020-08-26T00:06:06.862998Z,0
2020-08-26T00:06:08.027003Z,2020-08-26,light,18293G,All,R1-9,347,4,"0,117,115,115",3,2020-08-26T00:06:08.374003Z,0
2020-08-26T00:06:10.259Z,2020-08-26,light,18293G,All,R1-8,348,4,"0,116,116,116",3,2020-08-26T00:06:10.607Z,0
2020-08-26T00:06:11.171998Z,2020-08-26,light,18293G,All,R1-4,463,5,"0,115,116,115,117",3,2020-08-26T00:06:11.634998Z,0
2020-08-26T00:06:14.251Z,2020-08-26,light,18293G,All,R1-2,464,5,"0,116,117,115,116",3,2020-08-26T00:06:14.715Z,0
2020-08-26T00:06:15.833001Z,2020-08-26,light,18293G,All,R1-3,230,3,"0,116,114",3,2020-08-26T00:06:16.063001Z,0
2020-08-26T00:06:16.878Z,2020-08-26,light,18293G,All,R1-7,578,6,"0,115,116,116,167,64",3,2020-08-26T00:06:17.456Z,0
2020-08-26T00:06:23.988997Z,2020-08-26,light,18293G,All,R1-9,1969,18,"0,115,117,116,115,117,116,115,116,115,115,117,115,115,117,115,116,117",3,2020-08-26T00:06:25.957998Z,0
2020-08-26T00:06:28.821004Z,2020-08-26,light,18293G,All,R1-8,465,5,"0,117,116,115,117",3,2020-08-26T00:06:29.286004Z,0
2020-08-26T00:06:29.749001Z,2020-08-26,light,18293G,All,R1-4,347,4,"0,117,115,115",3,2020-08-26T00:06:30.096Z,0
2020-08-26T00:06:30.808999Z,2020-08-26,light,18293G,All,R1-2,347,4,"0,116,116,115",3,2020-08-26T00:06:31.155998Z,0
2020-08-26T00:06:32.080004Z,2020-08-26,light,18293G,All,R1-3,232,3,"0,132,100",3,2020-08-26T00:06:32.312004Z,0
2020-08-26T00:06:32.872999Z,2020-08-26,light,18293G,All,R1-7,346,4,"0,115,116,115",3,2020-08-26T00:06:33.218999Z,0
2020-08-26T00:06:34.272999Z,2020-08-26,light,18293G,All,R1-9,115,2,"0,115",3,2020-08-26T00:06:34.387999Z,0
2020-08-26T00:06:35.363005Z,2020-08-26,light,18293G,All,R1-8,232,3,"0,117,115",3,2020-08-26T00:06:35.595005Z,0
2020-08-26T00:06:36.161003Z,2020-08-26,light,18293G,All,R1-4,230,3,"0,115,115",3,2020-08-26T00:06:36.391003Z,0
2020-08-26T00:06:37.171002Z,2020-08-26,light,18293G,All,R1-2,116,2,"0,116",3,2020-08-26T00:06:37.287002Z,0
2020-08-26T00:06:38.225998Z,2020-08-26,light,18293G,All,R1-3,348,4,"0,116,117,115",3,2020-08-26T00:06:38.573998Z,0
2020-08-26T00:06:39.540998Z,2020-08-26,light,18293G,All,R1-5,75,1,0,3,2020-08-26T00:06:39.615998Z,0
2020-08-26T00:06:42.761998Z,2020-08-26,light,18293G,All,R2-1,1274,12,"0,115,115,118,115,115,117,114,117,116,116,116",3,2020-08-26T00:06:44.035998Z,0
2020-08-26T00:06:50.949996Z,2020-08-26,light,18293G,All,R2-1,117,2,"0,117",3,2020-08-26T00:06:51.066997Z,0
2020-08-26T00:06:54.478003Z,2020-08-26,light,18293G,All,R1-6,348,4,"0,115,116,117",3,2020-08-26T00:06:54.826003Z,0
2020-08-26T00:06:58.517004Z,2020-08-26,light,18293G,All,R1-4,75,1,0,3,2020-08-26T00:06:58.592004Z,0
2020-08-26T00:07:05.020003Z,2020-08-26,light,18293G,All,R1-6,115,2,"0,115",3,2020-08-26T00:07:05.135003Z,0
2020-08-26T00:07:05.987001Z,2020-08-26,light,18293G,All,R1-5,462,5,"0,114,116,117,115",3,2020-08-26T00:07:06.449001Z,0
2020-08-26T00:07:28.393Z,2020-08-26,light,18293G,All,R1-3,75,1,0,3,2020-08-26T00:07:28.468Z,0
2020-08-26T00:07:32.120996Z,2020-08-26,light,18293G,All,R1-7,464,5,"0,117,115,116,116",3,2020-08-26T00:07:32.584996Z,0
2020-08-26T00:07:34.131999Z,2020-08-26,light,18293G,All,R1-9,581,6,"0,116,116,116,115,118",3,2020-08-26T00:07:34.713Z,0
2020-08-26T00:07:35.940999Z,2020-08-26,light,18293G,All,R1-8,808,8,"0,114,125,106,118,115,115,115",3,2020-08-26T00:07:36.748999Z,0
2020-08-26T00:08:20.096998Z,2020-08-26,light,18293G,All,R1-4,1606,14,"0,217,114,117,114,117,116,115,116,116,116,116,115,117",3,2020-08-26T00:08:21.702998Z,0
2020-08-26T00:08:24.566004Z,2020-08-26,light,18293G,All,R1-2,348,4,"0,115,117,116",3,2020-08-26T00:08:24.914004Z,0
2020-08-26T00:08:26.653004Z,2020-08-26,light,18293G,All,R1-3,463,5,"0,115,115,116,117",3,2020-08-26T00:08:27.116004Z,0
2020-08-26T00:08:28.748999Z,2020-08-26,light,18293G,All,R1-7,464,5,"0,116,117,116,115",3,2020-08-26T00:08:29.212999Z,0
2020-08-26T00:08:30.645003Z,2020-08-26,light,18293G,All,R1-9,463,5,"0,115,116,116,116",3,2020-08-26T00:08:31.108003Z,0
2020-08-26T00:08:31.484Z,2020-08-26,light,18293G,All,R1-8,463,5,"0,116,115,116,116",3,2020-08-26T00:08:31.947Z,0
2020-08-26T00:08:35.200997Z,2020-08-26,light,18293G,All,R1-6,810,8,"0,115,115,116,116,116,115,117",3,2020-08-26T00:08:36.010997Z,0
2020-08-26T00:08:37.918Z,2020-08-26,light,18293G,All,R1-5,464,5,"0,117,116,115,116",3,2020-08-26T00:08:38.382Z,0
2020-08-26T00:08:39.954Z,2020-08-26,light,18293G,All,R1-7,349,4,"0,117,116,116",3,2020-08-26T00:08:40.302999Z,0
2020-08-26T00:08:41.349998Z,2020-08-26,light,18293G,All,R1-9,231,3,"0,116,115",3,2020-08-26T00:08:41.580998Z,0
2020-08-26T00:08:42.078998Z,2020-08-26,light,18293G,All,R1-8,1156,11,"0,115,115,116,116,115,116,154,79,115,115",3,2020-08-26T00:08:43.234998Z,0
2020-08-26T00:08:45.036998Z,2020-08-26,light,18293G,All,R1-6,75,1,0,3,2020-08-26T00:08:45.111998Z,0
2020-08-26T00:08:45.927998Z,2020-08-26,light,18293G,All,R1-5,117,2,"0,117",3,2020-08-26T00:08:46.044998Z,0
2020-08-26T00:08:54.216997Z,2020-08-26,light,18293G,All,R1-7,795,7,"0,216,116,116,116,115,116",3,2020-08-26T00:08:55.011997Z,0
2020-08-26T00:08:58.027998Z,2020-08-26,light,18293G,All,R1-7,810,8,"0,115,117,114,116,115,116,117",3,2020-08-26T00:08:58.837998Z,0
2020-08-26T00:09:22.316999Z,2020-08-26,light,18293G,All,R1-3,1159,11,"0,118,115,114,117,115,117,116,114,118,115",3,2020-08-26T00:09:23.475999Z,0
2020-08-26T00:09:37.899999Z,2020-08-26,light,18293G,All,R1-2,1852,17,"0,116,116,116,114,116,116,116,115,116,117,115,117,118,113,115,116",3,2020-08-26T00:09:39.751999Z,0
2020-08-26T00:11:05.130002Z,2020-08-26,light,18293G,All,R1-4,811,8,"0,116,117,116,115,117,114,116",3,2020-08-26T00:11:05.941002Z,0
2020-08-26T00:11:08.541997Z,2020-08-26,light,18293G,All,R1-8,2081,19,"0,115,115,116,116,115,116,116,115,117,116,114,117,116,116,115,116,117,113",3,2020-08-26T00:11:10.622998Z,0
2020-08-26T00:11:12.239002Z,2020-08-26,light,18293G,All,R1-8,4053,36,"0,117,116,116,115,116,116,115,117,114,117,116,114,116,116,117,116,115,116,117,113,116,117,115,116,116,115,115,117,117,116,115,116,116,114,117",3,2020-08-26T00:11:16.292002Z,0
2020-08-26T00:11:19.270Z,2020-08-26,light,18293G,All,R1-8,696,7,"0,128,104,117,114,115,118",3,2020-08-26T00:11:19.966001Z,0
2020-08-26T00:11:21.314Z,2020-08-26,light,18293G,All,R1-9,333,3,"0,218,115",3,2020-08-26T00:11:21.647Z,0
2020-08-26T00:11:24.244999Z,2020-08-26,light,18293G,All,R1-7,812,8,"0,117,115,117,114,117,117,115",3,2020-08-26T00:11:25.056999Z,0
2020-08-26T00:11:26.695001Z,2020-08-26,light,18293G,All,R1-3,580,6,"0,116,116,116,117,115",3,2020-08-26T00:11:27.275001Z,0
2020-08-26T00:11:28.388Z,2020-08-26,light,18293G,All,R1-2,347,4,"0,117,116,114",3,2020-08-26T00:11:28.734999Z,0
2020-08-26T00:17:10.966004Z,2020-08-26,light,18293G,All,R1-2,1394,7,"0,815,116,116,115,118,114",3,2020-08-26T00:17:12.360004Z,0
2020-08-26T00:17:14.195999Z,2020-08-26,light,18293G,All,R1-3,693,7,"0,115,117,114,116,118,113",3,2020-08-26T00:17:14.888999Z,0
2020-08-26T00:17:16.091002Z,2020-08-26,light,18293G,All,R1-5,448,4,"0,216,117,115",3,2020-08-26T00:17:16.539001Z,0
2020-08-26T00:17:17.265999Z,2020-08-26,light,18293G,All,R1-6,811,8,"0,117,114,116,115,117,115,117",3,2020-08-26T00:17:18.076999Z,0
2020-08-26T00:17:21.669003Z,2020-08-26,light,18293G,All,R1-4,812,8,"0,116,116,115,117,116,115,117",3,2020-08-26T00:17:22.481003Z,0
