DateTime,Date,Phase,IdLabel,Group,unitLabel,eventDuration,senseRFIDrecords,MsgValue1,Day,DateTime_end,DoubleRead
2020-08-29T12:21:20.561003Z,2020-08-29,dark,18299H,All,R1-6,795,7,"0,117,114,116,216,115,117",7,2020-08-29T12:21:21.356003Z,0
2020-08-29T12:21:24.407003Z,2020-08-29,dark,18299H,All,R1-5,688,7,"0,110,115,116,116,117,114",7,2020-08-29T12:21:25.095003Z,0
2020-08-29T12:43:30.238003Z,2020-08-29,dark,18299H,All,R1-5,346,4,"0,116,115,115",7,2020-08-29T12:43:30.584003Z,0
2020-08-29T12:44:00.743001Z,2020-08-29,dark,18299H,All,R1-7,75,1,0,7,2020-08-29T12:44:00.818001Z,0
2020-08-29T12:44:31.157001Z,2020-08-29,dark,18299H,All,R1-7,1043,10,"0,115,117,116,116,116,116,115,115,117",7,2020-08-29T12:44:32.200001Z,0
2020-08-29T12:44:39.273996Z,2020-08-29,dark,18299H,All,R1-9,1425,9,"0,216,114,117,215,416,117,114,116",7,2020-08-29T12:44:40.698996Z,0
2020-08-29T12:44:43.881001Z,2020-08-29,dark,18299H,All,R1-8,647,4,"0,214,318,115",7,2020-08-29T12:44:44.528001Z,0
2020-08-29T12:44:46.953004Z,2020-08-29,dark,18299H,All,R1-4,75,1,0,7,2020-08-29T12:44:47.028004Z,0
2020-08-29T12:44:48.368996Z,2020-08-29,dark,18299H,All,R1-4,2483,19,"0,216,215,116,116,115,116,116,315,117,115,115,118,115,115,115,118,115,115",7,2020-08-29T12:44:50.851996Z,0
2020-08-29T12:46:37.976002Z,2020-08-29,dark,18299H,All,R1-4,448,4,"0,216,117,115",7,2020-08-29T12:46:38.424002Z,0
2020-08-29T12:46:39.758001Z,2020-08-29,dark,18299H,All,R1-8,446,4,"0,216,116,114",7,2020-08-29T12:46:40.204001Z,0
2020-08-29T12:46:49.486002Z,2020-08-29,dark,18299H,All,R1-9,75,1,0,7,2020-08-29T12:46:49.561002Z,0
2020-08-29T12:46:52.638003Z,2020-08-29,dark,18299H,All,R1-7,780,6,"0,117,116,215,215,117",7,2020-08-29T12:46:53.418003Z,0
2020-08-29T12:51:41.507997Z,2020-08-29,dark,18299H,All,R1-7,215,2,"0,215",7,2020-08-29T12:51:41.722996Z,0
2020-08-29T12:52:58.219999Z,2020-08-29,dark,18299H,All,R1-7,1836,16,"0,216,116,115,117,114,117,115,117,115,115,117,115,115,118,114",7,2020-08-29T12:53:00.055999Z,0
2020-08-29T12:54:04.369999Z,2020-08-29,dark,18299H,All,R1-7,994,7,"0,116,116,116,115,115,416",7,2020-08-29T12:54:05.363999Z,0
2020-08-29T12:57:27.196998Z,2020-08-29,dark,18299H,All,R1-7,616,2,"0,616",7,2020-08-29T12:57:27.812998Z,0
2020-08-29T13:09:54.921001Z,2020-08-29,dark,18299H,All,R1-7,1489,13,"0,214,130,102,116,116,116,115,116,116,116,116,116",7,2020-08-29T13:09:56.410002Z,0
2020-08-29T13:10:00.619003Z,2020-08-29,dark,18299H,All,R1-9,1903,14,"0,516,114,117,115,117,116,115,116,114,117,115,116,115",7,2020-08-29T13:10:02.522003Z,0
2020-08-29T13:11:12.470004Z,2020-08-29,dark,18299H,All,R1-8,1144,10,"0,118,115,115,216,116,116,116,115,117",7,2020-08-29T13:11:13.614004Z,0
2020-08-29T13:11:23.180001Z,2020-08-29,dark,18299H,All,R1-4,1572,12,"0,116,116,114,117,116,115,416,116,116,115,115",7,2020-08-29T13:11:24.752001Z,0
2020-08-29T13:11:39.423002Z,2020-08-29,dark,18299H,All,R1-2,462,5,"0,116,116,115,115",7,2020-08-29T13:11:39.885002Z,0
