DateTime,Date,Phase,IdLabel,Group,unitLabel,eventDuration,senseRFIDrecords,MsgValue1,Day,DateTime_end,DoubleRead
2020-08-26T00:00:07.352001Z,2020-08-26,light,19231J,All,R3-9,347,4,"0,116,116,115",3,2020-08-26T00:00:07.699001Z,0
2020-08-26T00:00:27.615004Z,2020-08-26,light,19231J,All,R3-9,75,1,0,3,2020-08-26T00:00:27.690004Z,0
2020-08-26T00:00:30.650003Z,2020-08-26,light,19231J,All,R3-7,347,4,"0,116,115,116",3,2020-08-26T00:00:30.997003Z,0
2020-08-26T00:00:33.216998Z,2020-08-26,light,19231J,All,R3-6,516,2,"0,516",3,2020-08-26T00:00:33.732998Z,0
2020-08-26T00:00:36.131996Z,2020-08-26,light,19231J,All,R3-4,464,5,"0,116,115,117,116",3,2020-08-26T00:00:36.595996Z,0
2020-08-26T00:00:40.667003Z,2020-08-26,light,19231J,All,R3-1,116,2,"0,116",3,2020-08-26T00:00:40.783003Z,0
2020-08-26T00:00:52.181997Z,2020-08-26,light,19231J,All,R3-3,404,2,"0,404",3,2020-08-26T00:00:52.585997Z,0
2020-08-26T00:00:53.638001Z,2020-08-26,light,19231J,All,R3-7,1110,8,"0,117,315,125,106,116,116,215",3,2020-08-26T00:00:54.748001Z,0
2020-08-26T00:00:55.764003Z,2020-08-26,light,19231J,All,R3-7,117,2,"0,117",3,2020-08-26T00:00:55.881003Z,0
2020-08-26T00:00:58.241998Z,2020-08-26,light,19231J,All,R3-9,75,1,0,3,2020-08-26T00:00:58.316998Z,0
2020-08-26T00:01:03.941003Z,2020-08-26,light,19231J,All,R3-9,75,1,0,3,2020-08-26T00:01:04.016003Z,0
2020-08-26T00:01:06.096Z,2020-08-26,light,19231J,All,R3-7,1010,8,"0,214,117,217,116,115,115,116",3,2020-08-26T00:01:07.106Z,0
2020-08-26T00:01:12.223004Z,2020-08-26,light,19231J,All,R3-7,75,1,0,3,2020-08-26T00:01:12.298004Z,0
2020-08-26T00:01:14.637003Z,2020-08-26,light,19231J,All,R3-7,331,3,"0,216,115",3,2020-08-26T00:01:14.968003Z,0
2020-08-26T00:01:17.629001Z,2020-08-26,light,19231J,All,R3-6,646,4,"0,116,115,415",3,2020-08-26T00:01:18.275001Z,0
2020-08-26T00:01:26.490003Z,2020-08-26,light,19231J,All,R3-8,446,4,"0,115,216,115",3,2020-08-26T00:01:26.936003Z,0
