DateTime,Date,Phase,IdLabel,Group,unitLabel,eventDuration,senseRFIDrecords,MsgValue1,Day,DateTime_end,DoubleRead
2020-08-30T00:02:17.188003Z,2020-08-30,light,19233J,All,R2-1,232,3,"0,116,116",7,2020-08-30T00:02:17.420003Z,0
2020-08-30T00:02:18.334997Z,2020-08-30,light,19233J,All,R2-2,695,7,"0,116,116,114,116,117,116",7,2020-08-30T00:02:19.029997Z,0
2020-08-30T00:02:20.836Z,2020-08-30,light,19233J,All,R2-4,462,5,"0,116,115,116,115",7,2020-08-30T00:02:21.298Z,0
2020-08-30T00:02:22.153005Z,2020-08-30,light,19233J,All,R2-6,116,2,"0,116",7,2020-08-30T00:02:22.269005Z,0
2020-08-30T00:02:24.462002Z,2020-08-30,light,19233J,All,R3-2,1619,15,"0,115,115,116,115,116,116,115,116,117,116,114,117,115,116",7,2020-08-30T00:02:26.081002Z,0
2020-08-30T00:03:15.478004Z,2020-08-30,light,19233J,All,R3-4,75,1,0,7,2020-08-30T00:03:15.553004Z,0
2020-08-30T00:03:17.216001Z,2020-08-30,light,19233J,All,R3-2,75,1,0,7,2020-08-30T00:03:17.291001Z,0
2020-08-30T00:04:16.219001Z,2020-08-30,light,19233J,All,R3-2,116,2,"0,116",7,2020-08-30T00:04:16.335001Z,0
2020-08-30T00:04:16.640003Z,2020-08-30,light,19233J,All,R3-1,231,3,"0,116,115",7,2020-08-30T00:04:16.871003Z,0
2020-08-30T00:04:21.586999Z,2020-08-30,light,19233J,All,R3-1,116,2,"0,116",7,2020-08-30T00:04:21.702999Z,0
2020-08-30T00:04:22.450998Z,2020-08-30,light,19233J,All,R3-2,231,3,"0,115,116",7,2020-08-30T00:04:22.681998Z,0
2020-08-30T00:04:51.238001Z,2020-08-30,light,19233J,All,R3-2,116,2,"0,116",7,2020-08-30T00:04:51.354001Z,0
2020-08-30T00:04:51.594997Z,2020-08-30,light,19233J,All,R3-1,232,3,"0,117,115",7,2020-08-30T00:04:51.826997Z,0
2020-08-30T00:04:54.075999Z,2020-08-30,light,19233J,All,R3-3,476,5,"0,126,120,120,110",7,2020-08-30T00:04:54.551999Z,0
2020-08-30T00:04:55.516996Z,2020-08-30,light,19233J,All,R3-7,809,8,"0,116,115,115,117,115,116,115",7,2020-08-30T00:04:56.325996Z,0
2020-08-30T00:05:11.106001Z,2020-08-30,light,19233J,All,R3-7,462,5,"0,115,116,116,115",7,2020-08-30T00:05:11.568001Z,0
2020-08-30T00:05:13.364998Z,2020-08-30,light,19233J,All,R3-6,1041,10,"0,115,117,115,116,115,116,116,116,115",7,2020-08-30T00:05:14.405998Z,0
2020-08-30T00:05:15.239998Z,2020-08-30,light,19233J,All,R3-8,578,6,"0,115,117,115,116,115",7,2020-08-30T00:05:15.817998Z,0
2020-08-30T00:05:17.197002Z,2020-08-30,light,19233J,All,R3-9,117,2,"0,117",7,2020-08-30T00:05:17.314003Z,0
2020-08-30T00:05:18.385002Z,2020-08-30,light,19233J,All,R3-7,360,4,"0,115,115,130",7,2020-08-30T00:05:18.745002Z,0
2020-08-30T00:05:20.144003Z,2020-08-30,light,19233J,All,R3-3,346,4,"0,115,116,115",7,2020-08-30T00:05:20.490003Z,0
2020-08-30T00:06:02.704997Z,2020-08-30,light,19233J,All,R3-3,811,8,"0,114,117,116,120,111,116,117",7,2020-08-30T00:06:03.515997Z,0
2020-08-30T00:06:05.176003Z,2020-08-30,light,19233J,All,R3-7,464,5,"0,116,115,118,115",7,2020-08-30T00:06:05.640002Z,0
2020-08-30T00:06:09.454996Z,2020-08-30,light,19233J,All,R3-7,348,4,"0,116,117,115",7,2020-08-30T00:06:09.802996Z,0
2020-08-30T00:06:10.430003Z,2020-08-30,light,19233J,All,R3-3,464,5,"0,116,115,118,115",7,2020-08-30T00:06:10.894003Z,0
2020-08-30T00:06:11.629002Z,2020-08-30,light,19233J,All,R3-1,232,3,"0,116,116",7,2020-08-30T00:06:11.861002Z,0
2020-08-30T00:06:12.455997Z,2020-08-30,light,19233J,All,R3-2,346,4,"0,115,116,115",7,2020-08-30T00:06:12.801997Z,0
2020-08-30T00:06:13.375Z,2020-08-30,light,19233J,All,R3-4,231,3,"0,115,116",7,2020-08-30T00:06:13.606Z,0
2020-08-30T00:06:14.399997Z,2020-08-30,light,19233J,All,R3-6,115,2,"0,115",7,2020-08-30T00:06:14.514997Z,0
2020-08-30T00:06:15.710003Z,2020-08-30,light,19233J,All,R3-3,347,4,"0,115,115,117",7,2020-08-30T00:06:16.057003Z,0
2020-08-30T00:06:17.576001Z,2020-08-30,light,19233J,All,R3-1,232,3,"0,117,115",7,2020-08-30T00:06:17.808001Z,0
2020-08-30T00:06:19.271005Z,2020-08-30,light,19233J,All,R3-3,75,1,0,7,2020-08-30T00:06:19.346005Z,0
2020-08-30T00:06:21.323005Z,2020-08-30,light,19233J,All,R3-1,75,1,0,7,2020-08-30T00:06:21.398005Z,0
2020-08-30T00:06:23.324996Z,2020-08-30,light,19233J,All,R2-5,346,4,"0,115,116,115",7,2020-08-30T00:06:23.670996Z,0
2020-08-30T00:06:28.586998Z,2020-08-30,light,19233J,All,R2-5,233,3,"0,117,116",7,2020-08-30T00:06:28.819998Z,0
2020-08-30T00:06:29.360002Z,2020-08-30,light,19233J,All,R2-6,924,9,"0,115,116,115,116,115,118,115,114",7,2020-08-30T00:06:30.284002Z,0
2020-08-30T00:06:31.462001Z,2020-08-30,light,19233J,All,R2-4,1505,14,"0,116,115,115,116,117,116,115,117,114,116,116,116,116",7,2020-08-30T00:06:32.967001Z,0
2020-08-30T00:06:33.851998Z,2020-08-30,light,19233J,All,R2-2,230,3,"0,115,115",7,2020-08-30T00:06:34.081998Z,0
2020-08-30T00:06:37.091004Z,2020-08-30,light,19233J,All,R1-5,233,3,"0,117,116",7,2020-08-30T00:06:37.324004Z,0
2020-08-30T00:06:47.871996Z,2020-08-30,light,19233J,All,R1-3,578,6,"0,115,117,116,115,115",7,2020-08-30T00:06:48.449996Z,0
2020-08-30T00:06:50.612Z,2020-08-30,light,19233J,All,R1-2,1257,11,"0,115,116,117,116,115,116,115,215,116,116",7,2020-08-30T00:06:51.869Z,0
2020-08-30T00:07:10.890002Z,2020-08-30,light,19233J,All,R1-2,2300,20,"0,216,116,115,116,116,116,114,117,116,114,117,116,114,117,116,116,115,116,117",7,2020-08-30T00:07:13.190002Z,0
2020-08-30T00:07:23.599001Z,2020-08-30,light,19233J,All,R1-2,75,1,0,7,2020-08-30T00:07:23.674001Z,0
2020-08-30T00:07:30.477003Z,2020-08-30,light,19233J,All,R1-2,75,1,0,7,2020-08-30T00:07:30.552003Z,0
2020-08-30T00:07:34.971997Z,2020-08-30,light,19233J,All,R1-4,348,4,"0,116,116,116",7,2020-08-30T00:07:35.319997Z,0
2020-08-30T00:07:38.682999Z,2020-08-30,light,19233J,All,R1-6,463,5,"0,115,116,116,116",7,2020-08-30T00:07:39.145999Z,0
2020-08-30T00:07:42.241002Z,2020-08-30,light,19233J,All,R2-2,465,5,"0,116,116,116,117",7,2020-08-30T00:07:42.706002Z,0
