DateTime,Date,Phase,IdLabel,Group,unitLabel,eventDuration,senseRFIDrecords,MsgValue1,Day,DateTime_end,DoubleRead
2020-08-30T12:25:26.805003Z,2020-08-30,dark,19235J,All,R3-6,7014,60,"0,199,114,117,116,115,116,117,115,117,115,115,116,115,116,117,115,116,115,116,117,116,115,115,117,114,117,116,115,116,117,115,115,115,128,105,114,117,115,117,115,116,115,117,115,116,115,116,116,116,115,117,116,116,115,117,114,117,115,217",8,2020-08-30T12:25:33.819003Z,0
2020-08-30T12:25:36.252998Z,2020-08-30,dark,19235J,All,R3-4,3011,27,"0,115,117,116,115,115,118,114,117,114,116,117,116,115,153,78,116,117,114,117,115,116,116,115,116,115,118",8,2020-08-30T12:25:39.263998Z,0
2020-08-30T12:31:36.874002Z,2020-08-30,dark,19235J,All,R3-4,1619,15,"0,114,116,118,115,115,115,116,116,116,116,115,117,115,115",8,2020-08-30T12:31:38.493001Z,0
2020-08-30T12:31:39.806003Z,2020-08-30,dark,19235J,All,R3-8,1158,11,"0,117,115,115,117,115,119,112,117,116,115",8,2020-08-30T12:31:40.964003Z,0
2020-08-30T12:31:44.547997Z,2020-08-30,dark,19235J,All,R3-9,117,2,"0,117",8,2020-08-30T12:31:44.664997Z,0
2020-08-30T12:31:55.075Z,2020-08-30,dark,19235J,All,R3-7,1737,16,"0,116,117,116,114,116,117,115,115,116,116,117,115,115,116,116",8,2020-08-30T12:31:56.812Z,0
2020-08-30T12:31:59.727Z,2020-08-30,dark,19235J,All,R3-3,1041,10,"0,116,116,115,115,117,116,115,116,115",8,2020-08-30T12:32:00.768Z,0
2020-08-30T12:32:16.626002Z,2020-08-30,dark,19235J,All,R3-1,580,6,"0,117,115,116,117,115",8,2020-08-30T12:32:17.206002Z,0
2020-08-30T12:32:20.874998Z,2020-08-30,dark,19235J,All,R3-2,694,7,"0,115,116,116,115,116,116",8,2020-08-30T12:32:21.568998Z,0
2020-08-30T12:32:24.384998Z,2020-08-30,dark,19235J,All,R3-2,810,8,"0,115,115,116,117,114,117,116",8,2020-08-30T12:32:25.194998Z,0
2020-08-30T12:32:27.522001Z,2020-08-30,dark,19235J,All,R3-1,462,5,"0,115,116,114,117",8,2020-08-30T12:32:27.984001Z,0
2020-08-30T12:32:28.884995Z,2020-08-30,dark,19235J,All,R3-3,1621,15,"0,114,117,116,115,116,115,116,117,115,115,117,115,115,118",8,2020-08-30T12:32:30.505996Z,0
2020-08-30T12:32:35.655999Z,2020-08-30,dark,19235J,All,R3-6,1505,14,"0,117,114,116,117,114,117,117,114,116,117,115,116,115",8,2020-08-30T12:32:37.160999Z,0
2020-08-30T12:32:43.785004Z,2020-08-30,dark,19235J,All,R3-4,231,3,"0,116,115",8,2020-08-30T12:32:44.016004Z,0
2020-08-30T12:33:07.841002Z,2020-08-30,dark,19235J,All,R3-4,463,5,"0,116,115,116,116",8,2020-08-30T12:33:08.304002Z,0
2020-08-30T12:33:08.728001Z,2020-08-30,dark,19235J,All,R3-8,579,6,"0,116,115,117,116,115",8,2020-08-30T12:33:09.307001Z,0
2020-08-30T12:33:10.278Z,2020-08-30,dark,19235J,All,R3-9,75,1,0,8,2020-08-30T12:33:10.353Z,0
2020-08-30T12:33:22.425001Z,2020-08-30,dark,19235J,All,R3-7,679,6,"0,214,117,116,115,117",8,2020-08-30T12:33:23.104001Z,0
2020-08-30T12:33:29.632999Z,2020-08-30,dark,19235J,All,R3-3,2431,22,"0,115,117,116,115,117,116,114,117,116,114,117,116,115,117,115,116,116,114,117,115,116",8,2020-08-30T12:33:32.063999Z,0
2020-08-30T12:33:35.297997Z,2020-08-30,dark,19235J,All,R3-1,1157,11,"0,115,116,114,118,115,116,115,116,115,117",8,2020-08-30T12:33:36.454997Z,0
2020-08-30T12:33:37.707002Z,2020-08-30,dark,19235J,All,R3-2,696,7,"0,117,115,116,115,116,117",8,2020-08-30T12:33:38.403002Z,0
2020-08-30T12:33:51.601004Z,2020-08-30,dark,19235J,All,R3-4,1968,18,"0,160,72,116,116,116,115,116,115,116,116,116,116,115,117,115,116,115",8,2020-08-30T12:33:53.569004Z,0
2020-08-30T12:33:56.473998Z,2020-08-30,dark,19235J,All,R3-6,925,9,"0,116,115,116,117,115,115,116,115",8,2020-08-30T12:33:57.398998Z,0
2020-08-30T12:50:04.349996Z,2020-08-30,dark,19235J,All,R3-3,331,3,"0,216,115",8,2020-08-30T12:50:04.680996Z,0
2020-08-30T12:50:13.596999Z,2020-08-30,dark,19235J,All,R3-3,732,3,"0,215,517",8,2020-08-30T12:50:14.328999Z,0
2020-08-30T12:50:18.852997Z,2020-08-30,dark,19235J,All,R3-3,1100,7,"0,220,120,110,120,110,420",8,2020-08-30T12:50:19.952997Z,0
2020-08-30T12:50:21.472999Z,2020-08-30,dark,19235J,All,R3-3,8395,40,"0,210,116,102,116,115,117,115,415,416,617,215,217,216,415,115,115,217,416,416,215,516,216,315,116,116,115,117,214,117,216,115,216,115,117,115,116,116,216,315",8,2020-08-30T12:50:29.867999Z,0
2020-08-30T12:51:05.484001Z,2020-08-30,dark,19235J,All,R3-3,431,3,"0,215,216",8,2020-08-30T12:51:05.915001Z,0
2020-08-30T12:51:20.628996Z,2020-08-30,dark,19235J,All,R3-3,2894,7,"0,517,616,616,515,319,311",8,2020-08-30T12:51:23.522996Z,0
2020-08-30T12:51:24.740004Z,2020-08-30,dark,19235J,All,R3-3,86530,612,"0,416,114,417,215,316,416,116,115,217,214,217,217,115,115,316,315,416,217,315,217,315,416,215,115,316,317,414,118,616,315,214,317,315,117,216,315,115,217,115,217,914,116,117,115,116,116,115,116,116,115,216,215,217,116,116,115,115,117,114,218,114,117,216,114,117,115,117,115,216,116,116,114,117,116,116,115,116,116,115,215,217,117,114,217,214,117,115,116,217,115,115,217,115,116,115,317,216,115,116,116,114,117,116,115,116,115,116,216,116,116,115,217,115,116,115,118,115,114,117,215,117,215,117,315,216,216,216,120,110,115,118,115,216,115,216,116,115,116,117,115,116,115,116,116,116,217,115,216,114,116,116,117,114,116,116,115,118,115,116,115,115,217,116,115,216,117,115,115,115,118,114,116,117,114,116,117,114,217,115,116,216,115,116,116,115,118,115,215,216,215,217,116,114,118,115,215,115,118,115,116,115,116,115,115,118,116,115,117,115,115,116,115,116,115,118,214,115,118,116,115,116,115,115,116,118,115,115,116,115,217,115,116,216,215,115,118,115,116,115,116,115,118,214,115,116,115,118,115,215,116,117,116,115,116,115,115,116,117,116,114,117,116,114,316,117,116,214,117,116,117,114,116,117,114,116,117,114,117,116,116,115,115,116,117,116,115,116,115,116,216,116,115,115,118,115,116,115,217,115,116,115,116,216,116,216,116,115,116,115,217,115,115,116,115,118,115,115,117,215,116,116,115,116,115,116,216,116,216,116,115,116,315,118,315,116,115,116,115,115,118,115,116,115,116,115,116,117,116,115,116,115,115,116,118,115,115,116,115,116,115,118,115,116,115,115,116,117,116,214,116,117,116,115,116,115,116,120,113,115,116,115,115,116,216,117,114,116,117,116,114,117,116,115,216,117,114,116,217,115,116,115,217,215,115,117,215,116,116,116,114,117,116,115,116,117,114,116,116,216,116,115,115,118,115,316,116,115,116,115,116,117,114,218,115,114,117,116,116,115,116,116,115,115,118,115,116,115,417,115,116,116,114,117,116,215,117,116,115,116,115,217,114,117,115,116,115,116,115,117,115,116,117,114,116,117,116,114,117,116,114,118,115,116,115,116,115,117,116,114,117,115,116,115,118,115,216,116,114,117,115,117,115,115,217,116,116,116,116,116,115,114,116,216,115,117,115,116,117,115,117,114,117,116,115,216,114,117,115,117,115,116,115,116,116,137,94,117,117,214,416,215,116,117,115,115,217,115,216,116,115,116,217,116,114,117,115,115,117,115,117,215,115,116,116,115,116,116,116,116,116,116,116,115,116,116,116,116,114,117,115,117,115,115,117,114,118,115,115,116,116,115,116,116,116,115,117,114,318,215,117,114,117,215,216,216,114,117,115,117,115,117",8,2020-08-30T12:52:51.270004Z,0
2020-08-30T12:52:52.348999Z,2020-08-30,dark,19235J,All,R3-3,8087,51,"0,215,115,117,215,115,117,115,117,114,216,117,116,115,116,115,117,115,116,116,115,116,116,115,117,114,117,115,115,117,115,117,115,116,116,116,114,217,215,117,815,215,816,217,116,116,116,116,115,116,315",8,2020-08-30T12:53:00.435999Z,0
2020-08-30T13:54:01.004999Z,2020-08-30,dark,19235J,All,R3-3,1273,12,"0,116,115,115,116,116,117,116,116,115,115,116",8,2020-08-30T13:54:02.277999Z,0
2020-08-30T13:54:04.725003Z,2020-08-30,dark,19235J,All,R3-1,1488,13,"0,115,117,114,117,116,115,116,115,117,114,118,214",8,2020-08-30T13:54:06.213003Z,0
2020-08-30T13:54:07.198004Z,2020-08-30,dark,19235J,All,R3-2,696,7,"0,116,117,114,119,114,116",8,2020-08-30T13:54:07.894004Z,0
2020-08-30T14:00:06.420001Z,2020-08-30,dark,19235J,All,R3-4,1856,17,"0,115,117,115,115,117,115,116,116,114,117,116,116,115,116,117,119",8,2020-08-30T14:00:08.276001Z,0
2020-08-30T14:00:09.237998Z,2020-08-30,dark,19235J,All,R3-8,697,7,"0,115,116,117,116,114,119",8,2020-08-30T14:00:09.934998Z,0
2020-08-30T14:00:10.810995Z,2020-08-30,dark,19235J,All,R3-9,347,4,"0,115,115,117",8,2020-08-30T14:00:11.157995Z,0
2020-08-30T14:00:36.950996Z,2020-08-30,dark,19235J,All,R3-7,1275,12,"0,117,115,116,115,117,115,117,114,116,117,116",8,2020-08-30T14:00:38.225996Z,0
2020-08-30T14:00:41.953996Z,2020-08-30,dark,19235J,All,R3-3,1274,12,"0,116,117,114,116,117,114,116,117,116,114,117",8,2020-08-30T14:00:43.227996Z,0
2020-08-30T14:00:50.843002Z,2020-08-30,dark,19235J,All,R3-3,75,1,0,8,2020-08-30T14:00:50.918002Z,0
2020-08-30T14:00:52.769004Z,2020-08-30,dark,19235J,All,R3-1,347,4,"0,115,116,116",8,2020-08-30T14:00:53.116004Z,0
2020-08-30T14:00:53.570002Z,2020-08-30,dark,19235J,All,R3-2,1161,11,"0,116,116,115,116,116,115,116,117,116,118",8,2020-08-30T14:00:54.731002Z,0
2020-08-30T14:00:58.186Z,2020-08-30,dark,19235J,All,R3-4,231,3,"0,115,116",8,2020-08-30T14:00:58.417Z,0
2020-08-30T14:01:02.131999Z,2020-08-30,dark,19235J,All,R3-4,449,4,"0,217,116,116",8,2020-08-30T14:01:02.580999Z,0
2020-08-30T14:01:04.647Z,2020-08-30,dark,19235J,All,R3-8,346,4,"0,114,116,116",8,2020-08-30T14:01:04.993Z,0
2020-08-30T14:01:10.569996Z,2020-08-30,dark,19235J,All,R3-9,117,2,"0,117",8,2020-08-30T14:01:10.686996Z,0
2020-08-30T14:01:21.886997Z,2020-08-30,dark,19235J,All,R3-7,230,3,"0,115,115",8,2020-08-30T14:01:22.116997Z,0
2020-08-30T14:01:32.363999Z,2020-08-30,dark,19235J,All,R3-7,1510,8,"0,516,116,129,403,116,116,114",8,2020-08-30T14:01:33.873999Z,0
2020-08-30T14:01:39.887997Z,2020-08-30,dark,19235J,All,R3-6,2946,23,"0,115,116,116,115,117,115,115,117,115,116,116,116,115,117,115,115,118,115,115,516,116,115",8,2020-08-30T14:01:42.833997Z,0
2020-08-30T14:02:09.349999Z,2020-08-30,dark,19235J,All,R3-6,447,4,"0,214,116,117",8,2020-08-30T14:02:09.796999Z,0
2020-08-30T14:02:12.916004Z,2020-08-30,dark,19235J,All,R3-8,694,7,"0,117,115,116,115,116,115",8,2020-08-30T14:02:13.610004Z,0
2020-08-30T14:02:14.393997Z,2020-08-30,dark,19235J,All,R3-9,927,9,"0,125,107,114,116,117,115,116,117",8,2020-08-30T14:02:15.320997Z,0
2020-08-30T14:02:16.888001Z,2020-08-30,dark,19235J,All,R3-7,2201,20,"0,116,117,115,117,115,115,117,114,117,116,115,116,117,114,117,115,116,116,116",8,2020-08-30T14:02:19.089001Z,0
2020-08-30T14:02:21.849997Z,2020-08-30,dark,19235J,All,R3-3,809,8,"0,116,115,117,116,116,114,115",8,2020-08-30T14:02:22.658997Z,0
2020-08-30T14:02:31.876Z,2020-08-30,dark,19235J,All,R3-3,462,5,"0,115,117,114,116",8,2020-08-30T14:02:32.338Z,0
2020-08-30T14:02:37.104004Z,2020-08-30,dark,19235J,All,R3-7,115,2,"0,115",8,2020-08-30T14:02:37.219004Z,0
2020-08-30T14:13:05.526999Z,2020-08-30,dark,19235J,All,R3-3,1041,10,"0,115,115,116,117,115,116,116,116,115",8,2020-08-30T14:13:06.567998Z,0
2020-08-30T14:13:31.619003Z,2020-08-30,dark,19235J,All,R3-3,1273,12,"0,116,117,116,115,116,116,115,116,114,117,115",8,2020-08-30T14:13:32.892003Z,0
2020-08-30T14:13:37.818998Z,2020-08-30,dark,19235J,All,R3-3,811,8,"0,115,117,116,116,115,115,117",8,2020-08-30T14:13:38.629998Z,0
2020-08-30T14:13:40.537997Z,2020-08-30,dark,19235J,All,R3-1,232,3,"0,115,117",8,2020-08-30T14:13:40.769997Z,0
2020-08-30T14:13:41.569Z,2020-08-30,dark,19235J,All,R3-2,842,8,"0,117,116,114,117,115,117,146",8,2020-08-30T14:13:42.411Z,0
2020-08-30T14:14:08.593997Z,2020-08-30,dark,19235J,All,R3-4,1043,10,"0,116,117,116,116,114,116,118,115,115",8,2020-08-30T14:14:09.636997Z,0
2020-08-30T14:14:10.591002Z,2020-08-30,dark,19235J,All,R3-8,911,8,"0,114,118,115,116,116,115,217",8,2020-08-30T14:14:11.502002Z,0
2020-08-30T14:14:13.925999Z,2020-08-30,dark,19235J,All,R3-9,116,2,"0,116",8,2020-08-30T14:14:14.041999Z,0
2020-08-30T14:14:15.066004Z,2020-08-30,dark,19235J,All,R3-7,1158,11,"0,116,115,117,115,116,127,105,115,115,117",8,2020-08-30T14:14:16.224004Z,0
2020-08-30T14:14:24.403002Z,2020-08-30,dark,19235J,All,R3-7,454,4,"0,216,114,124",8,2020-08-30T14:14:24.857002Z,0
2020-08-30T14:14:26.158002Z,2020-08-30,dark,19235J,All,R3-9,75,1,0,8,2020-08-30T14:14:26.233002Z,0
2020-08-30T14:14:26.811005Z,2020-08-30,dark,19235J,All,R3-8,75,1,0,8,2020-08-30T14:14:26.886005Z,0
2020-08-30T14:14:27.509003Z,2020-08-30,dark,19235J,All,R3-4,4399,39,"0,116,116,116,116,117,114,117,115,116,115,116,121,111,115,116,115,117,116,115,115,117,115,117,116,115,115,117,116,115,117,114,117,115,115,116,116,117,114",8,2020-08-30T14:14:31.908003Z,0
2020-08-30T14:14:56.843004Z,2020-08-30,dark,19235J,All,R3-4,348,4,"0,117,115,116",8,2020-08-30T14:14:57.191004Z,0
2020-08-30T14:14:57.698002Z,2020-08-30,dark,19235J,All,R3-8,233,3,"0,115,118",8,2020-08-30T14:14:57.931002Z,0
2020-08-30T14:14:58.486998Z,2020-08-30,dark,19235J,All,R3-9,75,1,0,8,2020-08-30T14:14:58.561998Z,0
2020-08-30T14:15:00.472997Z,2020-08-30,dark,19235J,All,R3-7,348,4,"0,117,116,115",8,2020-08-30T14:15:00.820997Z,0
2020-08-30T14:15:01.373Z,2020-08-30,dark,19235J,All,R3-3,810,8,"0,115,115,118,116,114,117,115",8,2020-08-30T14:15:02.183Z,0
2020-08-30T14:15:03.159Z,2020-08-30,dark,19235J,All,R3-1,579,6,"0,116,117,115,116,115",8,2020-08-30T14:15:03.738Z,0
2020-08-30T14:15:04.255001Z,2020-08-30,dark,19235J,All,R3-2,579,6,"0,116,115,117,116,115",8,2020-08-30T14:15:04.834001Z,0
2020-08-30T14:15:55.467997Z,2020-08-30,dark,19235J,All,R3-4,115,2,"0,115",8,2020-08-30T14:15:55.582997Z,0
2020-08-30T14:15:55.980003Z,2020-08-30,dark,19235J,All,R3-8,115,2,"0,115",8,2020-08-30T14:15:56.095003Z,0
2020-08-30T14:15:56.527001Z,2020-08-30,dark,19235J,All,R3-9,75,1,0,8,2020-08-30T14:15:56.602001Z,0
2020-08-30T14:15:58.527999Z,2020-08-30,dark,19235J,All,R3-7,117,2,"0,117",8,2020-08-30T14:15:58.645Z,0
2020-08-30T14:16:35.300004Z,2020-08-30,dark,19235J,All,R3-3,578,6,"0,114,117,115,116,116",8,2020-08-30T14:16:35.878004Z,0
2020-08-30T14:16:43.195002Z,2020-08-30,dark,19235J,All,R3-3,810,8,"0,114,118,114,115,117,116,116",8,2020-08-30T14:16:44.005002Z,0
2020-08-30T14:16:44.600005Z,2020-08-30,dark,19235J,All,R3-7,810,8,"0,115,116,116,116,116,116,115",8,2020-08-30T14:16:45.410005Z,0
2020-08-30T14:16:46.250996Z,2020-08-30,dark,19235J,All,R3-9,115,2,"0,115",8,2020-08-30T14:16:46.365996Z,0
2020-08-30T14:16:57.439001Z,2020-08-30,dark,19235J,All,R3-8,464,5,"0,117,115,116,116",8,2020-08-30T14:16:57.903001Z,0
2020-08-30T14:16:59.662997Z,2020-08-30,dark,19235J,All,R3-4,3472,31,"0,115,116,115,117,115,116,117,113,117,116,116,115,117,115,115,116,117,115,115,116,117,114,118,115,115,115,116,118,115,115",8,2020-08-30T14:17:03.134997Z,0
2020-08-30T14:17:07.865002Z,2020-08-30,dark,19235J,All,R3-2,811,8,"0,116,115,117,115,115,117,116",8,2020-08-30T14:17:08.676002Z,0
2020-08-30T14:17:11.288999Z,2020-08-30,dark,19235J,All,R3-1,1257,11,"0,231,101,115,116,117,114,118,114,117,114",8,2020-08-30T14:17:12.545999Z,0
2020-08-30T14:17:18.812996Z,2020-08-30,dark,19235J,All,R3-3,578,6,"0,114,117,116,115,116",8,2020-08-30T14:17:19.390996Z,0
2020-08-30T14:17:21.134003Z,2020-08-30,dark,19235J,All,R3-6,1952,17,"0,117,116,115,117,116,115,115,117,114,116,116,115,117,116,116,214",8,2020-08-30T14:17:23.086003Z,0
2020-08-30T14:17:23.816999Z,2020-08-30,dark,19235J,All,R3-4,2238,16,"0,117,116,115,116,117,114,125,108,116,516,114,116,116,117,215",8,2020-08-30T14:17:26.054999Z,0
2020-08-30T14:17:45.184998Z,2020-08-30,dark,19235J,All,R3-4,116,2,"0,116",8,2020-08-30T14:17:45.300997Z,0
2020-08-30T14:17:47.180Z,2020-08-30,dark,19235J,All,R3-8,462,5,"0,115,116,116,115",8,2020-08-30T14:17:47.642Z,0
2020-08-30T14:17:48.011003Z,2020-08-30,dark,19235J,All,R3-9,231,3,"0,114,117",8,2020-08-30T14:17:48.242003Z,0
2020-08-30T14:17:50.306003Z,2020-08-30,dark,19235J,All,R3-7,694,7,"0,114,117,115,117,115,116",8,2020-08-30T14:17:51.000003Z,0
2020-08-30T14:17:55.626999Z,2020-08-30,dark,19235J,All,R3-3,231,3,"0,115,116",8,2020-08-30T14:17:55.857999Z,0
2020-08-30T14:17:59.772999Z,2020-08-30,dark,19235J,All,R3-3,233,3,"0,116,117",8,2020-08-30T14:18:00.005999Z,0
2020-08-30T14:18:10.720Z,2020-08-30,dark,19235J,All,R3-3,347,4,"0,115,118,114",8,2020-08-30T14:18:11.067Z,0
